房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
活动中心及门诊部,2520.67,36000.00,2046.05,44350.88,90744120.00,在售,活动中心
活动中心及门诊部,200.79,36000.00,171.08,42251.81,7228440.00,在售,门诊部
幼儿园,2049.75,22000.00,2049.75,22000.00,45094500.00,在售,幼儿园
3#B2602,221.36,138000.00,149.02,204990.47,30547680.00,在售,住宅
3#B2601,84.07,53324.00,56.60,79204.04,4482948.68,在售,住宅
3#B2503,87.88,55272.00,57.36,84681.02,4857303.36,在售,住宅
3#B2502,88.28,55272.00,57.63,84667.91,4879412.16,在售,住宅
3#B2501,86.70,52795.00,56.60,80871.49,4577326.50,在售,住宅
3#B2403,87.88,54743.00,57.36,83870.55,4810814.84,在售,住宅
3#B2402,88.28,54743.00,57.63,83857.57,4832712.04,在售,住宅
3#B2401,86.70,52266.00,56.60,80061.16,4531462.20,在售,住宅
3#B2303,87.88,54214.00,57.36,83060.08,4764326.32,在售,住宅
3#B2302,88.28,54214.00,57.63,83047.23,4786011.92,在售,住宅
3#B2301,86.70,51737.00,56.60,79250.84,4485597.90,在售,住宅
3#B2203,87.88,53685.00,57.36,82249.61,4717837.80,在售,住宅
3#B2202,88.28,53685.00,57.63,82236.88,4739311.80,在售,住宅
3#B2201,86.70,51207.00,56.60,78438.99,4439646.90,在售,住宅
3#B2103,87.88,53156.00,57.36,81439.14,4671349.28,在售,住宅
3#B2102,88.28,53156.00,57.63,81426.54,4692611.68,在售,住宅
3#B2101,86.70,50678.00,56.60,77628.66,4393782.60,在售,住宅
3#B2003,87.88,52626.00,57.36,80627.14,4624772.88,在售,住宅
3#B2002,88.28,52626.00,57.63,80614.66,4645823.28,在售,住宅
3#B2001,86.70,50149.00,56.60,76818.34,4347918.30,在售,住宅
3#B1903,87.88,52097.00,57.36,79816.67,4578284.36,在售,住宅
3#B1902,88.28,52097.00,57.63,79804.32,4599123.16,在售,住宅
3#B1901,86.70,49620.00,56.60,76008.02,4302054.00,在售,住宅
3#B1803,87.88,51568.00,57.36,79006.20,4531795.84,在售,住宅
3#B1802,88.28,51568.00,57.63,78993.97,4552423.04,在售,住宅
3#B1801,86.70,49091.00,56.60,75197.69,4256189.70,在售,住宅
3#B1703,87.88,51039.00,57.36,78195.73,4485307.32,在售,住宅
3#B1702,88.28,51039.00,57.63,78183.63,4505722.92,在售,住宅
3#B1701,86.70,48562.00,56.60,74387.37,4210325.40,在售,住宅
3#B1603,87.88,50510.00,57.36,77385.26,4438818.80,在售,住宅
3#B1602,88.28,50510.00,57.63,77373.29,4459022.80,在售,住宅
3#B1601,86.70,48033.00,56.60,73577.05,4164461.10,在售,住宅
3#B1503,87.88,49981.00,57.36,76574.79,4392330.28,在售,住宅
3#B1502,88.28,49981.00,57.63,76562.94,4412322.68,在售,住宅
3#B1501,86.70,47504.00,56.60,72766.72,4118596.80,在售,住宅
