房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
10号楼2座104,268.27,30645.00,224.42,36632.80,8221134.00,在售,住宅
10号楼2座304,150.08,21300.00,124.04,25771.55,3196704.00,在售,住宅
10号楼2座404,150.08,21623.00,124.04,26162.36,3245180.00,在售,住宅
10号楼2座504,150.08,21945.00,124.04,26551.96,3293506.00,在售,住宅
10号楼2座604,150.08,22268.00,124.04,26942.76,3341981.00,在售,住宅
10号楼2座704,150.08,22590.00,124.04,27332.36,3390307.00,在售,住宅
10号楼2座804,150.08,22805.00,124.04,27592.50,3422574.00,在售,住宅
10号楼2座904,150.08,23020.00,124.04,27852.64,3454842.00,在售,住宅
10号楼2座1004,150.08,23235.00,124.04,28112.77,3487109.00,在售,住宅
10号楼2座1104,150.08,23451.00,124.04,28374.12,3519526.00,在售,住宅
10号楼2座1204,150.08,23558.00,124.04,28503.58,3535585.00,在售,住宅
10号楼2座1304,150.08,23666.00,124.04,28634.25,3551793.00,在售,住宅
10号楼2座1404,150.08,23773.00,124.04,28763.72,3567852.00,在售,住宅
10号楼2座1504,270.88,27957.00,223.79,33839.72,7572992.00,在售,住宅
10号楼2座303,89.54,17322.00,74.00,20959.62,1551012.00,在售,住宅
10号楼2座403,89.54,17644.00,74.00,21349.24,1579844.00,在售,住宅
10号楼2座503,89.54,17967.00,74.00,21740.06,1608765.00,在售,住宅
10号楼2座603,89.54,18289.00,74.00,22129.68,1637597.00,在售,住宅
10号楼2座703,89.54,18612.00,74.00,22520.51,1666518.00,在售,住宅
10号楼2座803,89.54,18827.00,74.00,22780.67,1685770.00,在售,住宅
10号楼2座903,89.54,19042.00,74.00,23040.82,1705021.00,在售,住宅
10号楼2座1003,89.54,19257.00,74.00,23300.97,1724272.00,在售,住宅
10号楼2座1103,89.54,19472.00,74.00,23561.12,1743523.00,在售,住宅
10号楼2座1203,89.54,19580.00,74.00,23691.79,1753193.00,在售,住宅
10号楼2座1303,89.54,19687.00,74.00,23821.27,1762774.00,在售,住宅
10号楼2座1403,89.54,19795.00,74.00,23951.94,1772444.00,在售,住宅
10号楼2座1503,89.55,19902.00,74.00,24084.10,1782224.00,在售,住宅
10号楼2座1603,89.59,20547.00,74.00,24875.75,1840806.00,在售,住宅
10号楼2座102,346.36,30645.00,289.70,36638.59,10614202.00,在售,住宅
10号楼2座302,89.33,17716.00,73.83,21435.32,1582570.00,在售,住宅
