房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋2单元7G,506.83,81399.00,405.62,101710.84,41255954.00,在售,待售
1栋2单元7F,474.79,105473.67,402.31,124475.76,50077847.00,在售,待售
1栋2单元7E,478.35,82918.00,405.54,97805.11,39663886.00,在售,待售
1栋2单元7D,492.96,93624.54,374.36,123285.48,46153154.00,在售,待售
1栋1单元8C,216.04,69546.13,177.64,84579.75,15024747.00,在售,待售
1栋1单元8B,207.96,69065.01,171.00,83992.74,14362760.00,在售,待售
1栋1单元8A,225.73,65258.49,171.31,85989.14,14730800.00,在售,待售
1栋1单元6C,249.66,66774.34,189.17,88126.45,16670882.00,在售,待售
1栋1单元6B,243.42,65636.96,183.92,86871.18,15977349.00,在售,待售
1栋1单元6A,251.55,65650.24,179.83,91832.94,16514318.00,在售,待售
1栋2单元5G,239.19,70230.74,186.65,89999.95,16798492.00,在售,待售
1栋2单元5F,241.81,68514.40,188.81,87746.77,16567468.00,在售,待售
1栋2单元5E,247.26,67159.77,191.88,86543.29,16605927.00,在售,待售
1栋2单元5D,237.66,66438.37,184.43,85613.75,15789745.00,在售,待售
1栋2单元5C,239.89,66325.98,186.07,85510.50,15910940.00,在售,待售
1栋2单元5B,243.41,66244.23,188.96,85332.92,16124510.00,在售,待售
1栋2单元5A,261.54,62873.11,191.88,85698.53,16443834.00,在售,待售
1栋1单元4C,269.11,65015.38,195.14,89660.19,17496290.00,在售,待售
1栋1单元4B,269.12,63080.74,195.15,86990.98,16976291.00,在售,待售
1栋1单元4A,289.68,60200.39,196.58,88711.21,17438851.00,在售,待售
1栋2单元3G,261.10,67394.83,189.23,92991.54,17596791.00,在售,待售
1栋2单元3F,260.50,65696.77,188.77,90660.65,17114011.00,在售,待售
1栋2单元3E,243.39,71795.59,189.24,92339.51,17474330.00,在售,待售
1栋2单元3D,242.64,68470.39,188.65,88066.03,16613657.00,在售,待售
1栋2单元3C,243.21,70286.96,189.24,90332.34,17094493.00,在售,待售
1栋2单元3B,242.49,68525.59,188.66,88077.87,16616772.00,在售,待售
1栋2单元3A,290.74,59340.46,190.07,90769.95,17252646.00,在售,待售
1栋2单元1C,219.64,87350.91,202.14,94913.19,19185754.00,在售,待售
1栋2单元1B,219.92,95239.75,202.40,103483.82,20945127.00,在售,待售
1栋2单元1A,219.92,94387.49,202.40,102557.79,20757698.00,在售,待售
