房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B-3512,128.35,30709.08,88.54,44516.71,3941510.00,在售,产业研发
B-3511,172.11,30323.87,118.73,43957.22,5219041.00,在售,产业研发
B-3510,149.16,30487.89,102.90,44194.11,4547574.00,在售,产业研发
B-3509,149.16,30449.66,102.90,44138.68,4541871.00,在售,产业研发
B-3508,149.16,30612.80,102.90,44375.17,4566205.00,在售,产业研发
B-3507,170.08,30704.44,117.33,44508.74,5222211.00,在售,产业研发
B-3506,119.11,30974.33,82.17,44899.01,3689352.00,在售,产业研发
B-3505,170.08,30838.23,117.33,44702.68,5244966.00,在售,产业研发
B-3504,149.16,30857.32,102.90,44729.62,4602678.00,在售,产业研发
B-3503,149.16,30694.04,102.90,44492.93,4578323.00,在售,产业研发
B-3502,149.16,30732.40,102.90,44548.54,4584045.00,在售,产业研发
B-3501,172.11,30437.86,118.73,44122.46,5238660.00,在售,产业研发
B-3412,128.35,30659.08,88.54,44444.23,3935093.00,在售,产业研发
B-3411,172.11,30273.87,118.73,43884.74,5210436.00,在售,产业研发
B-3410,149.16,30437.89,102.90,44121.63,4540116.00,在售,产业研发
B-3409,149.16,30399.66,102.90,44066.20,4534413.00,在售,产业研发
B-3408,149.16,30562.80,102.90,44302.69,4558747.00,在售,产业研发
B-3407,170.08,30654.44,117.33,44436.26,5213707.00,在售,产业研发
B-3406,119.11,30924.33,82.17,44826.54,3683397.00,在售,产业研发
B-3405,170.08,30788.23,117.33,44630.20,5236462.00,在售,产业研发
B-3404,149.16,30807.32,102.90,44657.14,4595220.00,在售,产业研发
B-3403,149.16,30644.04,102.90,44420.45,4570865.00,在售,产业研发
B-3402,149.16,30682.40,102.90,44476.06,4576587.00,在售,产业研发
B-3401,172.11,30387.86,118.73,44049.98,5230055.00,在售,产业研发
B-3312,128.35,30609.08,88.54,44371.75,3928675.00,在售,产业研发
B-3311,172.11,30223.87,118.73,43812.26,5201830.00,在售,产业研发
B-3310,149.16,30387.89,102.90,44049.15,4532658.00,在售,产业研发
B-3309,149.16,30349.66,102.90,43993.73,4526955.00,在售,产业研发
B-3308,149.16,30512.80,102.90,44230.21,4551289.00,在售,产业研发
B-3307,170.08,30604.44,117.33,44363.78,5205203.00,在售,产业研发
B-3306,119.11,30874.33,82.17,44754.05,3677441.00,在售,产业研发
B-3305,170.08,30738.23,117.33,44557.72,5227958.00,在售,产业研发
B-3304,149.16,30757.32,102.90,44584.66,4587762.00,在售,产业研发
B-3303,149.16,30594.04,102.90,44347.97,4563407.00,在售,产业研发
B-3302,149.16,30632.40,102.90,44403.58,4569129.00,在售,产业研发
B-3301,172.11,30337.86,118.73,43977.50,5221449.00,在售,产业研发
B-3212,128.35,30559.08,88.54,44299.27,3922258.00,在售,产业研发
B-3211,172.11,30173.87,118.73,43739.78,5193225.00,在售,产业研发
B-3210,149.16,30337.89,102.90,43976.67,4525200.00,在售,产业研发
B-3209,149.16,30299.66,102.90,43921.25,4519497.00,在售,产业研发
