房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
汇金天琅大厦3303,184.66,98100.00,110.68,163671.35,18115146.00,在售,办公
汇金天琅大厦3302,168.92,94500.00,101.25,157658.66,15962940.00,在售,办公
汇金天琅大厦3301,149.65,97600.00,89.70,162829.87,14605840.00,在售,办公
汇金天琅大厦3223,43.88,95600.00,30.62,136999.60,4194928.00,在售,办公
汇金天琅大厦3220,36.96,88600.00,25.79,126973.86,3274656.00,在售,办公
汇金天琅大厦3219,36.96,88900.00,25.79,127403.79,3285744.00,在售,办公
汇金天琅大厦3218,36.96,91100.00,25.80,130506.04,3367056.00,在售,办公
汇金天琅大厦3217,36.96,91300.00,25.79,130843.27,3374448.00,在售,办公
汇金天琅大厦3216,36.93,90800.00,25.78,130071.52,3353244.00,在售,办公
汇金天琅大厦3215,36.91,88300.00,25.76,126519.91,3259153.00,在售,办公
汇金天琅大厦3213,36.91,87900.00,25.76,125946.77,3244389.00,在售,办公
汇金天琅大厦3212,36.91,89500.00,25.76,128239.32,3303445.00,在售,办公
汇金天琅大厦3211,59.23,92200.00,41.34,132099.80,5461006.00,在售,办公
汇金天琅大厦3210,62.66,96900.00,43.74,138814.67,6071754.00,在售,办公
汇金天琅大厦3209,36.96,94300.00,25.80,135090.23,3485328.00,在售,办公
汇金天琅大厦3208,36.96,96000.00,25.79,137578.90,3548160.00,在售,办公
汇金天琅大厦3207,36.96,96500.00,25.80,138241.86,3566640.00,在售,办公
汇金天琅大厦3206,36.96,95400.00,25.79,136719.03,3525984.00,在售,办公
汇金天琅大厦3205,65.25,98600.00,45.54,141274.70,6433650.00,在售,办公
汇金天琅大厦3203,62.31,97700.00,43.49,139979.00,6087687.00,在售,办公
汇金天琅大厦3202,40.04,94100.00,27.95,134803.72,3767764.00,在售,办公
汇金天琅大厦3201,68.05,97300.00,47.50,139395.05,6621265.00,在售,办公
汇金天琅大厦3123,43.88,95300.00,30.62,136569.69,4181764.00,在售,办公
汇金天琅大厦3120,36.96,88300.00,25.79,126543.93,3263568.00,在售,办公
汇金天琅大厦3119,36.96,88500.00,25.79,126830.55,3270960.00,在售,办公
汇金天琅大厦3118,36.96,90700.00,25.80,129933.02,3352272.00,在售,办公
汇金天琅大厦3117,36.96,91000.00,25.79,130413.33,3363360.00,在售,办公
汇金天琅大厦3116,36.93,90400.00,25.78,129498.52,3338472.00,在售,办公
汇金天琅大厦3115,36.91,87900.00,25.76,125946.77,3244389.00,在售,办公
汇金天琅大厦3113,36.91,87600.00,25.76,125516.92,3233316.00,在售,办公
汇金天琅大厦3112,36.91,89100.00,25.76,127666.18,3288681.00,在售,办公
汇金天琅大厦3111,59.23,91800.00,41.34,131526.70,5437314.00,在售,办公
汇金天琅大厦3110,62.66,96600.00,43.74,138384.91,6052956.00,在售,办公
汇金天琅大厦3109,36.96,94000.00,25.80,134660.46,3474240.00,在售,办公
汇金天琅大厦3108,36.96,95600.00,25.79,137005.66,3533376.00,在售,办公
汇金天琅大厦3107,36.96,96100.00,25.80,137668.83,3551856.00,在售,办公
汇金天琅大厦3106,36.96,95000.00,25.79,136145.79,3511200.00,在售,办公
汇金天琅大厦3105,65.25,98200.00,45.54,140701.58,6407550.00,在售,办公
汇金天琅大厦3103,62.31,97400.00,43.49,139549.18,6068994.00,在售,办公
汇金天琅大厦3102,40.04,93800.00,27.95,134373.95,3755752.00,在售,办公
汇金天琅大厦3101,68.05,96900.00,47.50,138822.00,6594045.00,在售,办公
汇金天琅大厦3023,43.88,94900.00,30.62,135996.47,4164212.00,在售,办公
汇金天琅大厦3020,36.96,87900.00,25.79,125970.68,3248784.00,在售,办公
汇金天琅大厦3019,36.96,88200.00,25.79,126400.62,3259872.00,在售,办公
汇金天琅大厦3018,36.96,90400.00,25.80,129503.25,3341184.00,在售,办公
汇金天琅大厦3017,36.96,90600.00,25.79,129840.09,3348576.00,在售,办公
汇金天琅大厦3016,36.93,90000.00,25.78,128925.52,3323700.00,在售,办公
汇金天琅大厦3015,36.91,87500.00,25.76,125373.64,3229625.00,在售,办公
汇金天琅大厦3013,36.91,87200.00,25.76,124943.78,3218552.00,在售,办公
汇金天琅大厦3012,36.91,88700.00,25.76,127093.05,3273917.00,在售,办公
汇金天琅大厦3011,59.23,91400.00,41.34,130953.60,5413622.00,在售,办公
汇金天琅大厦3010,62.66,96200.00,43.74,137811.88,6027892.00,在售,办公
汇金天琅大厦3009,36.96,93600.00,25.80,134087.44,3459456.00,在售,办公
汇金天琅大厦3008,36.96,95200.00,25.79,136432.41,3518592.00,在售,办公
汇金天琅大厦3007,36.96,95800.00,25.80,137239.06,3540768.00,在售,办公
汇金天琅大厦3006,36.96,94700.00,25.79,135715.85,3500112.00,在售,办公
汇金天琅大厦3005,65.25,97800.00,45.54,140128.45,6381450.00,在售,办公
汇金天琅大厦3003,62.31,97000.00,43.49,138976.08,6044070.00,在售,办公
汇金天琅大厦3002,40.04,93400.00,27.95,133800.93,3739736.00,在售,办公
汇金天琅大厦3001,68.05,96500.00,47.50,138248.94,6566825.00,在售,办公
汇金天琅大厦2923,43.88,94000.00,30.62,134706.72,4124720.00,在售,办公
汇金天琅大厦2922,69.81,99900.00,48.72,143144.88,6974019.00,在售,办公
汇金天琅大厦2920,36.96,87000.00,25.79,124680.88,3215520.00,在售,办公
汇金天琅大厦2919,36.96,87200.00,25.79,124967.50,3222912.00,在售,办公
汇金天琅大厦2918,36.96,89500.00,25.80,128213.95,3307920.00,在售,办公
