房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋B座2510,67.58,31204.42,48.49,43489.27,2108795.00,在售,待售
1栋B座2509,55.23,31224.37,39.63,43515.56,1724522.00,在售,待售
1栋B座2508,55.05,31865.35,39.50,44409.82,1754188.00,在售,待售
1栋B座2507,55.05,32432.78,39.50,45200.63,1785425.00,在售,待售
1栋B座2506,55.23,32739.63,39.63,45627.30,1808210.00,在售,待售
1栋B座2505,67.58,33286.04,48.49,46390.41,2249471.00,在售,待售
1栋B座2504,52.58,33173.62,37.73,46230.29,1744269.00,在售,待售
1栋B座2503,38.13,32413.87,27.36,45173.28,1235941.00,在售,待售
1栋B座2502,38.13,31735.06,27.36,44227.26,1210058.00,在售,待售
1栋B座2501,52.58,31874.83,37.73,44420.32,1675979.00,在售,待售
1栋B座2410,67.13,31235.93,48.46,43270.07,2096868.00,在售,待售
1栋B座2409,59.10,31255.92,42.66,43301.10,1847225.00,在售,待售
1栋B座2408,59.08,31896.88,42.65,44184.47,1884468.00,在售,待售
1栋B座2407,59.08,32464.31,42.65,44970.50,1917992.00,在售,待售
1栋B座2406,59.10,32771.15,42.66,45400.25,1936775.00,在售,待售
1栋B座2405,67.13,33317.56,48.46,46153.69,2236608.00,在售,待售
1栋B座2404,53.74,33205.13,38.79,46002.68,1784444.00,在售,待售
1栋B座2403,41.69,32445.40,30.10,44938.50,1352649.00,在售,待售
1栋B座2402,41.69,31766.58,30.09,44012.92,1324349.00,在售,待售
1栋B座2401,53.74,31906.34,38.79,44203.32,1714647.00,在售,待售
1栋B座2310,67.13,31204.40,48.46,43226.41,2094752.00,在售,待售
1栋B座2309,59.10,31224.39,42.66,43257.43,1845362.00,在售,待售
1栋B座2308,59.08,31865.36,42.65,44140.82,1882606.00,在售,待售
1栋B座2307,59.08,32432.78,42.65,44926.82,1916129.00,在售,待售
1栋B座2306,59.10,32739.62,42.66,45356.58,1934912.00,在售,待售
1栋B座2305,67.13,33286.04,48.46,46110.02,2234492.00,在售,待售
1栋B座2304,53.74,33173.61,38.79,45959.01,1782750.00,在售,待售
1栋B座2303,41.69,32413.86,30.10,44894.81,1351334.00,在售,待售
1栋B座2302,41.69,31735.06,30.09,43969.25,1323035.00,在售,待售
1栋B座2301,53.74,31874.82,38.79,44159.65,1712953.00,在售,待售
1栋B座2210,67.13,31172.90,48.46,43182.76,2092637.00,在售,待售
1栋B座2209,59.10,31192.85,42.66,43213.73,1843498.00,在售,待售
1栋B座2208,59.08,31833.85,42.65,44097.16,1880744.00,在售,待售
1栋B座2207,59.08,32401.26,42.65,44883.16,1914267.00,在售,待售
1栋B座2206,59.10,32708.10,42.66,45312.91,1933049.00,在售,待售
1栋B座2205,67.13,33254.52,48.46,46066.36,2232376.00,在售,待售
1栋B座2204,53.74,33142.09,38.79,45915.33,1781056.00,在售,待售
1栋B座2203,41.69,32382.36,30.10,44851.19,1350021.00,在售,待售
1栋B座2202,41.69,31703.55,30.09,43925.58,1321721.00,在售,待售
1栋B座2201,53.74,31843.30,38.79,44115.98,1711259.00,在售,待售
1栋B座2110,67.13,31141.36,48.46,43139.08,2090520.00,在售,待售
1栋B座2109,59.10,31161.33,42.66,43170.06,1841635.00,在售,待售
1栋B座2108,59.08,31802.31,42.65,44053.48,1878881.00,在售,待售
1栋B座2107,59.08,32369.73,42.65,44839.48,1912404.00,在售,待售
1栋B座2106,59.10,32676.58,42.66,45269.24,1931186.00,在售,待售
1栋B座2105,67.13,33222.98,48.46,46022.67,2230259.00,在售,待售
1栋B座2104,53.74,33110.55,38.79,45871.64,1779361.00,在售,待售
1栋B座2103,41.69,32350.82,30.10,44807.50,1348706.00,在售,待售
1栋B座2102,41.69,31672.00,30.09,43881.88,1320406.00,在售,待售
1栋B座2101,53.74,31811.77,38.79,44072.31,1709565.00,在售,待售
1栋B座2010,67.13,31109.84,48.46,43095.41,2088404.00,在售,待售
1栋B座2009,59.10,31129.81,42.66,43126.39,1839772.00,在售,待售
1栋B座2008,59.08,31770.80,42.65,44009.82,1877019.00,在售,待售
1栋B座2007,59.08,32338.21,42.65,44795.82,1910542.00,在售,待售
1栋B座2006,59.10,32645.05,42.66,45225.57,1929323.00,在售,待售
1栋B座2005,67.13,33191.46,48.46,45979.01,2228143.00,在售,待售
1栋B座2004,53.74,33079.02,38.79,45827.97,1777667.00,在售,待售
1栋B座2003,41.69,32319.30,30.10,44763.85,1347392.00,在售,待售
1栋B座2002,41.69,31640.51,30.09,43838.25,1319093.00,在售,待售
1栋C座2012,60.62,34378.83,43.61,47788.23,2084045.00,在售,待售
1栋C座2011,39.52,34431.80,28.43,47862.99,1360745.00,在售,待售
1栋C座2010,39.52,34722.06,28.43,48266.47,1372216.00,在售,待售
1栋C座2009,39.52,34891.54,28.43,48502.07,1378914.00,在售,待售
1栋C座2008,39.52,34801.51,28.43,48376.92,1375356.00,在售,待售
1栋C座2007,39.52,35169.10,28.43,48887.90,1389883.00,在售,待售
1栋C座2006,39.52,35337.52,28.43,49122.01,1396539.00,在售,待售
1栋C座2005,60.62,36395.77,43.61,50591.88,2206312.00,在售,待售
1栋C座2004,53.80,36057.84,38.71,50113.97,1939912.00,在售,待售
1栋C座2003,32.79,34919.12,23.59,48537.43,1144998.00,在售,待售
1栋C座2002,32.79,34350.22,23.59,47746.67,1126344.00,在售,待售
1栋C座2001,53.80,34854.46,38.71,48441.48,1875170.00,在售,待售
1栋C座1912,60.62,34347.06,43.61,47744.07,2082119.00,在售,待售
1栋C座1911,39.52,34400.02,28.43,47818.81,1359489.00,在售,待售
1栋C座1910,39.52,34690.28,28.43,48222.30,1370960.00,在售,待售
1栋C座1909,39.52,34859.76,28.43,48457.89,1377658.00,在售,待售
1栋C座1908,39.52,34769.73,28.43,48332.74,1374100.00,在售,待售
1栋C座1907,39.52,35137.29,28.43,48843.68,1388626.00,在售,待售
1栋C座1906,39.52,35305.74,28.43,49077.84,1395283.00,在售,待售
1栋C座1905,60.62,36363.98,43.61,50547.69,2204385.00,在售,待售
1栋C座1904,53.80,36026.07,38.71,50069.82,1938203.00,在售,待售
1栋C座1903,32.79,34887.31,23.59,48493.21,1143955.00,在售,待售
1栋C座1902,32.79,34318.48,23.59,47702.54,1125303.00,在售,待售
1栋C座1901,53.80,34822.69,38.71,48397.33,1873461.00,在售,待售
1栋C座1812,60.62,34294.11,43.61,47670.46,2078909.00,在售,待售
1栋C座1811,39.52,34347.06,28.43,47745.19,1357396.00,在售,待售
1栋C座1810,39.52,34637.32,28.43,48148.68,1368867.00,在售,待售
1栋C座1809,39.52,34806.80,28.43,48384.27,1375565.00,在售,待售
1栋C座1808,39.52,34716.77,28.43,48259.12,1372007.00,在售,待售
1栋C座1807,39.52,35084.33,28.43,48770.06,1386533.00,在售,待售
1栋C座1806,39.52,35252.78,28.43,49004.22,1393190.00,在售,待售
1栋C座1805,60.62,36311.01,43.61,50474.06,2201174.00,在售,待售
1栋C座1804,53.80,35973.10,38.71,49996.20,1935353.00,在售,待售
1栋C座1803,32.79,34834.33,23.59,48419.58,1142218.00,在售,待售
1栋C座1802,32.79,34265.50,23.59,47628.91,1123566.00,在售,待售
1栋C座1801,53.80,34769.72,38.71,48323.71,1870611.00,在售,待售
1栋C座1712,60.62,34262.32,43.61,47626.27,2076982.00,在售,待售
1栋C座1711,39.52,34315.28,28.43,47701.02,1356140.00,在售,待售
1栋C座1710,39.52,34605.54,28.43,48104.50,1367611.00,在售,待售
1栋C座1709,39.52,34775.05,28.43,48340.13,1374310.00,在售,待售
1栋C座1708,39.52,34684.96,28.43,48214.91,1370750.00,在售,待售
1栋C座1707,39.52,35052.58,28.43,48725.92,1385278.00,在售,待售
1栋C座1706,39.52,35220.97,28.43,48960.00,1391933.00,在售,待售
1栋C座1705,60.62,36279.24,43.61,50429.90,2199248.00,在售,待售
1栋C座1704,53.80,35941.31,38.71,49952.02,1933643.00,在售,待售
1栋C座1703,32.79,34802.59,23.59,48375.45,1141177.00,在售,待售
1栋C座1702,32.79,34233.69,23.59,47584.69,1122523.00,在售,待售
1栋C座1701,53.80,34737.93,38.71,48279.54,1868901.00,在售,待售
1栋C座1612,60.62,34241.14,43.61,47596.83,2075698.00,在售,待售
1栋C座1611,39.52,34294.07,28.43,47671.54,1355302.00,在售,待售
1栋C座1610,39.52,34584.36,28.43,48075.06,1366774.00,在售,待售
1栋C座1609,39.52,34753.84,28.43,48310.65,1373472.00,在售,待售
1栋C座1608,39.52,34663.79,28.43,48185.47,1369913.00,在售,待售
1栋C座1607,39.52,35031.37,28.43,48696.44,1384440.00,在售,待售
1栋C座1606,39.52,35199.82,28.43,48930.60,1391097.00,在售,待售
1栋C座1605,60.62,36258.05,43.61,50400.43,2197963.00,在售,待售
1栋C座1604,53.80,35920.14,38.71,49922.60,1932504.00,在售,待售
1栋C座1603,32.79,34781.39,23.59,48345.99,1140482.00,在售,待售
1栋C座1602,32.79,34212.53,23.59,47555.27,1121829.00,在售,待售
1栋C座1601,53.80,34716.76,38.71,48250.11,1867762.00,在售,待售
