房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2118,72.24,43253.01,50.25,62181.05,3124598.00,在售,办公
2117,79.57,44353.00,55.35,63760.95,3529169.00,在售,办公
2116,71.81,44253.01,49.95,63619.79,3177809.00,在售,办公
2115,71.81,44153.01,49.95,63476.03,3170628.00,在售,办公
2113,71.81,43453.01,49.95,62469.68,3120361.00,在售,办公
2112,71.81,43253.01,49.95,62182.16,3105999.00,在售,办公
2111,71.81,43153.01,49.95,62038.39,3098818.00,在售,办公
2110,79.57,42453.00,55.35,61029.55,3377986.00,在售,办公
2109,72.24,42253.01,50.25,60743.44,3052358.00,在售,办公
2108,79.57,42953.00,55.35,61748.34,3417771.00,在售,办公
2107,71.81,39953.01,49.95,57437.95,2869026.00,在售,办公
2106,71.81,39953.01,49.95,57437.95,2869026.00,在售,办公
2105,71.81,39953.01,49.95,57437.95,2869026.00,在售,办公
2103,71.81,39953.01,49.95,57437.95,2869026.00,在售,办公
2102,71.81,39953.01,49.95,57437.95,2869026.00,在售,办公
2101,79.57,44353.00,55.35,63760.95,3529169.00,在售,办公
2018,72.24,43253.01,50.25,62181.05,3124598.00,在售,办公
2017,79.57,44353.00,55.35,63760.95,3529169.00,在售,办公
2016,71.81,44253.01,49.95,63619.79,3177809.00,在售,办公
2015,71.81,44153.01,49.95,63476.03,3170628.00,在售,办公
2013,71.81,43453.01,49.95,62469.68,3120361.00,在售,办公
2012,71.81,43253.01,49.95,62182.16,3105999.00,在售,办公
2011,71.81,43153.01,49.95,62038.39,3098818.00,在售,办公
2010,79.57,42453.00,55.35,61029.55,3377986.00,在售,办公
2009,72.24,42253.01,50.25,60743.44,3052358.00,在售,办公
2008,79.57,42953.00,55.35,61748.34,3417771.00,在售,办公
2007,71.81,39953.01,49.95,57437.95,2869026.00,在售,办公
2006,71.81,39953.01,49.95,57437.95,2869026.00,在售,办公
2005,71.81,39953.01,49.95,57437.95,2869026.00,在售,办公
2003,71.81,39953.01,49.95,57437.95,2869026.00,在售,办公
2002,71.81,39953.01,49.95,57437.95,2869026.00,在售,办公
2001,79.57,44353.00,55.35,63760.95,3529169.00,在售,办公
1918,72.24,43253.01,50.25,62181.05,3124598.00,在售,办公
1917,79.57,44353.00,55.35,63760.95,3529169.00,在售,办公
1916,71.81,44253.01,49.95,63619.79,3177809.00,在售,办公
1915,71.81,44153.01,49.95,63476.03,3170628.00,在售,办公
1913,71.81,43453.01,49.95,62469.68,3120361.00,在售,办公
1912,71.81,43253.01,49.95,62182.16,3105999.00,在售,办公
1911,71.81,43153.01,49.95,62038.39,3098818.00,在售,办公
1910,79.57,42453.00,55.35,61029.55,3377986.00,在售,办公
,7051984.57,在售,办公
1603,231.45,43212.03,155.53,64305.44,10001426.05,在售,办公
1602,148.85,42481.26,100.02,63220.72,6323336.76,在售,办公
1601,231.45,41058.19,155.53,61100.22,9502918.35,在售,办公
1507,231.47,42927.42,155.53,63887.41,9936410.36,在售,办公
1506,148.86,43304.34,100.02,64449.95,6446284.80,在售,办公
1505,148.86,43304.34,100.02,64449.95,6446284.80,在售,办公
1504,173.23,40573.57,116.40,60382.82,7028560.54,在售,办公
1503,231.47,43112.03,155.53,64162.17,9979143.29,在售,办公
1502,148.86,42381.26,100.02,63076.14,6308875.57,在售,办公
1501,231.47,40958.19,155.53,60956.68,9480592.52,在售,办公
1407,231.47,42727.42,155.53,63589.76,9890116.36,在售,办公
1406,148.86,43104.34,100.02,64152.29,6416512.80,在售,办公
1405,148.86,43104.34,100.02,64152.29,6416512.80,在售,办公
1404,173.23,40373.57,116.40,60085.17,6993914.54,在售,办公
1403,231.47,42912.03,155.53,63864.52,9932849.29,在售,办公
1402,148.86,42181.26,100.02,62778.48,6279103.57,在售,办公
1401,231.47,40758.19,155.53,60659.02,9434298.52,在售,办公
1307,231.47,42627.42,155.53,63440.93,9866969.36,在售,办公
1306,148.86,43004.34,100.02,64003.46,6401626.80,在售,办公
1305,148.86,43004.34,100.02,64003.46,6401626.80,在售,办公
1304,173.23,40273.57,116.40,59936.35,6976591.54,在售,办公
1303,231.47,42812.03,155.53,63715.69,9909702.29,在售,办公
1302,148.86,42081.26,100.02,62629.64,6264217.57,在售,办公
1301,231.47,40658.19,155.53,60510.20,9411151.52,在售,办公
1207,231.47,42627.42,155.53,63440.93,9866969.36,在售,办公
1206,148.86,43004.34,100.02,64003.46,6401626.80,在售,办公
1205,148.86,43004.34,100.02,64003.46,6401626.80,在售,办公
1204,173.23,40273.57,116.40,59936.35,6976591.54,在售,办公
1203,231.47,42812.03,155.53,63715.69,9909702.29,在售,办公
1202,148.86,42081.26,100.02,62629.64,6264217.57,在售,办公
1201,231.47,40658.19,155.53,60510.20,9411151.52,在售,办公
1107,231.47,42527.42,155.53,63292.11,9843822.36,在售,办公
1106,148.86,42904.34,100.02,63854.63,6386740.80,在售,办公
1105,148.86,42904.34,100.02,63854.63,6386740.80,在售,办公
1104,173.23,40173.57,116.40,59787.53,6959268.54,在售,办公
1103,231.47,42712.03,155.53,63566.87,9886555.29,在售,办公
1102,148.86,41981.26,100.02,62480.81,6249331.57,在售,办公
1101,231.47,40558.19,155.53,60361.37,9388004.52,在售,办公
1007,231.47,42427.42,155.53,63143.28,9820675.36,在售,办公
1006,148.86,42804.34,100.02,63705.80,6371854.80,在售,办公
1005,148.86,42804.34,100.02,63705.80,6371854.80,在售,办公
1004,173.23,40073.57,116.40,59638.70,6941945.54,在售,办公
1003,231.47,42612.03,155.53,63418.04,9863408.29,在售,办公
1002,148.86,41881.26,100.02,62331.98,6234445.57,在售,办公
1001,231.47,40458.19,155.53,60212.54,9364857.52,在售,办公
907,231.47,42327.42,155.53,62994.46,9797528.36,在售,办公
906,148.86,42704.34,100.02,63556.97,6356968.80,在售,办公
905,148.86,42704.34,100.02,63556.97,6356968.80,在售,办公
904,173.23,39973.57,116.40,59489.88,6924622.54,在售,办公
903,231.47,42512.03,155.53,63269.21,9840261.29,在售,办公
902,148.86,41781.26,100.02,62183.15,6219559.57,在售,办公
901,231.47,40358.19,155.53,60063.72,9341710.52,在售,办公
807,231.47,42227.42,155.53,62845.63,9774381.36,在售,办公
806,148.86,42604.34,100.02,63408.14,6342082.80,在售,办公
805,148.86,42604.34,100.02,63408.14,6342082.80,在售,办公
804,173.23,39873.57,116.40,59341.06,6907299.54,在售,办公
