房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋31H,88.38,111465.67,65.87,149557.25,9851336.69,在售,未销售
5栋31G,86.53,106538.01,64.49,142948.28,9218734.80,在售,未销售
5栋31F,88.80,93274.18,66.18,125154.85,8282748.02,在售,未销售
5栋31E,87.63,93644.40,65.31,125647.81,8206058.96,在售,未销售
5栋31D,87.63,92829.50,65.31,124554.43,8134649.83,在售,未销售
5栋31C,88.80,93214.61,66.18,125074.91,8277457.80,在售,未销售
5栋31B,86.53,99324.18,64.49,133269.06,8594522.11,在售,未销售
5栋31A,88.38,109578.44,65.87,147025.09,9684542.94,在售,未销售
5栋30H,88.38,110827.38,65.87,148700.83,9794923.92,在售,未销售
5栋30G,86.53,105952.91,64.49,142163.21,9168105.54,在售,未销售
5栋30F,88.80,92742.27,66.18,124441.12,8235513.97,在售,未销售
5栋30E,87.63,101623.12,65.31,136353.30,8905234.49,在售,未销售
5栋30D,87.63,100808.23,65.31,135259.91,8833825.36,在售,未销售
5栋30C,88.80,92682.70,66.18,124361.19,8230223.76,在售,未销售
5栋30B,86.53,98792.27,64.49,132555.36,8548495.51,在售,未销售
5栋30A,88.38,108940.14,65.87,146168.66,9628130.18,在售,未销售
5栋29H,88.38,110189.08,65.87,147844.40,9738511.15,在售,未销售
5栋29G,86.53,105367.80,64.49,141378.14,9117476.29,在售,未销售
5栋29F,88.80,92210.35,66.18,123727.40,8188279.93,在售,未销售
5栋29E,87.63,92580.57,65.31,124220.41,8112835.55,在售,未销售
5栋29D,87.63,91765.67,65.31,123127.03,8041426.43,在售,未销售
5栋29C,88.80,92150.78,66.18,123647.47,8182989.72,在售,未销售
5栋29B,86.53,98260.35,64.49,131841.66,8502468.91,在售,未销售
5栋29A,88.38,108301.84,65.87,145312.24,9571717.41,在售,未销售
5栋28H,88.38,109550.78,65.87,146987.98,9682098.39,在售,未销售
5栋28G,86.53,104782.70,64.49,140593.06,9066847.03,在售,未销售
5栋28F,88.80,91678.44,66.18,123013.68,8141045.89,在售,未销售
5栋28E,87.63,100559.29,65.31,134925.90,8812011.09,在售,未销售
5栋28D,87.63,99744.40,65.31,133832.52,8740601.96,在售,未销售
5栋28C,88.80,91618.87,66.18,122933.75,8135755.68,在售,未销售
5栋28B,86.53,97728.44,64.49,131127.96,8456442.32,在售,未销售
5栋28A,88.38,107663.55,65.87,144455.81,9515304.64,在售,未销售
5栋27H,88.38,108912.48,65.87,146131.55,9625685.62,在售,未销售
5栋27G,86.53,104197.59,64.49,139807.99,9016217.78,在售,未销售
5栋27F,88.80,91146.52,66.18,122299.96,8093811.85,在售,未销售
5栋27E,87.63,91516.74,65.31,122793.02,8019612.15,在售,未销售
5栋27D,87.63,90701.84,65.31,121699.63,7948203.02,在售,未销售
5栋27C,88.80,91086.95,66.18,122220.03,8088521.63,在售,未销售
5栋27B,86.53,97196.52,64.49,130414.26,8410415.72,在售,未销售
5栋27A,88.38,107025.25,65.87,143599.39,9458891.88,在售,未销售
1栋18B,397.05,134630.73,333.02,160516.28,53455132.96,在售,未销售
1栋18A,398.10,121196.39,333.89,144503.52,48248283.10,在售,未销售
1栋17B,397.05,132913.56,333.02,158468.95,52773329.93,在售,未销售
1栋17A,398.10,119378.20,333.89,142335.69,47524464.92,在售,未销售
1栋16B,397.05,132408.51,333.02,157866.79,52572799.62,在售,未销售
1栋16A,398.10,118772.14,333.89,141613.08,47283192.20,在售,未销售
1栋15B,396.94,131903.46,332.93,157263.56,52357759.94,在售,未销售
1栋15A,397.99,118166.08,333.80,140889.51,47028921.20,在售,未销售
1栋14B,396.94,131398.41,332.93,156661.41,52157285.19,在售,未销售
1栋14A,397.99,117560.02,333.80,140166.91,46787715.14,在售,未销售
1栋13B,396.94,130893.36,332.93,156059.26,51956810.44,在售,未销售
1栋13A,397.99,116953.96,333.80,139444.30,46546509.08,在售,未销售
1栋12B,396.94,130388.30,332.93,155457.11,51756335.70,在售,未销售
1栋12A,397.99,116347.90,333.80,138721.69,46305303.02,在售,未销售
1栋11B,396.94,129883.25,332.93,154854.95,51555860.95,在售,未销售
1栋11A,397.99,115741.84,333.80,137999.09,46064096.96,在售,未销售
1栋10B,396.94,129378.20,332.93,154252.80,51355386.20,在售,未销售
1栋10A,397.99,115135.78,333.80,137276.48,45822890.90,在售,未销售
1栋9B,396.94,128873.15,332.93,153650.65,51154911.45,在售,未销售
1栋9A,397.99,114529.72,333.80,136553.87,45581684.84,在售,未销售
1栋8B,396.94,128368.10,332.93,153048.49,50954436.71,在售,未销售
1栋8A,397.99,113923.66,333.80,135831.27,45340478.77,在售,未销售
1栋7B,396.94,126650.93,332.93,151001.17,50272822.56,在售,未销售
1栋7A,397.99,112105.48,333.80,133663.45,44616860.59,在售,未销售
1栋6B,396.74,126145.88,332.76,150400.04,50047118.64,在售,未销售
1栋6A,397.78,111499.42,333.63,132938.40,44352239.65,在售,未销售
1栋5B,396.74,125640.83,332.76,149797.88,49846744.90,在售,未销售
1栋5A,397.78,110893.36,333.63,132215.81,44111160.87,在售,未销售
1栋4B,396.74,125135.78,332.76,149195.73,49646371.17,在售,未销售
1栋4A,397.78,110287.29,333.63,131493.21,43870082.08,在售,未销售
1栋3B,396.74,124630.73,332.76,148593.57,49445997.43,在售,未销售
1栋3A,397.78,109681.23,333.63,130770.62,43629003.29,在售,未销售
1栋2B,396.74,124125.68,332.76,147991.41,49245623.69,在售,未销售
1栋2A,397.78,109075.17,333.63,130048.03,43387924.50,在售,未销售
