房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋M座602,220.30,70698.00,177.98,87508.54,15574769.00,在售,未销售
1栋M座601,222.84,70198.00,180.03,86890.64,15642922.00,在售,未销售
1栋M座502,220.30,69698.00,177.98,86270.76,15354469.00,在售,未销售
1栋M座501,222.84,69098.00,180.03,85529.07,15397798.00,在售,未销售
1栋M座402,220.30,68098.00,177.98,84290.31,15001989.00,在售,未销售
1栋M座401,222.84,67598.00,180.03,83672.38,15063538.00,在售,未销售
1栋M座302,220.30,66098.00,177.98,81814.75,14561389.00,在售,未销售
1栋M座301,222.84,65598.00,180.03,81196.79,14617858.00,在售,未销售
1栋M座202,216.96,123998.00,186.35,144366.01,26902606.00,在售,未销售
1栋M座201,236.35,124698.00,203.00,145184.10,29472372.00,在售,未销售
1栋L座602,220.30,71698.00,177.98,88746.32,15795069.00,在售,未销售
1栋L座601,222.84,72198.00,180.03,89366.23,16088602.00,在售,未销售
1栋L座502,220.30,70698.00,177.98,87508.54,15574769.00,在售,未销售
1栋L座501,222.84,71198.00,180.03,88128.44,15865762.00,在售,未销售
1栋L座402,220.30,69098.00,177.98,85528.09,15222289.00,在售,未销售
1栋L座401,222.84,69698.00,180.03,86271.75,15531502.00,在售,未销售
1栋L座302,220.30,67098.00,177.98,83052.53,14781689.00,在售,未销售
1栋L座301,222.84,67598.00,180.03,83672.38,15063538.00,在售,未销售
1栋L座202,216.96,124998.00,186.35,145530.27,27119566.00,在售,未销售
1栋L座201,236.35,128498.00,203.00,149608.39,30370502.00,在售,未销售
1栋K座602,220.30,80198.00,177.98,99267.44,17667619.00,在售,未销售
1栋K座601,222.84,80698.00,180.03,99887.48,17982742.00,在售,未销售
1栋K座502,220.30,79198.00,177.98,98029.66,17447319.00,在售,未销售
1栋K座501,222.84,79698.00,180.03,98649.68,17759902.00,在售,未销售
1栋K座402,220.30,77598.00,177.98,96049.22,17094839.00,在售,未销售
1栋K座401,222.84,78098.00,180.03,96669.21,17403358.00,在售,未销售
1栋K座302,220.30,75598.00,177.98,93573.66,16654239.00,在售,未销售
1栋K座301,222.84,76098.00,180.03,94193.63,16957678.00,在售,未销售
1栋K座202,216.96,125198.00,186.35,145763.12,27162958.00,在售,未销售
1栋K座201,236.35,126998.00,203.00,147861.96,30015977.00,在售,未销售
1栋J座602,220.30,76098.00,177.98,94192.55,16764389.00,在售,未销售
1栋J座601,222.84,76598.00,180.03,94812.52,17069098.00,在售,未销售
1栋J座502,220.30,75098.00,177.98,92954.77,16544089.00,在售,未销售
1栋J座501,222.84,75598.00,180.03,93574.73,16846258.00,在售,未销售
1栋J座402,220.30,73498.00,177.98,90974.32,16191609.00,在售,未销售
1栋J座401,222.84,73998.00,180.03,91594.26,16489714.00,在售,未销售
1栋J座302,220.30,71498.00,177.98,88498.76,15751009.00,在售,未销售
1栋J座301,222.84,71998.00,180.03,89118.67,16044034.00,在售,未销售
1栋J座202,216.96,124098.00,186.35,144482.44,26924302.00,在售,未销售
1栋J座201,236.35,126398.00,203.00,147163.39,29874167.00,在售,未销售
1栋H座602,220.30,83498.00,177.98,103352.11,18394609.00,在售,未销售
1栋H座601,222.84,83998.00,180.03,103972.20,18718114.00,在售,未销售
1栋H座502,220.30,82498.00,177.98,102114.34,18174309.00,在售,未销售
1栋H座501,222.84,82998.00,180.03,102734.40,18495274.00,在售,未销售
1栋H座402,220.30,80898.00,177.98,100133.89,17821829.00,在售,未销售
1栋H座401,222.84,81398.00,180.03,100753.93,18138730.00,在售,未销售
1栋H座302,220.30,78898.00,177.98,97658.33,17381229.00,在售,未销售
1栋H座301,222.84,79398.00,180.03,98278.34,17693050.00,在售,未销售
1栋H座202,216.96,121798.00,186.35,141804.64,26425294.00,在售,未销售
1栋H座201,236.35,128498.00,203.00,149608.39,30370502.00,在售,未销售
1栋G座602,220.30,81398.00,177.98,100752.78,17931979.00,在售,未销售
1栋G座601,222.84,81898.00,180.03,101372.83,18250150.00,在售,未销售
1栋G座502,220.30,80398.00,177.98,99515.00,17711679.00,在售,未销售
1栋G座501,222.84,80898.00,180.03,100135.03,18027310.00,在售,未销售
1栋G座402,220.30,78898
