房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋33B,287.05,141013.23,246.47,164230.31,40477845.00,在售,未售
3栋33A,367.45,129427.51,315.51,150734.17,47558138.00,在售,未售
3栋32C,205.66,111727.51,176.59,130119.93,22977879.00,在售,未售
3栋32B,287.05,140013.23,246.47,163065.66,40190795.00,在售,未售
3栋32A,367.45,128427.51,315.51,149569.54,47190688.00,在售,未售
3栋31C,205.66,111227.51,176.59,129537.62,22875049.00,在售,未售
3栋31B,287.05,139013.23,246.47,161901.02,39903745.00,在售,未售
3栋31A,367.45,127427.51,315.51,148404.92,46823238.00,在售,未售
3栋30C,205.66,110727.51,176.59,128955.31,22772219.00,在售,未售
3栋30B,287.05,138013.23,246.47,160736.37,39616695.00,在售,未售
3栋30A,367.45,126427.51,315.51,147240.30,46455788.00,在售,未售
3栋29C,205.66,110227.51,176.59,128373.00,22669389.00,在售,未售
3栋29B,287.05,137013.23,246.47,159571.73,39329645.00,在售,未售
3栋29A,367.45,125427.51,315.51,146075.68,46088338.00,在售,未售
3栋28C,205.66,109727.51,176.59,127790.69,22566559.00,在售,未售
3栋28B,287.05,136013.23,246.47,158407.08,39042595.00,在售,未售
3栋28A,367.45,124427.51,315.51,144911.05,45720888.00,在售,未售
3栋27C,205.66,109227.51,176.59,127208.38,22463729.00,在售,未售
3栋27B,287.05,135013.23,246.47,157242.44,38755545.00,在售,未售
3栋27A,367.45,123427.51,315.51,143746.43,45353438.00,在售,未售
3栋26C,205.66,108727.51,176.59,126626.07,22360899.00,在售,未售
3栋26B,287.05,134013.23,246.47,156077.79,38468495.00,在售,未售
3栋26A,367.45,122427.51,315.51,142581.81,44985988.00,在售,未售
3栋25C,205.66,108227.51,176.59,126043.76,22258069.00,在售,未售
3栋25B,287.05,133513.23,246.47,155495.47,38324970.00,在售,未售
3栋25A,367.45,122427.51,315.51,142581.81,44985988.00,在售,未售
3栋24C,205.66,107727.51,176.59,125461.45,22155239.00,在售,未售
3栋24B,287.05,132513.23,246.47,154330.83,38037920.00,在售,未售
3栋24A,367.45,121427.51,315.51,141417.19,44618538.00,在售,未售
3栋23C,205.66,107227.51,176.59,124879.14,22052409.00,在售,未售
3栋23B,287.05,131513.23,246.47,153166.18,37750870.00,在售,未售
3栋23A,367.45,120427.51,315.51,140252.56,44251088.00,在售,未售
3栋22C,205.66,106727.51,176.59,124296.84,21949579.00,在售,未售
3栋22B,287.05,130513.23,246.47,152001.54,37463820.00,在售,未售
3栋22A,367.45,119427.51,315.51,139087.94,43883638.00,在售,未售
