房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
C座3006,73.86,19477.00,53.67,26804.00,1438571.00,在售,公寓
C座3005,96.46,19835.00,70.10,27293.00,1913284.00,在售,公寓
C座3004,88.32,19382.00,64.19,26667.00,1711818.00,在售,公寓
C座3003,71.88,19037.00,52.24,26194.00,1368379.00,在售,公寓
C座3002,84.27,19215.00,61.24,26441.00,1619248.00,在售,公寓
C座3001,64.05,19610.00,46.54,26987.00,1256020.00,在售,公寓
C座2906,73.86,19477.00,53.67,26804.00,1438571.00,在售,公寓
C座2905,96.46,19835.00,70.10,27293.00,1913284.00,在售,公寓
C座2904,88.32,19382.00,64.19,26667.00,1711818.00,在售,公寓
C座2903,71.88,19037.00,52.24,26194.00,1368379.00,在售,公寓
C座2902,84.27,19215.00,61.24,26441.00,1619248.00,在售,公寓
C座2901,64.05,19610.00,46.54,26987.00,1256020.00,在售,公寓
C座2806,73.86,19477.00,53.67,26804.00,1438571.00,在售,公寓
C座2805,96.46,19835.00,70.10,27293.00,1913284.00,在售,公寓
C座2804,88.32,19382.00,64.19,26667.00,1711818.00,在售,公寓
C座2803,71.88,19037.00,52.24,26194.00,1368379.00,在售,公寓
C座2802,84.27,19215.00,61.24,26441.00,1619248.00,在售,公寓
C座2801,64.05,19610.00,46.54,26987.00,1256020.00,在售,公寓
C座2706,73.86,19477.00,53.67,26804.00,1438571.00,在售,公寓
C座2705,96.46,19835.00,70.10,27293.00,1913284.00,在售,公寓
C座2704,88.32,26500.00,64.19,36461.00,2340480.00,在售,公寓
C座2703,71.88,19037.00,52.24,26194.00,1368379.00,在售,公寓
C座2702,84.27,19215.00,61.24,26441.00,1619248.00,在售,公寓
C座2701,64.05,19610.00,46.54,26987.00,1256020.00,在售,公寓
C座2606,73.86,19477.00,53.67,26804.00,1438571.00,在售,公寓
C座2605,96.46,19835.00,70.10,27293.00,1913284.00,在售,公寓
C座2604,88.32,19382.00,64.19,26667.00,1711818.00,在售,公寓
C座2603,71.88,19037.00,52.24,26194.00,1368379.00,在售,公寓
C座2602,84.27,19215.00,61.24,26441.00,1619248.00,在售,公寓
C座2601,64.05,19610.00,46.54,26987.00,1256020.00,在售,公寓
C座2506,73.86,19477.00,53.67,26804.00,1438571.00,在售,公寓
C座2505,96.46,19835.00,70.10,27293.00,1913284.00,在售,公寓
C座2504,88.32,19382.00,64.19,26667.00,1711818.00,在售,公寓
C座2503,71.88,19037.00,52.24,26194.00,1368379.00,在售,公寓
C座2502,84.27,19215.00,61.24,26441.00,1619248.00,在售,公寓
C座2501,64.05,19610.00,46.54,26987.00,1256020.00,在售,公寓
C座2406,73.86,28500.00,53.67,39221.00,2105010.00,在售,公寓
C座2405,96.46,19639.00,70.10,27023.00,1894377.00,在售,公寓
C座2404,88.32,19179.00,64.19,26388.00,1693889.00,在售,公寓
C座2403,71.88,18837.00,52.24,25918.00,1354003.00,在售,公寓
C座2402,84.27,19023.00,61.24,26176.00,1603068.00,在售,公寓
C座2401,64.05,19414.00,46.54,26718.00,1243466.00,在售,公寓
C座2306,73.86,19282.00,53.67,26535.00,1424168.00,在售,公寓
C座2305,96.46,19639.00,70.10,27023.00,1894377.00,在售,公寓
C座2304,88.32,19179.00,64.19,26388.00,1693889.00,在售,公寓
C座2303,71.88,18837.00,52.24,25918.00,1354003.00,在售,公寓
C座2302,84.27,19023.00,61.24,26176.00,1603068.00,在售,公寓
C座2301,64.05,19414.00,46.54,26718.00,1243466.00,在售,公寓
C座2206,73.86,19282.00,53.67,26535.00,1424168.00,在售,公寓
C座2205,96.46,19639.00,70.10,27023.00,1894377.00,在售,公寓
C座2204,88.32,19179.00,64.19,26388.00,1693889.00,在售,公寓
C座2203,71.88,18837.00,52.24,25918.00,1354003.00,在售,公寓
C座2202,84.27,19023.00,61.24,26176.00,1603068.00,在售,公寓
C座2201,64.05,19414.00,46.54,26718.00,1243466.00,在售,公寓
C座2106,73.86,19282.00,53.67,26535.00,1424168.00,在售,公寓
C座2105,96.46,28500.00,70.10,39216.00,2749110.00,在售,公寓
C座2104,88.32,19179.00,64.19,26388.00,1693889.00,在售,公寓
C座2103,71.88,18837.00,52.24,25918.00,1354003.00,在售,公寓
C座2102,84.27,19023.00,61.24,26176.00,1603068.00,在售,公寓
C座2101,64.05,19414.00,46.54,26718.00,1243466.00,在售,公寓
C座2006,73.86,19282.00,53.67,26535.00,1424168.00,在售,公寓
C座2005,96.46,19639.00,70.10,27023.00,1894377.00,在售,公寓
C座2004,88.32,19179.00,64.
