房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
7号楼B单元3003,89.17,50193.50,67.78,66033.55,4475754.45,在售,住宅
7号楼B单元3002,89.38,48395.14,67.94,63667.31,4325557.29,在售,住宅
7号楼B单元3001,89.02,48542.87,67.68,63848.78,4321285.89,在售,住宅
7号楼B单元2903,89.17,50244.86,67.78,66101.12,4480334.58,在售,住宅
7号楼B单元2902,89.38,48446.50,67.94,63734.88,4330148.21,在售,住宅
7号楼B单元2901,89.02,48594.23,67.68,63916.34,4325858.32,在售,住宅
7号楼B单元2803,89.17,50193.50,67.78,66033.55,4475754.45,在售,住宅
7号楼B单元2802,89.38,48395.14,67.94,63667.31,4325557.29,在售,住宅
7号楼B单元2801,89.02,48542.87,67.68,63848.78,4321285.89,在售,住宅
7号楼B单元2703,89.17,50142.14,67.78,65965.98,4471174.32,在售,住宅
7号楼B单元2702,89.38,48343.77,67.94,63599.74,4320966.37,在售,住宅
7号楼B单元2701,89.02,48491.50,67.68,63781.22,4316713.46,在售,住宅
7号楼B单元2603,89.17,50090.77,67.78,65898.40,4466594.19,在售,住宅
7号楼B单元2602,89.38,48292.41,67.94,63532.16,4316375.45,在售,住宅
7号楼B单元2601,89.02,48440.14,67.68,63713.66,4312141.04,在售,住宅
7号楼B单元2503,89.17,50039.41,67.78,65830.83,4462014.06,在售,住宅
7号楼B单元2502,89.38,48241.04,67.94,63464.59,4311784.54,在售,住宅
7号楼B单元2501,89.02,48388.77,67.68,63646.10,4307568.61,在售,住宅
7号楼B单元2403,89.17,49988.04,67.78,65763.26,4457433.93,在售,住宅
7号楼B单元2402,89.38,48189.68,67.94,63397.02,4307193.62,在售,住宅
7号楼B单元2401,89.02,48337.41,67.68,63578.54,4302996.18,在售,住宅
7号楼B单元2303,89.17,49936.68,67.78,65695.68,4452853.80,在售,住宅
7号楼B单元2302,89.38,48138.32,67.94,63329.44,4302602.70,在售,住宅
7号楼B单元2301,89.02,48286.05,67.68,63510.98,4298423.76,在售,住宅
7号楼B单元2203,89.17,49885.32,67.78,65628.11,4448273.66,在售,住宅
7号楼B单元2202,89.38,48086.95,67.94,63261.87,4298011.78,在售,住宅
7号楼B单元2201,89.02,48234.68,67.68,63443.42,4293851.33,在售,住宅
7号楼B单元2103,89.17,49833.95,67.78,65560.54,4443693.53,在售,住宅
7号楼B单元2102,89.38,48035.59,67.94,63194.30,4293420.87,在售,住宅
7号楼B单元2101,89.02,48183.32,67.68,63375.87,4289278.90,在售,住宅
7号楼B单元2003,89.17,49782.59,67.78,65492.96,4439113.40,在售,住宅
7号楼B单元2002,89.38,47984.22,67.94,63126.72,4288829.95,在售,住宅
7号楼B单元2001,89.02,48131.95,67.68,63308.31,4284706.48,在售,住宅
7号楼B单元1903,89.17,49731.22,67.78,65425.39,4434533.27,在售,住宅
7号楼B单元1902,89.38,47932.86,67.94,63059.15,4284239.03,在售,住宅
7号楼B单元1901,89.02,48080.59,67.68,63240.75,4280134.05,在售,住宅
7号楼B单元1803,89.17,49679.86,67.78,65357.82,4429953.14,在售,住宅
7号楼B单元1802,89.38,47881.50,67.94,62991.58,4279648.11,在售,住宅
7号楼B单元1801,89.02,48029.23,67.68,63173.19,4275561.62,在售,住宅
7号楼B单元1703,89.17,49628.50,67.78,65290.24,4425373.01,在售,住宅
7号楼B单元1702,89.38,47830.13,67.94,62924.00,4275057.20,在售,住宅
7号楼B单元1701,89.02,47977.86,67.68,63105.63,4270989.20,在售,住宅
7号楼B单元1603,89.17,49577.13,67.78,65222.67,4420792.88,在售,住宅
