房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
6栋住宅2F,86.78,40878.80,69.96,50707.01,3547463.00,在售,住宅
6栋住宅2E,124.89,40444.50,100.69,50165.00,5051114.00,在售,住宅
6栋住宅2D,87.04,43001.76,70.17,53340.08,3742874.00,在售,住宅
6栋住宅2C,87.04,43180.18,70.17,53561.39,3758403.00,在售,住宅
6栋住宅2B,125.03,41918.14,100.80,51994.30,5241026.00,在售,住宅
6栋住宅2A,80.15,41107.51,64.61,50994.69,3294767.00,在售,住宅
6栋住宅3F,86.78,40931.20,69.96,50772.01,3552010.00,在售,住宅
6栋住宅3E,124.89,40496.90,100.69,50229.99,5057658.00,在售,住宅
6栋住宅3D,87.04,43054.17,70.17,53405.08,3747435.00,在售,住宅
6栋住宅3C,87.04,43232.58,70.17,53626.39,3762964.00,在售,住宅
6栋住宅3B,125.03,41970.54,100.80,52059.29,5247577.00,在售,住宅
6栋住宅3A,80.15,41159.91,64.61,51059.69,3298967.00,在售,住宅
6栋住宅4F,86.78,40962.64,69.96,50811.00,3554738.00,在售,住宅
6栋住宅4E,124.89,40549.29,100.69,50294.98,5064202.00,在售,住宅
6栋住宅4D,87.04,43085.60,70.17,53444.07,3750171.00,在售,住宅
6栋住宅4C,87.04,43284.98,70.17,53691.39,3767525.00,在售,住宅
6栋住宅4B,125.03,42022.94,100.80,52124.29,5254129.00,在售,住宅
6栋住宅4A,80.15,41212.31,64.61,51124.70,3303167.00,在售,住宅
6栋住宅5F,86.78,40994.08,69.96,50850.01,3557467.00,在售,住宅
6栋住宅5E,124.89,40601.70,100.69,50359.98,5070747.00,在售,住宅
6栋住宅5D,87.04,43117.04,70.17,53483.08,3752908.00,在售,住宅
6栋住宅5C,87.04,43337.38,70.17,53756.39,3772086.00,在售,住宅
6栋住宅5B,125.03,42127.74,100.80,52254.28,5267232.00,在售,住宅
6栋住宅5A,80.15,41317.11,64.61,51254.71,3311567.00,在售,住宅
6栋住宅6F,86.78,41025.52,69.96,50889.00,3560195.00,在售,住宅
6栋住宅6E,124.89,40654.10,100.69,50424.97,5077291.00,在售,住宅
6栋住宅6D,87.04,43148.48,70.17,53522.07,3755644.00,在售,住宅
6栋住宅6C,87.04,43442.18,70.17,53886.39,3781208.00,在售,住宅
6栋住宅6B,125.03,42337.34,100.80,52514.26,5293438.00,在售,住宅
6栋住宅6A,80.15,41526.71,64.61,51514.71,3328366.00,在售,住宅
6栋住宅7F,86.78,41056.96,69.96,50928.00,3562923.00,在售,住宅
6栋住宅7E,124.89,40706.50,100.69,50489.96,5083835.00,在售,住宅
6栋住宅7D,87.04,43179.92,70.17,53561.08,3758381.00,在售,住宅
6栋住宅7C,87.04,43651.78,70.17,54146.37,3799451.00,在售,住宅
6栋住宅7B,125.03,42389.74,100.80,52579.26,5299990.00,在售,住宅
6栋住宅7A,80.15,41558.15,64.61,51553.72,3330886.00,在售,住宅
6栋住宅8F,86.99,41088.40,70.13,50966.49,3574280.00,在售,住宅
6栋住宅8E,124.91,40758.89,100.70,50558.03,5091194.00,在售,住宅
6栋住宅8D,87.04,43211.36,70.17,53600.07,3761117.00,在售,住宅
6栋住宅8C,87.04,43683.22,70.17,54185.37,3802188.00,在售,住宅
6栋住宅8B,125.04,42442.14,100.81,52643.24,5306966.00,在售,住宅
6栋住宅8A,80.39,41589.60,64.81,51587.53,3343388.00,在售,住宅
6栋住宅9F,86.99,41119.84,70.13,51005.48,3577015.00,在售,住宅
6栋住宅9E,124.91,40811.30,100.70,50623.03,5097740.00,在售,住宅
6栋住宅9D,87.04,43242.80,70.17,53639.07,3763854.00,在售,住宅
6栋住宅9C,87.04,43714.65,70.17,54224.36,3804924.00,在售,住宅
6栋住宅9B,125.04,42494.54,100.81,52708.24,5313518.00,在售,住宅
6栋住宅9A,80.39,41621.03,64.81,51626.52,3345915.00,在售,住宅
6栋住宅10F,86.99,41151.28,70.13,51044.48,3579750.00,在售,住宅
6栋住宅10E,124.91,40863.70,100.70,50688.03,5104285.00,在售,住宅
6栋住宅10D,87.04,43274.25,70.17,53678.08,3766591.00,在售,住宅
6栋住宅10C,87.04,43746.10,70.17,54263.37,3807661.00,在售,住宅
6栋住宅10B,125.04,42546.94,100.81,52773.23,5320070.00,在售,住宅
6栋住宅10A,80.39,41652.48,64.81,51665.53,3348443.00,在售,住宅
6栋住宅11F,86.99,41182.72,70.13,51083.48,3582485.00,在售,住宅
6栋住宅11E,124.91,40916.09,100.70,50753.02,5110830.00,在售,住宅
6栋住宅11D,87.04,43305.68,70.17,53717.07,3769327.00,在售,住宅
6栋住宅11C,87.04,43777.55,70.17,54302.37,3810398.00,在售,住宅
6栋住宅11B,125.04,42599.34,100.81,52838.23,5326622.00,在售,住宅
6栋住宅11A,80.39,41683.91,64.81,51704.52,3350970.00,在售,住宅
6栋住宅12F,86.99,41214.16,70.13,51122.48,3585220.00,在售,住宅
6栋住宅12E,124.91,40968.49,100.70,50818.02,5117375.00,在售,住宅
6栋住宅12D,87.04,43337.13,70.17,53756.07,3772064.00,在售,住宅
6栋住宅12C,87.04,43808.98,70.17,54341.37,3813134.00,在售,住宅
6栋住宅12B,125.04,42651.74,100.81,52903.22,5333174.00,在售,住宅
6栋住宅12A,80.39,41715.36,64.81,51743.52,3353498.00,在售,住宅
6栋住宅13F,86.99,41245.60,70.13,51161.48,3587955.00,在售,住宅
6栋住宅13E,124.91,41020.90,100.70,50883.02,5123921.00,在售,住宅
6栋住宅13D,87.04,43368.56,70.17,53795.06,3774800.00,在售,住宅
6栋住宅13C,87.04,43840.42,70.17,54380.37,3815871.00,在售,住宅
6栋住宅13B,125.04,42704.14,100.81,52968.21,5339726.00,在售,住宅
6栋住宅13A,80.39,41746.79,64.81,51782.51,3356025.00,在售,住宅
6栋住宅14F,86.99,41277.04,70.13,51200.48,3590690.00,在售,住宅
6栋住宅14E,124.91,41073.30,100.70,50948.02,5130466.00,在售,住宅
6栋住宅14D,87.04,43400.01,70.17,53834.07,3777537.00,在售,住宅
6栋住宅14C,87.04,43871.86,70.17,54419.36,3818607.00,在售,住宅
