房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋H座3116,87.66,153466.00,64.12,209807.08,13452830.00,在售,办公
3栋H座3016,87.66,153221.00,64.12,209472.13,13431353.00,在售,办公
3栋H座2916,87.66,152975.99,64.12,209137.18,13409876.00,在售,办公
3栋H座2816,87.66,152730.99,64.12,208802.23,13388399.00,在售,办公
3栋H座2716,87.66,152486.00,64.12,208467.29,13366923.00,在售,办公
3栋H座2616,87.66,152239.99,64.12,208130.97,13345358.00,在售,办公
3栋H座2516,87.66,151995.00,64.12,207796.03,13323882.00,在售,办公
3栋H座2416,87.66,149300.00,64.12,204111.63,13087638.00,在售,办公
3栋H座2316,87.66,149054.99,64.12,203776.68,13066161.00,在售,办公
3栋H座2216,87.66,148810.00,64.12,203441.74,13044685.00,在售,办公
3栋H座2016,87.66,148319.00,64.12,202770.49,13001644.00,在售,办公
3栋H座1916,87.66,148075.00,64.12,202436.91,12980255.00,在售,办公
3栋H座1816,87.66,147830.00,64.12,202101.96,12958778.00,在售,办公
3栋H座1716,87.66,147583.99,64.12,201765.64,12937213.00,在售,办公
3栋H座1616,87.66,147339.99,64.12,201432.06,12915824.00,在售,办公
3栋H座1516,87.66,147095.00,64.12,201097.13,12894348.00,在售,办公
3栋H座1416,87.66,146848.99,64.12,200760.80,12872783.00,在售,办公
3栋H座1316,87.66,146604.99,64.12,200427.23,12851394.00,在售,办公
3栋H座1216,87.66,146359.00,64.12,200090.92,12829830.00,在售,办公
3栋H座1116,87.66,146113.99,64.12,199755.97,12808353.00,在售,办公
3栋H座916,87.66,145624.00,64.12,199086.08,12765400.00,在售,办公
3栋H座816,87.66,145378.99,64.12,198751.13,12743923.00,在售,办公
3栋H座716,87.66,144154.00,64.12,197076.41,12636540.00,在售,办公
3栋H座616,87.66,142928.99,64.12,195401.68,12529156.00,在售,办公
3栋H座3215,73.96,124094.99,54.10,169650.01,9178066.00,在售,办公
3栋H座3115,73.96,123805.00,54.10,169253.56,9156618.00,在售,办公
3栋H座3015,73.96,123514.99,54.10,168857.09,9135169.00,在售,办公
3栋H座2915,73.96,123223.99,54.10,168459.27,9113647.00,在售,办公
3栋H座2815,73.96,122934.00,54.10,168062.82,9092199.00,在售,办公
3栋H座2715,73.96,122642.99,54.10,167664.99,9070676.00,在售,办公
3栋H座2615,73.96,122352.00,54.10,167267.17,9049154.00,在售,办公
3栋H座2515,73.96,122062.00,54.10,166870.72,9027706.00,在售,办公
3栋H座2415,73.96,121771.99,54.10,166474.25,9006257.00,在售,办公
3栋H座2315,73.96,121482.00,54.10,166077.80,8984809.00,在售,办公
3栋H座2215,73.96,121190.99,54.10,165679.96,8963286.00,在售,办公
3栋H座2015,73.96,120610.00,54.10,164885.69,8920316.00,在售,办公
3栋H座1915,73.96,120319.99,54.10,164489.22,8898867.00,在售,办公
3栋H座1815,73.96,120029.00,54.10,164091.40,8877345.00,在售,办公
3栋H座1715,73.96,119738.99,54.10,163694.93,8855896.00,在售,办公
3栋H座1615,73.96,119447.99,54.10,163297.11,8834374.00,在售,办公
3栋H座1515,73.96,119157.00,54.10,162899.29,8812852.00,在售,办公
3栋H座1415,73.96,118867.99,54.10,162504.19,8791477.00,在售,办公
3栋H座1315,73.96,118577.00,54.10,162106.37,8769955.00,在售,办公
3栋H座1215,73.96,118287.00,54.10,161709.92,8748507.00,在售,办公
3栋H座1115,73.96,117995.99,54.10,161312.08,8726984.00,在售,办公
3栋H座915,73.96,117415.99,54.10,160519.16,8684087.00,在售,办公
3栋H座815,73.96,117125.00,54.10,160121.34,8662565.00,在售,办公
3栋H座715,73.96,115672.99,54.10,158136.32,8555175.00,在售,办公
3栋H座615,73.96,114220.99,54.10,156151.29,8447785.00,在售,办公
3栋H座3314,73.91,124470.00,54.06,170173.47,9199578.00,在售,办公
3栋H座3214,73.91,124179.00,54.06,169775.61,9178070.00,在售,办公
3栋H座3114,73.91,123887.99,54.06,169377.76,9156562.00,在售,办公
3栋H座3014,73.91,123597.99,54.06,168981.28,9135128.00,在售,办公
3栋H座2914,73.91,123306.99,54.06,168583.42,9113620.00,在售,办公
3栋H座2814,73.91,123016.00,54.06,168185.59,9092113.00,在售,办公
3栋H座2714,73.91,122726.00,54.06,167789.10,9070679.00,在售,办公
3栋H座2614,73.91,122435.00,54.06,167391.25,9049171.00,在售,办公
