房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋商业162,91.06,200000.00,52.59,346301.57,18212000.00,在售,商业
1栋商业161,28.18,200000.00,16.27,346404.42,5636000.00,在售,商业
1栋商业160,74.75,200000.00,43.18,346225.10,14950000.00,在售,商业
1栋商业159,340.21,200000.00,196.49,346287.34,68042000.00,在售,商业
1栋商业158,180.92,200000.00,104.49,346291.51,36184000.00,在售,商业
1栋商业156,11.15,280000.00,6.44,484782.60,3122000.00,在售,商业
1栋商业153,24.24,200000.00,14.00,346285.71,4848000.00,在售,商业
1栋商业146,152.47,200000.00,88.06,346286.62,30494000.00,在售,商业
1栋商业145,173.08,200000.00,99.96,346298.51,34616000.00,在售,商业
1栋商业144,177.20,200000.00,102.34,346296.65,35440000.00,在售,商业
1栋商业143,121.86,200000.00,70.38,346291.56,24372000.00,在售,商业
1栋商业142,173.87,200000.00,100.42,346285.60,34774000.00,在售,商业
1栋商业141,208.73,200000.00,120.55,346296.14,41746000.00,在售,商业
1栋商业140,357.63,200000.00,206.55,346289.03,71526000.00,在售,商业
1栋商业139,353.42,200000.00,204.12,346286.49,70684000.00,在售,商业
1栋商业138,353.42,200000.00,204.12,346286.49,70684000.00,在售,商业
1栋商业137,235.30,200000.00,135.90,346284.03,47060000.00,在售,商业
1栋商业128,31.82,200000.00,18.38,346245.91,6364000.00,在售,商业
1栋商业126,8.76,280000.00,5.06,484743.08,2452800.00,在售,商业
1栋商业122,62.47,200000.00,36.08,346286.03,12494000.00,在售,商业
