房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2号楼C座3306,88.68,41190.00,70.13,52085.11,3652729.00,在售,住宅
2号楼C座3305,88.68,41506.00,70.13,52484.69,3680752.00,在售,住宅
2号楼C座3303,83.65,39566.00,66.15,50033.19,3309696.00,在售,住宅
2号楼C座3302,89.17,40558.00,70.51,51291.40,3616557.00,在售,住宅
2号楼C座3301,85.73,40664.00,67.80,51417.77,3486125.00,在售,住宅
2号楼C座3206,88.66,41305.00,70.13,52218.75,3662101.00,在售,住宅
2号楼C座3205,88.66,41621.00,70.13,52618.25,3690118.00,在售,住宅
2号楼C座3203,83.63,39681.00,66.15,50166.62,3318522.00,在售,住宅
2号楼C座3202,89.15,40673.00,70.51,51425.30,3625998.00,在售,住宅
2号楼C座3201,88.75,40779.00,70.20,51554.64,3619136.00,在售,住宅
2号楼C座3106,88.66,41270.00,70.13,52174.50,3658998.00,在售,住宅
2号楼C座3105,88.66,41586.00,70.13,52574.00,3687015.00,在售,住宅
2号楼C座3103,83.63,39646.00,66.15,50122.37,3315595.00,在售,住宅
2号楼C座3102,89.15,40638.00,70.51,51381.05,3622878.00,在售,住宅
2号楼C座3101,88.75,40744.00,70.20,51510.39,3616030.00,在售,住宅
2号楼C座3006,88.66,41235.00,70.13,52130.25,3655895.00,在售,住宅
2号楼C座3005,88.66,41551.00,70.13,52529.75,3683912.00,在售,住宅
2号楼C座3003,83.63,39611.00,66.15,50078.12,3312668.00,在售,住宅
2号楼C座3002,89.15,40603.00,70.51,51336.78,3619757.00,在售,住宅
2号楼C座3001,88.75,40709.00,70.20,51466.15,3612924.00,在售,住宅
2号楼C座2906,88.66,41200.00,70.13,52086.01,3652792.00,在售,住宅
2号楼C座2905,88.66,41516.00,70.13,52485.51,3680809.00,在售,住宅
2号楼C座2903,83.63,39576.00,66.15,50033.87,3309741.00,在售,住宅
2号楼C座2902,89.15,40568.00,70.51,51292.54,3616637.00,在售,住宅
2号楼C座2901,88.75,40674.00,70.20,51421.90,3609818.00,在售,住宅
2号楼C座2806,88.66,41165.00,70.13,52041.76,3649689.00,在售,住宅
2号楼C座2805,88.66,41481.00,70.13,52441.25,3677705.00,在售,住宅
2号楼C座2803,83.63,39541.00,66.15,49989.62,3306814.00,在售,住宅
2号楼C座2802,89.15,40533.00,70.51,51248.29,3613517.00,在售,住宅
2号楼C座2801,88.75,40639.00,70.20,51377.64,3606711.00,在售,住宅
2号楼C座2706,88.66,41130.00,70.13,51997.51,3646586.00,在售,住宅
2号楼C座2705,88.66,41446.00,70.13,52397.00,3674602.00,在售,住宅
2号楼C座2703,83.63,39506.00,66.15,49945.38,3303887.00,在售,住宅
2号楼C座2702,89.15,40498.00,70.51,51204.04,3610397.00,在售,住宅
2号楼C座2701,88.75,40604.00,70.20,51333.40,3603605.00,在售,住宅
