房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
343,417.10,30300.00,278.27,45416.78,12638130.00,在售,商业
342,117.42,21000.00,78.34,31475.87,2465820.00,在售,商业
341,392.12,30300.00,261.61,45415.83,11881236.00,在售,商业
340,166.29,41700.00,110.94,62504.89,6934293.00,在售,商业
339,14.99,24000.00,10.00,35976.00,359760.00,在售,商业
338,43.17,24000.00,28.80,35975.00,1036080.00,在售,商业
337,66.89,34500.00,44.62,51719.07,2307705.00,在售,商业
336,28.91,24000.00,19.29,35968.89,693840.00,在售,商业
335,97.40,32700.00,64.98,49014.77,3184980.00,在售,商业
334,29.98,37200.00,20.00,55762.80,1115256.00,在售,商业
333,9.25,37200.00,6.17,55769.85,344100.00,在售,商业
332,25.11,21000.00,16.75,31481.19,527310.00,在售,商业
331,241.39,37200.00,161.05,55757.26,8979708.00,在售,商业
330,221.62,27600.00,147.86,41368.26,6116712.00,在售,商业
329,25.11,21000.00,16.75,31481.19,527310.00,在售,商业
327,299.71,27600.00,199.96,41368.25,8271996.00,在售,商业
326,91.91,21000.00,61.32,31476.02,1930110.00,在售,商业
325,513.67,31500.00,342.70,47215.07,16180605.00,在售,商业
324,236.85,30600.00,158.01,45868.04,7247610.00,在售,商业
323,264.04,30600.00,176.16,45865.25,8079624.00,在售,商业
322,27.68,21000.00,18.47,31471.57,581280.00,在售,商业
321,32.89,23700.00,21.94,35528.39,779493.00,在售,商业
320,42.36,23700.00,28.26,35524.84,1003932.00,在售,商业
319,28.35,21000.00,18.91,31483.34,595350.00,在售,商业
318,28.35,21000.00,18.91,31483.34,595350.00,在售,商业
317,42.36,23700.00,28.26,35524.84,1003932.00,在售,商业
316,36.98,31200.00,24.67,46768.38,1153776.00,在售,商业
315,54.30,31200.00,36.23,46761.24,1694160.00,在售,商业
314,55.16,29400.00,36.80,44068.04,1621704.00,在售,商业
313,47.49,29100.00,31.68,43622.44,1381959.00,在售,商业
