房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3306(C户型),87.81,31786.78,68.95,40481.47,2791198.00,在售,住宅
3305(B户型),76.05,31329.27,59.72,39896.03,2382591.00,在售,住宅
3301(D户型),87.89,31782.86,69.02,40472.26,2793396.00,在售,住宅
3206(C户型),89.16,30980.89,68.95,40061.74,2762257.00,在售,住宅
3205(B户型),77.22,32052.79,59.72,41445.36,2475117.00,在售,住宅
3203(A2户型),154.68,40818.80,120.34,52466.78,6313853.00,在售,住宅
3202(A1户型),154.79,40688.08,120.42,52301.18,6298109.00,在售,住宅
3201(D户型),89.24,30976.98,69.02,40051.95,2764386.00,在售,住宅
3106(C户型),89.21,31704.42,68.95,41020.33,2828352.00,在售,住宅
3105(B户型),77.26,31246.91,59.72,40424.26,2414137.00,在售,住宅
3103(A2户型),87.56,30601.16,67.68,39589.80,2679438.00,在售,住宅
3102(A1户型),87.66,30470.44,67.76,39419.11,2671039.00,在售,住宅
3101(D户型),89.29,31700.50,69.02,41010.40,2830538.00,在售,住宅
3006(C户型),89.22,30898.55,68.95,39982.14,2756769.00,在售,住宅
3005(B户型),77.27,31970.45,59.72,41365.65,2470357.00,在售,住宅
3003(A2户型),86.71,31324.69,67.02,40527.66,2716164.00,在售,住宅
3002(A1户型),86.81,31193.97,67.10,40356.91,2707949.00,在售,住宅
3001(D户型),89.30,30894.62,69.02,39972.32,2758890.00,在售,住宅
2906(C户型),89.22,31622.08,68.95,40918.37,2821322.00,在售,住宅
2905(B户型),77.27,31164.56,59.72,40322.94,2408086.00,在售,住宅
2903(A2户型),86.71,30518.80,67.02,39485.01,2646286.00,在售,住宅
2902(A1户型),86.81,30388.08,67.10,39314.30,2637990.00,在售,住宅
2901(D户型),89.30,31618.16,69.02,40908.46,2823502.00,在售,住宅
2806(C户型),89.22,30816.20,68.95,39875.59,2749422.00,在售,住宅
2805(B户型),77.27,31888.09,59.72,41259.09,2463993.00,在售,住宅
2803(A2户型),86.71,31242.34,67.02,40421.12,2709024.00,在售,住宅
2802(A1户型),86.81,31111.62,67.10,40250.37,2700800.00,在售,住宅
2801(D户型),89.30,30812.27,69.02,39865.77,2751536.00,在售,住宅
2706(C户型),89.22,31539.73,68.95,40811.82,2813975.00,在售,住宅
2705(B户型),77.27,31082.21,59.72,40216.39,2401723.00,在售,住宅
