房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋10,198.22,62990.00,182.83,68292.28,12485878.00,在售,在售
5栋09,194.67,64881.00,179.60,70325.08,12630384.00,在售,在售
5栋08,194.93,63694.00,179.79,69057.63,12415871.00,在售,在售
5栋07,194.72,63826.00,179.60,69199.33,12428199.00,在售,在售
5栋06,194.45,63890.00,179.79,69099.57,12423411.00,在售,在售
5栋05,195.44,65505.00,180.72,70840.51,12802297.00,在售,在售
5栋04,194.93,65663.00,179.79,71192.44,12799689.00,在售,在售
5栋03,194.72,65785.00,179.60,71323.25,12809655.00,在售,在售
5栋02,196.52,65963.00,182.49,71034.30,12963049.00,在售,在售
5栋01,192.64,67922.00,178.86,73154.95,13084494.00,在售,在售
4栋B座15,263.70,72208.00,246.73,77174.44,19041250.00,在售,在售
4栋B座14,194.90,65716.00,179.79,71238.93,12808048.00,在售,在售
4栋B座13,194.69,65657.00,179.60,71173.50,12782761.00,在售,在售
4栋B座12,194.90,65498.00,179.79,71002.61,12765560.00,在售,在售
4栋B座11,194.69,65527.00,179.60,71032.58,12757452.00,在售,在售
4栋B座10,194.90,65477.00,179.79,70979.85,12761467.00,在售,在售
4栋B座09,194.69,65657.00,179.60,71173.50,12782761.00,在售,在售
4栋B座08,195.79,65716.00,181.83,70761.35,12866536.00,在售,在售
4栋B座07,192.61,67951.00,178.86,73174.78,13088042.00,在售,在售
4栋A座06,192.69,67951.00,178.86,73205.18,13093478.00,在售,在售
3栋06,192.78,67921.00,178.86,73207.03,13093810.00,在售,在售
3栋05,196.66,64901.00,182.49,69940.44,12763431.00,在售,在售
3栋04,194.86,64889.00,179.60,70402.40,12644271.00,在售,在售
3栋03,195.07,64928.00,179.79,70446.10,12665505.00,在售,在售
3栋02,194.72,64932.00,179.60,70398.44,12643559.00,在售,在售
3栋01,211.64,69336.00,195.14,75198.68,14674271.00,在售,在售
2栋B座3202,174.84,55400.00,134.35,72096.29,9686136.00,在售,在售
2栋B座3201,178.53,56800.00,137.18,73921.15,10140504.00,在售,在售
2栋B座3106,81.91,46053.00,61.22,61617.13,3772201.00,在售,在售
2栋B座3105,82.01,46074.00,61.29,61650.01,3778529.00,在售,在售
