房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋1211,67.44,33443.00,45.35,49733.09,2255396.00,在售,商务公寓
4栋1210,40.21,33443.02,27.04,49731.65,1344744.00,在售,商务公寓
4栋1209,40.34,33443.01,27.13,49726.90,1349091.00,在售,商务公寓
4栋1208,39.44,36843.00,26.52,54792.15,1453088.00,在售,商务公寓
4栋1207,43.98,36443.02,29.58,54184.04,1602764.00,在售,商务公寓
4栋1206,64.56,33093.01,43.42,49205.08,2136485.00,在售,商务公寓
4栋1205,40.47,33093.01,27.22,49201.83,1339274.00,在售,商务公寓
4栋1204,40.34,33093.01,27.13,49206.48,1334972.00,在售,商务公寓
4栋1203,39.44,33093.00,26.52,49215.23,1305188.00,在售,商务公寓
4栋1202,39.44,33093.00,26.52,49215.23,1305188.00,在售,商务公寓
4栋1201,68.23,36243.00,45.88,53898.43,2472860.00,在售,商务公寓
4栋1113,66.31,37493.00,45.35,54821.63,2486161.00,在售,商务公寓
4栋1112,39.54,33393.02,27.04,48829.88,1320360.00,在售,商务公寓
4栋1111,39.67,33393.02,27.13,48827.90,1324701.00,在售,商务公寓
4栋1110,38.78,33393.01,26.52,48830.35,1294981.00,在售,商务公寓
4栋1109,43.24,33393.02,29.58,48813.86,1443914.00,在售,商务公寓
4栋1108,63.49,36793.01,43.42,53799.81,2335988.00,在售,商务公寓
4栋1107,63.49,36393.01,43.42,53214.92,2310592.00,在售,商务公寓
4栋1106,39.54,33043.02,27.04,48318.08,1306521.00,在售,商务公寓
4栋1105,39.67,33043.00,27.13,48316.10,1310816.00,在售,商务公寓
4栋1104,38.78,33043.01,26.52,48318.55,1281408.00,在售,商务公寓
4栋1103,38.78,33043.01,26.52,48318.55,1281408.00,在售,商务公寓
4栋1102,39.67,33043.00,27.13,48316.10,1310816.00,在售,商务公寓
4栋1101,62.68,36193.01,42.87,52917.61,2268578.00,在售,商务公寓
4栋1013,66.31,37443.01,45.35,54748.53,2482846.00,在售,商务公寓
4栋1012,39.54,33343.02,27.04,48756.76,1318383.00,在售,商务公寓
4栋1011,39.67,33343.00,27.13,48754.77,1322717.00,在售,商务公寓
4栋1010,38.78,33343.01,26.52,48757.23,1293042.00,在售,商务公寓
4栋1009,43.24,33343.02,29.58,48740.77,1441752.00,在售,商务公寓
4栋1008,63.49,36743.01,43.42,53726.71,2332814.00,在售,商务公寓
4栋1007,63.49,36343.01,43.42,53141.82,2307418.00,在售,商务公寓
4栋1006,39.54,32993.02,27.04,48244.97,1304544.00,在售,商务公寓
4栋1005,39.67,32993.02,27.13,48243.01,1308833.00,在售,商务公寓
4栋1004,38.78,32993.01,26.52,48245.43,1279469.00,在售,商务公寓
4栋1003,38.78,32993.01,26.52,48245.43,1279469.00,在售,商务公寓
4栋1002,39.67,32993.02,27.13,48243.01,1308833.00,在售,商务公寓
4栋1001,62.68,36143.01,42.87,52844.50,2265444.00,在售,商务公寓
4栋913,66.31,37393.00,45.35,54675.41,2479530.00,在售,商务公寓
4栋912,39.54,33293.02,27.04,48683.65,1316406.00,在售,商务公寓
4栋911,39.67,33293.02,27.13,48681.68,1320734.00,在售,商务公寓
