房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋B座203,343.56,40000.00,260.48,52757.98,13742400.00,在售,商业
1栋B座202,200.38,40000.00,151.92,52759.34,8015200.00,在售,商业
1栋B座131,132.21,76175.00,110.91,90804.22,10071097.00,在售,商业
1栋B座130,105.78,77175.00,88.74,91994.27,8163572.00,在售,商业
1栋B座129,114.35,76175.00,95.93,90801.75,8710612.00,在售,商业
1栋B座128,198.25,75175.00,166.31,89612.43,14903444.00,在售,商业
1栋A座127,89.28,74675.00,83.67,79681.89,6666984.00,在售,商业
1栋A座126,65.75,74176.00,61.62,79147.54,4877072.00,在售,商业
1栋A座125,39.05,73676.00,36.60,78607.86,2877048.00,在售,商业
1栋A座124,41.83,73176.00,39.20,78085.53,3060953.00,在售,商业
1栋A座123,41.65,72776.00,39.04,77641.41,3031121.00,在售,商业
1栋A座122,59.80,73976.00,56.05,78925.33,4423765.00,在售,商业
1栋A座121,67.07,72175.00,62.86,77008.87,4840778.00,在售,商业
1栋A座612,54.42,38422.00,38.18,54764.95,2090926.00,在售,商务公寓
1栋A座512,54.39,38372.00,38.18,54663.54,2087054.00,在售,商务公寓
1栋A座412,54.39,38322.00,38.18,54592.29,2084334.00,在售,商务公寓
1栋A座312,54.39,38272.00,38.18,54521.08,2081615.00,在售,商务公寓
1栋A座212,54.22,38222.00,38.06,54450.78,2072397.00,在售,商务公寓
1栋A座611,37.41,34222.00,26.25,48771.27,1280246.00,在售,商务公寓
1栋A座511,37.39,34172.00,26.25,48673.98,1277692.00,在售,商务公寓
1栋A座411,37.39,34122.00,26.25,48602.74,1275822.00,在售,商务公寓
1栋A座311,37.39,34072.00,26.25,48531.54,1273953.00,在售,商务公寓
1栋A座211,37.40,34022.00,26.25,48473.25,1272423.00,在售,商务公寓
1栋A座610,37.41,34222.00,26.25,48771.27,1280246.00,在售,商务公寓
1栋A座510,37.39,34172.00,26.25,48673.98,1277692.00,在售,商务公寓
1栋A座410,37.39,34122.00,26.25,48602.74,1275822.00,在售,商务公寓
1栋A座310,37.39,34072.00,26.25,48531.54,1273953.00,在售,商务公寓
1栋A座210,37.40,34022.00,26.25,48473.25,1272423.00,在售,商务公寓
1栋A座609,37.41,34222.00,26.25,48771.27,1280246.00,在售,商务公寓
1栋A座509,37.39,34172.00,26.25,48673.98,1277692.00,在售,商务公寓
1栋A座409,37.39,34122.00,26.25,48602.74,1275822.00,在售,商务公寓
1栋A座309,37.39,34072.00,26.25,48531.54,1273953.00,在售,商务公寓
1栋A座209,37.40,34022.00,26.25,48473.25,1272423.00,在售,商务公寓
1栋A座608,37.41,34222.00,26.25,48771.27,1280246.00,在售,商务公寓
1栋A座508,37.39,34172.00,26.25,48673.98,1277692.00,在售,商务公寓
