房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋C单元商铺105,162.20,80000.00,148.43,87421.68,12976000.00,在售,商铺
3栋C单元商铺104,288.38,80000.00,263.90,87420.99,23070400.00,在售,商铺
3栋C单元商铺103,227.24,80000.00,207.95,87421.01,18179200.00,在售,商铺
3栋C单元商铺102,69.19,80000.00,63.31,87430.10,5535200.00,在售,商铺
3栋C单元商铺101,244.59,80000.00,223.82,87423.82,19567200.00,在售,商铺
3栋B单元商铺109,169.27,80000.00,153.62,88149.98,13541600.00,在售,商铺
3栋B单元商铺108,290.77,80000.00,263.90,88145.50,23261600.00,在售,商铺
3栋B单元商铺107,260.32,80000.00,236.26,88146.95,20825600.00,在售,商铺
3栋B单元商铺106,174.30,80000.00,158.19,88147.16,13944000.00,在售,商铺
3栋B单元商铺113,100.16,80000.00,90.76,88285.58,8012800.00,在售,商铺
3栋A单元商铺112,291.20,80000.00,263.90,88275.86,23296000.00,在售,商铺
3栋A单元商铺111,260.70,80000.00,236.25,88279.36,20856000.00,在售,商铺
3栋A单元商铺3110,169.25,80000.00,153.38,88277.48,13540000.00,在售,商铺
1栋商铺322,253.47,22331.00,149.77,37792.00,5660238.00,在售,商铺
1栋商铺321,51.45,24752.00,30.40,41891.00,1273490.00,在售,商铺
1栋商铺320,44.38,25223.00,26.22,42692.00,1119396.00,在售,商铺
1栋商铺319,44.38,25223.00,26.22,42692.00,1119396.00,在售,商铺
1栋商铺318,54.02,25065.00,31.92,42418.00,1354011.00,在售,商铺
1栋商铺317,54.02,24909.00,31.92,42154.00,1345584.00,在售,商铺
1栋商铺316,44.38,24962.00,26.22,42250.00,1107813.00,在售,商铺
1栋商铺315,44.38,24962.00,26.22,42250.00,1107813.00,在售,商铺
1栋商铺314,47.59,25275.00,28.12,42775.00,1202837.00,在售,商铺
1栋商铺313,46.31,24804.00,27.36,41983.00,1148673.00,在售,商铺
1栋商铺312,52.41,22487.00,30.96,38066.00,1178543.00,在售,商铺
1栋商铺311,62.05,80000.00,36.66,135406.43,4964000.00,在售,商铺
1栋商铺310,62.05,80000.00,36.66,135406.43,4964000.00,在售,商铺
1栋商铺309,94.26,80000.00,55.69,135406.71,7540800.00,在售,商铺
1栋商铺307,63.11,80000.00,37.29,135392.86,5048800.00,在售,商铺
1栋商铺306,194.91,80000.00,115.16,135401.18,15592800.00,在售,商铺
1栋商铺305,275.59,80000.00,162.83,135400.11,22047200.00,在售,商铺
1栋商铺304,195.99,80000.00,115.80,135398.96,15679200.00,在售,商铺
1栋商铺303,263.30,80000.00,155.57,135398.85,21064000.00,在售,商铺
1栋商铺302,203.91,22348.00,120.48,37823.00,4556980.00,在售,商铺
1栋商铺301,347.40,22905.00,205.26,38766.00,7957196.00,在售,商铺
1栋商铺241,70.22,25370.00,39.20,45445.00,1781481.00,在售,商铺
