房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
6号楼3006房,89.84,16559.99,72.36,20560.39,1487750.00,在售,住宅
6号楼3005房,89.47,17559.99,72.07,21799.54,1571093.00,在售,住宅
6号楼3004房,89.53,16960.00,72.11,21057.12,1518429.00,在售,住宅
6号楼3003房,89.62,16559.99,72.19,20558.34,1484107.00,在售,住宅
6号楼3002房,89.47,17059.99,72.07,21178.82,1526358.00,在售,住宅
6号楼3001房,89.84,16259.99,72.36,20187.92,1460798.00,在售,住宅
6号楼2906房,89.84,15929.99,72.36,19778.20,1431151.00,在售,住宅
6号楼2905房,89.47,18329.99,72.07,22755.44,1639985.00,在售,住宅
6号楼2904房,89.53,17730.00,72.11,22013.13,1587367.00,在售,住宅
6号楼2903房,89.62,17330.00,72.19,21514.26,1553115.00,在售,住宅
6号楼2902房,89.47,17829.99,72.07,22134.73,1595250.00,在售,住宅
6号楼2901房,89.84,15629.99,72.36,19405.73,1404199.00,在售,住宅
6号楼2806房,89.84,16559.99,72.36,20560.39,1487750.00,在售,住宅
6号楼2805房,89.47,17559.99,72.07,21799.54,1571093.00,在售,住宅
6号楼2804房,89.53,16960.00,72.11,21057.12,1518429.00,在售,住宅
6号楼2803房,89.62,16559.99,72.19,20558.34,1484107.00,在售,住宅
6号楼2802房,89.47,17059.99,72.07,21178.82,1526358.00,在售,住宅
6号楼2801房,89.84,16259.99,72.36,20187.92,1460798.00,在售,住宅
6号楼2706房,89.84,15790.00,72.36,19604.39,1418574.00,在售,住宅
6号楼2705房,89.47,18189.99,72.07,22581.64,1627459.00,在售,住宅
6号楼2704房,89.53,17590.00,72.11,21839.31,1574833.00,在售,住宅
6号楼2703房,89.62,17190.00,72.19,21340.46,1540568.00,在售,住宅
6号楼2702房,89.47,17689.99,72.07,21960.92,1582724.00,在售,住宅
6号楼2701房,89.84,15490.00,72.36,19231.92,1391622.00,在售,住宅
6号楼2606房,89.84,16420.00,72.36,20386.58,1475173.00,在售,住宅
6号楼2605房,89.47,17419.99,72.07,21625.73,1558567.00,在售,住宅
6号楼2604房,89.53,16820.00,72.11,20883.30,1505895.00,在售,住宅
6号楼2603房,89.62,16419.99,72.19,20384.54,1471560.00,在售,住宅
6号楼2602房,89.47,16919.99,72.07,21005.02,1513832.00,在售,住宅
6号楼2601房,89.84,16120.00,72.36,20014.11,1448221.00,在售,住宅
6号楼2506房,89.84,15650.00,72.36,19430.56,1405996.00,在售,住宅
6号楼2505房,89.47,18050.00,72.07,22407.85,1614934.00,在售,住宅
6号楼2504房,89.53,17450.00,72.11,21665.49,1562299.00,在售,住宅
6号楼2503房,89.62,17050.00,72.19,21166.65,1528021.00,在售,住宅
6号楼2502房,89.47,17550.00,72.07,21787.13,1570199.00,在售,住宅
