房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
7号楼B座1层13,14.93,37440.00,12.40,45078.96,558979.20,在售,商铺
7号楼B座1层12,12.86,37440.00,10.69,45040.07,481478.40,在售,商铺
7号楼B座1层11,66.29,37440.00,55.07,45068.05,2481897.60,在售,商铺
7号楼B座1层10,58.56,37440.00,48.65,45066.52,2192486.40,在售,商铺
7号楼B座半地下层09,129.61,62400.00,125.92,64228.58,8087664.00,在售,商铺
7号楼B座半地下层08,45.67,62400.00,44.37,64228.26,2849808.00,在售,商铺
7号楼B座半地下层07,46.58,62400.00,45.25,64234.07,2906592.00,在售,商铺
7号楼A座半地下层06,48.27,62400.00,47.30,63679.66,3012048.00,在售,商铺
7号楼A座半地下层05,52.18,62400.00,51.13,63681.43,3256032.00,在售,商铺
7号楼A座半地下层04,77.61,62400.00,76.06,63671.62,4842864.00,在售,商铺
7号楼A座半地下层03,78.38,62400.00,76.81,63675.45,4890912.00,在售,商铺
7号楼A座半地下层02,57.24,62400.00,56.09,63679.37,3571776.00,在售,商铺
7号楼A座半地下层01,60.48,62400.00,59.27,63673.89,3773952.00,在售,商铺
6号楼B座半地下层20,47.14,62400.00,46.25,63600.77,2941536.00,在售,商铺
6号楼B座半地下层19,48.99,62400.00,48.07,63594.25,3056976.00,在售,商铺
6号楼B座半地下层18,37.33,62400.00,36.63,63592.46,2329392.00,在售,商铺
6号楼B座半地下层17,25.74,62400.00,25.26,63585.74,1606176.00,在售,商铺
6号楼B座半地下层16,46.33,62400.00,45.46,63594.19,2890992.00,在售,商铺
6号楼B座半地下层15,51.97,62400.00,51.00,63586.82,3242928.00,在售,商铺
6号楼B座半地下层14,53.84,62400.00,52.82,63604.99,3359616.00,在售,商铺
6号楼A座半地下层13,62.74,62400.00,61.65,63503.26,3914976.00,在售,商铺
6号楼A座半地下层12,55.99,62400.00,55.02,63500.10,3493776.00,在售,商铺
6号楼A座半地下层11,55.14,62400.00,54.18,63505.64,3440736.00,在售,商铺
6号楼A座半地下层10,58.43,62400.00,57.42,63497.59,3646032.00,在售,商铺
6号楼A座半地下层09,57.93,62400.00,56.92,63507.23,3614832.00,在售,商铺
6号楼A座半地下层08,60.29,62400.00,59.24,63506.00,3762096.00,在售,商铺
6号楼A座半地下层07,60.19,62400.00,59.14,63507.87,3755856.00,在售,商铺
6号楼A座半地下层06,103.01,67600.00,101.22,68795.45,6963476.00,在售,商铺
6号楼A座半地下层05,59.56,62400.00,58.52,63508.95,3716544.00,在售,商铺
6号楼A座半地下层04,59.80,62400.00,58.76,63504.42,3731520.00,在售,商铺
6号楼A座半地下层03,57.72,62400.00,56.72,63500.14,3601728.00,在售,商铺
6号楼A座半地下层02,49.71,62400.00,48.84,63511.54,3101904.00,在售,商铺
6号楼A座半地下层01,56.80,62400.00,55.82,63495.52,3544320.00,在售,商铺
5号楼B座半地下层14,56.34,54600.00,55.09,55838.88,3076164.00,在售,商铺
5号楼B座半地下层13,59.35,54600.00,58.03,55841.97,3240510.00,在售,商铺
5号楼B座半地下层12,39.02,54600.00,38.15,55845.13,2130492.00,在售,商铺
5号楼B座半地下层11,28.68,54600.00,28.05,55826.31,1565928.00,在售,商铺
5号楼B座半地下层10,86.96,54600.00,85.03,55839.30,4748016.00,在售,商铺
5号楼B座半地下层09,60.10,54600.00,58.76,55845.13,3281460.00,在售,商铺
5号楼B座半地下层08,58.37,54600.00,57.07,55843.73,3187002.00,在售,商铺
5号楼A座半地下层07,55.62,54600.00,54.53,55691.39,3036852.00,在售,商铺
5号楼A座半地下层06,64.10,54600.00,62.84,55694.78,3499860.00,在售,商铺
5号楼A座半地下层05,61.80,54600.00,60.58,55699.57,3374280.00,在售,商铺
5号楼A座半地下层04,31.48,54600.00,30.86,55696.95,1718808.00,在售,商铺
5号楼A座半地下层03,65.14,54600.00,63.86,55694.39,3556644.00,在售,商铺
5号楼A座半地下层02,64.04,54600.00,62.77,55704.69,3496584.00,在售,商铺
5号楼A座半地下层01,48.15,54600.00,47.20,55698.94,2628990.00,在售,商铺
7号楼B座204,71.51,33502.69,51.20,46792.53,2395778.00,在售,住宅
7号楼B座304,70.41,34052.69,51.20,46829.10,2397650.00,在售,住宅
7号楼B座404,70.41,33612.69,51.20,46224.02,2366670.00,在售,住宅
7号楼B座504,70.41,34162.68,51.20,46980.37,2405395.00,在售,住宅
7号楼B座604,70.41,33722.69,51.20,46375.29,2374415.00,在售,住宅
7号楼B座704,70.41,34272.68,51.20,47131.64,2413140.00,在售,住宅
7号楼B座804,70.41,33832.69,51.20,46526.56,2382160.00,在售,住宅
7号楼B座904,70.41,34382.70,51.20,47282.92,2420886.00,在售,住宅
