房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1922,42.52,30000.00,29.17,43729.86,1275600.00,在售,办公
1921,42.50,30310.00,29.15,44191.25,1288175.00,在售,办公
1920,42.45,30300.00,29.11,44185.33,1286235.00,在售,办公
1919,42.53,30394.00,29.17,44314.60,1292656.82,在售,办公
1918,42.40,30301.00,29.08,44180.28,1284762.40,在售,办公
1917,42.45,30301.00,29.11,44186.79,1286277.45,在售,办公
1916,42.50,30410.00,29.15,44337.05,1292425.00,在售,办公
1915,42.41,31089.00,29.09,45324.32,1318484.49,在售,办公
1914,44.21,30450.00,30.33,44384.92,1346194.50,在售,办公
1913,44.38,29658.00,30.44,43239.88,1316222.04,在售,办公
1912,44.38,29658.00,30.44,43239.88,1316222.04,在售,办公
1911,44.38,29962.00,30.44,43683.10,1329713.56,在售,办公
1910,44.38,29658.00,30.44,43239.88,1316222.04,在售,办公
1909,89.70,28535.00,61.53,41599.05,2559589.50,在售,办公
1908,44.94,29034.00,30.82,42335.75,1304787.96,在售,办公
1907,44.38,28426.00,30.44,41443.69,1261545.88,在售,办公
1906,44.38,28426.00,30.44,41443.69,1261545.88,在售,办公
1905,44.43,28426.00,30.47,41449.53,1262967.18,在售,办公
1904,42.38,28079.00,29.07,40935.26,1189988.02,在售,办公
1903,42.50,28078.00,29.15,40937.05,1193315.00,在售,办公
1902,42.37,28078.00,29.06,40938.23,1189664.86,在售,办公
1901,42.23,28782.00,28.97,41955.95,1215463.86,在售,办公
1822,42.52,30767.00,29.17,44847.89,1308212.84,在售,办公
1821,42.50,30380.00,29.15,44293.31,1291150.00,在售,办公
1820,42.45,30272.00,29.11,44144.50,1285046.40,在售,办公
1819,42.53,30474.00,29.17,44431.24,1296059.22,在售,办公
1818,42.40,30376.00,29.08,44289.63,1287942.40,在售,办公
1817,42.45,30376.00,29.11,44296.16,1289461.20,在售,办公
1816,42.50,30484.00,29.15,44444.94,1295570.00,在售,办公
1815,42.41,31163.00,29.09,45432.20,1321622.83,在售,办公
1814,44.21,30524.00,30.33,44492.78,1349466.04,在售,办公
1813,44.38,29733.00,30.44,43349.23,1319550.54,在售,办公
