房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
14-3406,89.20,8255.53,70.19,10491.42,736393.28,在售,住宅
14-3405,68.20,9122.36,53.66,11594.20,622144.95,在售,住宅
14-3404,68.80,9122.36,54.14,11592.50,627618.37,在售,住宅
14-3403,68.80,9122.36,54.14,11592.50,627618.37,在售,住宅
14-3402,68.20,9122.36,53.66,11594.20,622144.95,在售,住宅
14-3401,89.20,8255.53,70.19,10491.42,736393.28,在售,住宅
14-3306,89.20,8255.53,70.19,10491.42,736393.28,在售,住宅
14-3305,68.20,9122.36,53.66,11594.20,622144.95,在售,住宅
14-3304,68.80,9122.36,54.14,11592.50,627618.37,在售,住宅
14-3303,68.80,9122.36,54.14,11592.50,627618.37,在售,住宅
14-3302,68.20,9122.36,53.66,11594.20,622144.95,在售,住宅
14-3301,89.20,8255.53,70.19,10491.42,736393.28,在售,住宅
14-3206,89.20,8183.75,70.19,10400.20,729990.50,在售,住宅
14-3205,68.20,9043.04,53.66,11493.39,616735.33,在售,住宅
14-3204,68.80,9043.04,54.14,11491.70,622161.15,在售,住宅
14-3203,68.80,9043.04,54.14,11491.70,622161.15,在售,住宅
14-3202,68.20,9043.04,53.66,11493.39,616735.33,在售,住宅
14-3201,89.20,8183.75,70.19,10400.20,729990.50,在售,住宅
14-3106,89.20,8111.96,70.19,10308.97,723586.83,在售,住宅
14-3105,68.20,8963.71,53.66,11392.56,611325.02,在售,住宅
14-3104,68.80,8963.71,54.14,11390.89,616703.25,在售,住宅
14-3103,68.80,8963.71,54.14,11390.89,616703.25,在售,住宅
14-3102,68.20,8963.71,53.66,11392.56,611325.02,在售,住宅
14-3101,89.20,8111.96,70.19,10308.97,723586.83,在售,住宅
14-3006,89.20,8040.17,70.19,10217.73,717183.16,在售,住宅
14-3005,68.20,8884.39,53.66,11291.75,605915.40,在售,住宅
14-3004,68.80,8884.39,54.14,11290.10,611246.03,在售,住宅
14-3003,68.80,8884.39,54.14,11290.10,611246.03,在售,住宅
14-3002,68.20,8884.39,53.66,11291.75,605915.40,在售,住宅
14-3001,89.20,8040.17,70.19,10217.73,717183.16,在售,住宅
14-2906,89.20,7968.38,70.19,10126.50,710779.50,在售,住宅
14-2905,68.20,8805.06,53.66,11190.92,600505.09,在售,住宅
14-2904,68.80,8805.06,54.14,11189.28,605788.13,在售,住宅
14-2903,68.80,8805.06,54.14,11189.28,605788.13,在售,住宅
14-2902,68.20,8805.06,53.66,11190.92,600505.09,在售,住宅
14-2901,89.20,7968.38,70.19,10126.50,710779.50,在售,住宅
14-2806,89.20,7896.60,70.19,10035.28,704376.72,在售,住宅
14-2805,68.20,8725.74,53.66,11090.11,595095.47,在售,住宅
14-2804,68.80,8725.74,54.14,11088.49,600330.91,在售,住宅
14-2803,68.80,8725.74,54.14,11088.49,600330.91,在售,住宅
14-2802,68.20,8725.74,53.66,11090.11,595095.47,在售,住宅
14-2801,89.20,7896.60,70.19,10035.28,704376.72,在售,住宅
14-2706,89.20,7824.81,70.19,9944.05,697973.05,在售,住宅
14-2705,68.20,8646.41,53.66,10989.28,589685.16,在售,住宅
14-2704,68.80,8646.41,54.14,10987.68,594873.01,在售,住宅
14-2703,68.80,8646.41,54.14,10987.68,594873.01,在售,住宅
14-2702,68.20,8646.41,53.66,10989.28,589685.16,在售,住宅
14-2701,89.20,7824.81,70.19,9944.05,697973.05,在售,住宅
14-2606,89.20,7753.02,70.19,9852.81,691569.38,在售,住宅
14-2605,68.20,8567.09,53.66,10888.47,584275.54,在售,住宅
