房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5号楼3F,88.59,34007.00,66.78,45113.50,3012680.00,在售,住宅
5号楼4F,88.59,34076.00,66.78,45205.04,3018793.00,在售,住宅
5号楼5F,88.59,34145.00,66.78,45296.58,3024906.00,在售,住宅
5号楼6F,88.59,34215.00,66.78,45389.44,3031107.00,在售,住宅
5号楼7F,88.59,34284.00,66.78,45480.98,3037220.00,在售,住宅
5号楼8F,88.59,34353.00,66.78,45572.50,3043332.00,在售,住宅
5号楼9F,88.59,34423.00,66.78,45665.37,3049534.00,在售,住宅
5号楼10F,88.59,34492.00,66.78,45756.90,3055646.00,在售,住宅
5号楼11F,88.82,34607.00,66.96,45904.92,3073794.00,在售,住宅
5号楼12F,88.82,34676.00,66.96,45996.44,3079922.00,在售,住宅
5号楼13F,88.82,34746.00,66.96,46089.30,3086140.00,在售,住宅
5号楼14F,88.82,34815.00,66.96,46180.82,3092268.00,在售,住宅
5号楼15F,88.82,34885.00,66.96,46273.68,3098486.00,在售,住宅
5号楼16F,88.82,34954.00,66.96,46365.20,3104614.00,在售,住宅
5号楼17F,88.82,35023.00,66.96,46456.73,3110743.00,在售,住宅
5号楼18F,88.82,35093.00,66.96,46549.58,3116960.00,在售,住宅
5号楼19F,88.82,35162.00,66.96,46641.11,3123089.00,在售,住宅
5号楼20F,88.82,35231.00,66.96,46732.63,3129217.00,在售,住宅
5号楼21F,88.81,35301.00,66.96,46820.22,3135082.00,在售,住宅
5号楼22F,88.81,35370.00,66.96,46911.73,3141210.00,在售,住宅
5号楼23F,88.81,35440.00,66.96,47004.56,3147426.00,在售,住宅
5号楼24F,88.81,35509.00,66.96,47096.08,3153554.00,在售,住宅
5号楼25F,88.81,35578.00,66.96,47187.60,3159682.00,在售,住宅
5号楼26F,88.81,35648.00,66.96,47280.45,3165899.00,在售,住宅
5号楼27F,88.81,35717.00,66.96,47371.96,3172027.00,在售,住宅
5号楼28F,88.81,35786.00,66.96,47463.48,3178155.00,在售,住宅
5号楼29F,88.81,35856.00,66.96,47556.31,3184371.00,在售,住宅
5号楼30F,88.81,35925.00,66.96,47647.83,3190499.00,在售,住宅
5号楼31F,88.81,35995.00,66.96,47740.68,3196716.00,在售,住宅
5号楼32F,88.81,36064.00,66.96,47832.19,3202844.00,在售,住宅
5号楼33F,88.81,36191.00,66.96,48000.64,3214123.00,在售,住宅
5号楼34F,88.81,36260.00,66.96,48092.15,3220251.00,在售,住宅
5号楼35F,88.81,36330.00,66.96,48184.99,3226467.00,在售,住宅
5号楼36F,88.81,36399.00,66.96,48276.50,3232595.00,在售,住宅
5号楼37F,88.81,36468.00,66.96,48368.02,3238723.00,在售,住宅
5号楼38F,88.81,36538.00,66.96,48460.87,3244940.00,在售,住宅
5号楼39F,88.81,36607.00,66.96,48552.38,3251068.00,在售,住宅
5号楼3E,88.16,33322.00,66.45,44208.69,2937668.00,在售,住宅
5号楼4E,88.16,33394.00,66.45,44304.21,2944015.00,在售,住宅
5号楼5E,88.16,33702.00,66.45,44712.83,2971168.00,在售,住宅
5号楼6E,88.16,33774.00,66.45,44808.36,2977516.00,在售,住宅
5号楼7E,88.16,33845.00,66.45,44902.55,2983775.00,在售,住宅
5号楼8E,88.16,33916.00,66.45,44996.76,2990035.00,在售,住宅
5号楼9E,88.16,33987.00,66.45,45090.95,2996294.00,在售,住宅
5号楼10E,88.16,34059.00,66.45,45186.47,3002641.00,在售,住宅
5号楼11E,88.58,34164.00,66.78,45316.66,3026247.00,在售,住宅
5号楼12E,88.58,34235.00,66.78,45410.84,3032536.00,在售,住宅
5号楼13E,88.58,34306.00,66.78,45505.01,3038825.00,在售,住宅
5号楼14E,88.58,34496.00,66.78,45757.05,3055656.00,在售,住宅
5号楼15E,88.58,34567.00,66.78,45851.22,3061945.00,在售,住宅
5号楼16E,88.58,34638.00,66.78,45945.40,3068234.00,在售,住宅
5号楼17E,88.58,34709.00,66.78,46039.57,3074523.00,在售,住宅
5号楼18E,88.58,34781.00,66.78,46135.08,3080901.00,在售,住宅
5号楼19E,88.58,34852.00,66.78,46229.26,3087190.00,在售,住宅
5号楼20E,88.58,34923.00,66.78,46323.43,3093479.00,在售,住宅
5号楼21E,88.70,34987.00,66.87,46408.65,3103347.00,在售,住宅
5号楼22E,88.70,35058.00,66.87,46502.84,3109645.00,在售,住宅
5号楼23E,88.70,35129.00,66.87,46597.00,3115942.00,在售,住宅
5号楼24E,88.70,35200.00,66.87,46691.19,3122240.00,在售,住宅
5号楼25E,88.70,35272.00,66.87,46786.69,3128626.00,在售,住宅
5号楼26E,88.70,35343.00,66.87,46880.87,3134924.00,在售,住宅
5号楼27E,88.70,35414.00,66.87,46975.05,3141222.00,在售,住宅
5号楼28E,88.70,35485.00,66.87,47069.23,3147520.00,在售,住宅
5号楼29E,88.70,35556.00,66.87,47163.40,3153817.00,在售,住宅
5号楼30E,88.70,35627.00,66.87,47257.58,3160115.00,在售,住宅
5号楼31E,88.70,35699.00,66.87,47353.08,3166501.00,在售,住宅
5号楼32E,88.70,35770.00,66.87,47447.27,3172799.00,在售,住宅
5号楼33E,88.70,35900.00,66.87,47619.70,3184330.00,在售,住宅
5号楼34E,88.70,35971.00,66.87,47713.89,3190628.00,在售,住宅
5号楼35E,88.70,36043.00,66.87,47809.39,3197014.00,在售,住宅
