房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
9座29M,49.51,37517.10,36.53,50847.00,1857471.00,在售,
9座29L,49.51,37517.10,36.53,50847.00,1857471.00,在售,
9座29K,49.51,37493.96,36.53,50816.00,1856325.00,在售,
9座29J,49.51,37520.65,36.53,50852.00,1857647.00,在售,
9座29H,67.19,39779.08,49.57,53918.00,2672756.00,在售,
9座29G,67.19,40385.24,49.57,54740.00,2713484.00,在售,
9座29F,49.51,37969.14,36.53,51460.00,1879852.00,在售,
9座29E,49.51,37942.45,36.53,51424.00,1878530.00,在售,
9座29D,49.51,37969.14,36.53,51460.00,1879852.00,在售,
9座29C,49.51,37969.14,36.53,51460.00,1879852.00,在售,
9座29B,67.19,40384.17,49.57,54739.00,2713412.00,在售,
9座29A,67.19,39795.10,49.57,53940.00,2673832.00,在售,
9座28M,49.51,37645.23,36.53,51021.00,1863815.00,在售,
9座28L,49.51,37645.23,36.53,51021.00,1863815.00,在售,
9座28K,49.51,37622.11,36.53,50990.00,1862670.00,在售,
9座28J,49.51,24516.10,36.53,33227.28,1213792.55,在售,
9座28H,67.19,26343.17,49.57,35707.03,1769997.79,在售,
9座28G,67.19,26665.59,49.57,36144.06,1791661.39,在售,
9座28F,49.51,38097.28,36.53,51634.00,1886196.00,在售,
9座28E,49.51,38070.57,36.53,51597.00,1884873.00,在售,
9座28D,49.51,38097.28,36.53,51634.00,1886196.00,在售,
9座28C,49.51,38097.28,36.53,51634.00,1886196.00,在售,
9座28B,67.19,25698.32,49.57,34832.97,1726670.58,在售,
9座28A,67.19,26020.74,49.57,35270.00,1748334.18,在售,
9座27M,49.51,37517.10,36.53,50847.00,1857471.00,在售,
9座27L,49.51,37517.10,36.53,50847.00,1857471.00,在售,
9座27K,49.51,37493.96,36.53,50816.00,1856325.00,在售,
9座27J,49.51,24482.40,36.53,33181.59,1212123.68,在售,
9座27H,67.19,26309.46,49.57,35661.34,1767732.96,在售,
9座27G,67.19,26631.88,49.57,36098.37,1789396.56,在售,
9座27F,49.51,37969.14,36.53,51460.00,1879852.00,在售,
9座27E,49.51,37942.45,36.53,51424.00,1878530.00,在售,
9座27D,49.51,37969.14,36.53,51460.00,1879852.00,在售,
9座27C,49.51,37969.14,36.53,51460.00,1879852.00,在售,
9座27B,67.19,25664.61,49.57,34787.28,1724405.75,在售,
9座27A,67.19,25987.04,49.57,35224.31,1746069.35,在售,
9座26M,49.51,37559.80,36.53,50905.00,1859585.00,在售,
9座26L,49.51,37559.80,36.53,50905.00,1859585.00,在售,
9座26K,49.51,37536.68,36.53,50874.00,1858441.00,在售,
9座26J,49.51,24448.69,36.53,33135.91,1210454.80,在售,
9座26H,67.19,26275.75,49.57,35615.65,1765468.13,在售,
9座26G,67.19,26598.18,49.57,36052.68,1787131.73,在售,
9座26F,49.51,24126.27,36.53,32698.92,1194491.63,在售,
9座26E,49.51,24126.27,36.53,32698.92,1194491.63,在售,
9座26D,49.51,38011.86,36.53,51518.00,1881967.00,在售,
9座26C,49.51,38011.86,36.53,51518.00,1881967.00,在售,
9座26B,67.19,25630.91,49.57,34741.59,1722140.92,在售,
9座26A,67.19,25953.33,49.57,35178.62,1743804.52,在售,
9座25M,49.51,37431.68,36.53,50732.00,1853242.00,在售,
9座25L,49.51,37431.68,36.53,50732.00,1853242.00,在售,
9座25K,49.51,37408.54,36.53,50700.00,1852096.00,在售,
9座25J,49.51,24414.98,36.53,33090.22,1208785.92,在售,
9座25H,67.19,26242.04,49.57,35569.96,1763203.29,在售,
9座25G,67.19,26564.47,49.57,36006.99,1784866.90,在售,
9座25F,49.51,24092.56,36.53,32653.23,1192822.76,在售,
9座25E,49.51,37857.02,36.53,51308.00,1874301.00,在售,
9座25D,49.51,37883.71,36.53,51344.00,1875622.00,在售,
9座25C,49.51,24092.56,36.53,32653.23,1192822.76,在售,
9座25B,67.19,25597.20,49.57,34695.90,1719876.08,在售,
9座25A,67.19,39709.67,49.57,53824.00,2668092.00,在售,
9座24M,49.51,37388.96,36.53,50674.00,1851127.00,在售,
9座24L,49.51,37388.96,36.53,50674.00,1851127.00,在售,
9座24K,49.51,37365.81,36.53,50642.00,1849981.00,在售,
9座24J,49.51,37392.52,36.53,50678.00,1851303.00,在售,
9座24H,67.19,26208.34,49.57,35524.27,1760938.46,在售,
9座24G,67.19,26530.76,49.57,35961.30,1782602.07,在售,
9座24F,49.51,24058.85,36.53,32607.55,1191153.88,在售,
9座24E,49.51,37814.30,36.53,51250.00,1872185.00,在售,
9座24D,49.51,37840.99,36.53,51286.00,1873507.00,在售,
9座24C,49.51,37840.99,36.53,51286.00,1873507.00,在售,
9座24B,67.19,25563.49,49.57,34650.21,1717611.25,在售,
9座24A,67.19,39666.95,49.57,53766.00,2665222.00,在售,
9座23M,49.51,37431.68,36.53,50732.00,1853242.00,在售,
9座23L,49.51,37431.68,36.53,50732.00,1853242.00,在售,
9座23K,49.51,37408.54,36.53,50700.00,1852096.00,在售,
9座23J,49.51,24347.56,36.53,32998.85,1205448.17,在售,
9座23H,67.19,26174.63,49.57,35478.58,1758673.63,在售,
9座23G,67.19,26497.05,49.57,35915.61,1780337.24,在售,
9座23F,49.51,24025.14,36.53,32561.86,1189485.00,在售,
9座23E,49.51,37857.02,36.53,51308.00,1874301.00,在售,
