房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
C3110,51.23,56571.24,39.11,74102.40,2898145.00,在售,商务公寓
C3109,84.40,56295.90,64.44,73733.30,4751374.00,在售,商务公寓
C3108,51.57,56810.97,39.37,74415.59,2929742.00,在售,商务公寓
C3107,124.61,55086.31,95.13,72157.11,6864306.00,在售,商务公寓
C3106,116.76,54949.32,89.14,71975.36,6415884.00,在售,商务公寓
C3105,120.45,55189.05,91.96,72287.10,6647522.00,在售,商务公寓
C3104,120.89,53646.58,92.30,70263.66,6485336.00,在售,商务公寓
C3103,51.57,55906.86,39.37,73231.31,2883117.00,在售,商务公寓
C3102,84.40,54241.11,64.43,71053.08,4577950.00,在售,商务公寓
C3101,51.23,56605.49,39.11,74147.25,2899899.00,在售,商务公寓
C3010,51.23,56571.24,39.11,74102.40,2898145.00,在售,商务公寓
C3009,84.40,56295.90,64.44,73733.30,4751374.00,在售,商务公寓
C3008,51.57,56810.97,39.37,74415.59,2929742.00,在售,商务公寓
C3007,124.61,55086.31,95.13,72157.11,6864306.00,在售,商务公寓
C3006,116.76,54949.32,89.14,71975.36,6415884.00,在售,商务公寓
C3005,120.45,55189.05,91.96,72287.10,6647522.00,在售,商务公寓
C3004,120.89,53646.58,92.30,70263.66,6485336.00,在售,商务公寓
C3003,51.57,55906.86,39.37,73231.31,2883117.00,在售,商务公寓
C3002,84.40,54241.11,64.43,71053.08,4577950.00,在售,商务公寓
C3001,51.23,56605.49,39.11,74147.25,2899899.00,在售,商务公寓
C2910,51.23,56471.24,39.11,73971.41,2893022.00,在售,商务公寓
C2909,84.40,56195.90,64.44,73602.32,4742934.00,在售,商务公寓
C2908,51.57,56710.97,39.37,74284.60,2924585.00,在售,商务公寓
C2907,124.61,54936.31,95.13,71960.62,6845614.00,在售,商务公寓
C2906,116.76,54799.32,89.14,71778.88,6398370.00,在售,商务公寓
C2905,120.45,55039.05,91.96,72090.62,6629454.00,在售,商务公寓
C2904,120.89,53546.58,92.30,70132.68,6473247.00,在售,商务公寓
C2903,51.57,55806.86,39.37,73100.33,2877960.00,在售,商务公寓
C2902,84.40,54141.11,64.43,70922.08,4569510.00,在售,商务公寓
C2901,51.23,56505.49,39.11,74016.26,2894776.00,在售,商务公寓
C2810,51.23,56371.24,39.11,73840.42,2887899.00,在售,商务公寓
C2809,84.40,56095.90,64.44,73471.35,4734494.00,在售,商务公寓
C2808,51.57,56610.97,39.37,74153.61,2919428.00,在售,商务公寓
C2807,124.61,54786.31,95.13,71764.14,6826923.00,在售,商务公寓
C2806,116.76,54649.32,89.14,71582.40,6380856.00,在售,商务公寓
C2805,120.45,54889.05,91.96,71894.16,6611387.00,在售,商务公寓
C2804,120.89,53446.58,92.30,70001.71,6461158.00,在售,商务公寓
C2803,51.57,55706.86,39.37,72969.34,2872803.00,在售,商务公寓
C2802,84.40,54041.11,64.43,70791.09,4561070.00,在售,商务公寓
C2801,51.23,56405.49,39.11,73885.27,2889653.00,在售,商务公寓
C2710,51.23,56271.24,39.11,73709.43,2882776.00,在售,商务公寓
C2709,84.40,55995.90,64.44,73340.37,4726054.00,在售,商务公寓
C2708,51.57,56510.97,39.37,74022.63,2914271.00,在售,商务公寓
C2707,124.61,54636.31,95.13,71567.65,6808231.00,在售,商务公寓
C2706,116.76,54499.32,89.14,71385.93,6363342.00,在售,商务公寓
C2705,120.45,54739.05,91.96,71697.68,6593319.00,在售,商务公寓
C2704,120.89,53346.58,92.30,69870.73,6449069.00,在售,商务公寓
C2703,51.57,55606.86,39.37,72838.35,2867646.00,在售,商务公寓
C2702,84.40,53941.11,64.43,70660.09,4552630.00,在售,商务公寓
C2701,51.23,56305.49,39.11,73754.28,2884530.00,在售,商务公寓
C2610,51.23,56171.24,39.11,73578.44,2877653.00,在售,商务公寓
C2609,84.40,55895.90,64.44,73209.40,4717614.00,在售,商务公寓
C2608,51.57,56410.97,39.37,73891.64,2909114.00,在售,商务公寓
C2607,124.61,54486.31,95.13,71371.17,6789540.00,在售,商务公寓
C2606,116.76,54349.32,89.14,71189.45,6345828.00,在售,商务公寓
C2605,120.45,54589.05,91.96,71501.21,6575252.00,在售,商务公寓
C2604,120.89,52246.58,92.30,68430.01,6316090.00,在售,商务公寓
C2603,51.57,54506.86,39.37,71397.48,2810919.00,在售,商务公寓
C2602,84.40,53841.11,64.43,70529.10,4544190.00,在售,商务公寓
C2601,51.23,56205.49,39.11,73623.29,2879407.00,在售,商务公寓
