房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B座1623,50.03,43279.51,36.38,59518.25,2165274.00,在售,宿舍
B座1622,50.03,45173.27,36.38,62122.56,2260019.00,在售,宿舍
B座1621,46.50,41492.17,33.82,57048.66,1929386.00,在售,宿舍
B座1620,46.47,42939.07,33.80,59034.88,1995379.00,在售,宿舍
B座1619,48.22,42492.24,35.07,58425.32,2048976.00,在售,宿舍
B座1618,48.22,42492.24,35.07,58425.32,2048976.00,在售,宿舍
B座1616,48.22,42492.24,35.07,58425.32,2048976.00,在售,宿舍
B座1615,48.22,42939.09,35.07,59039.72,2070523.00,在售,宿舍
B座1613,48.22,42492.24,35.07,58425.32,2048976.00,在售,宿舍
B座1612,50.60,42939.09,36.80,59041.25,2172718.00,在售,宿舍
B座1611,48.22,42492.24,35.07,58425.32,2048976.00,在售,宿舍
B座1610,48.22,42492.24,35.07,58425.32,2048976.00,在售,宿舍
B座1609,48.22,42492.24,35.07,58425.32,2048976.00,在售,宿舍
B座1608,48.22,42492.24,35.07,58425.32,2048976.00,在售,宿舍
B座1607,48.22,42492.24,35.07,58425.32,2048976.00,在售,宿舍
B座1606,48.22,42492.24,35.07,58425.32,2048976.00,在售,宿舍
B座1605,48.22,41492.16,35.07,57050.24,2000752.00,在售,宿舍
B座1603,48.31,42939.08,35.13,59048.87,2074387.00,在售,宿舍
B座1602,48.31,43726.35,35.13,60131.51,2112420.00,在售,宿舍
B座1601,48.31,46066.94,35.13,63350.24,2225494.00,在售,宿舍
B座1523,50.03,43151.84,36.38,59342.68,2158887.00,在售,宿舍
B座1522,50.03,45045.59,36.38,61946.97,2253631.00,在售,宿舍
B座1521,46.50,41364.49,33.82,56873.12,1923449.00,在售,宿舍
B座1520,46.47,42811.40,33.80,58859.34,1989446.00,在售,宿舍
B座1519,48.22,42364.55,35.07,58249.75,2042819.00,在售,宿舍
B座1518,48.22,42364.55,35.07,58249.75,2042819.00,在售,宿舍
B座1516,48.22,42364.55,35.07,58249.75,2042819.00,在售,宿舍
B座1515,48.22,42811.38,35.07,58864.12,2064365.00,在售,宿舍
B座1513,48.22,42364.55,35.07,58249.75,2042819.00,在售,宿舍
B座1512,50.60,42811.40,36.80,58865.67,2166257.00,在售,宿舍
B座1511,48.22,42896.55,35.07,58981.23,2068472.00,在售,宿舍
B座1510,48.22,42896.55,35.07,58981.23,2068472.00,在售,宿舍
B座1509,48.22,42896.55,35.07,58981.23,2068472.00,在售,宿舍
B座1508,48.22,42896.55,35.07,58981.23,2068472.00,在售,宿舍
B座1507,48.22,42364.55,35.07,58249.75,2042819.00,在售,宿舍
