房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
C座2123,51.86,94266.00,37.16,131557.10,4888662.00,在售,办公
C座2122,51.86,94266.00,37.16,131557.10,4888662.00,在售,办公
C座2121,51.86,94266.00,37.16,131557.10,4888662.00,在售,办公
C座2120,86.41,98548.00,61.91,137547.16,8515545.00,在售,办公
C座2119,73.71,94266.00,52.82,131548.39,6948386.00,在售,办公
C座2118,72.52,94266.00,51.96,131566.76,6836209.00,在售,办公
C座2117,74.24,72979.53,53.20,101842.11,5418000.31,在售,办公
C座2116,74.00,72986.49,53.02,101867.22,5401000.26,在售,办公
C座2115,72.66,94266.00,52.06,131567.53,6849406.00,在售,办公
C座2113,73.71,94266.00,52.82,131548.39,6948386.00,在售,办公
C座2112,67.58,79772.12,48.42,111338.29,5390999.87,在售,办公
C座2111,67.98,89466.00,48.70,124885.72,6081935.00,在售,办公
C座2110,67.81,89466.00,48.59,124855.44,6066726.00,在售,办公
C座2109,86.88,94866.00,62.25,132401.67,8242004.00,在售,办公
C座2108,73.72,75786.76,52.82,105774.33,5586999.95,在售,办公
C座2107,74.30,75787.35,53.24,105766.34,5631000.11,在售,办公
C座2103,74.16,76982.20,53.14,107433.19,5708999.95,在售,办公
C座2102,73.71,76977.34,52.82,107421.43,5673999.73,在售,办公
C座2101,86.87,94866.00,62.24,132407.69,8241055.00,在售,办公
C座2023,51.86,94066.00,37.16,131277.98,4878290.00,在售,办公
C座2022,51.86,94066.00,37.16,131277.98,4878290.00,在售,办公
C座2021,51.86,94066.00,37.16,131277.98,4878290.00,在售,办公
C座2020,86.41,98340.00,61.91,137257.19,8497593.00,在售,办公
C座2019,73.71,94066.00,52.82,131269.29,6933644.00,在售,办公
C座2018,72.52,94066.00,51.96,131287.62,6821705.00,在售,办公
C座2017,74.24,87875.00,53.20,122628.92,6523859.00,在售,办公
C座2016,74.00,87875.00,53.02,122647.47,6502769.00,在售,办公
C座2015,72.66,94066.00,52.06,131288.39,6834874.00,在售,办公
C座2013,73.71,94066.00,52.82,131269.29,6933644.00,在售,办公
C座2012,67.58,79594.55,48.42,111090.45,5378999.69,在售,办公
C座2011,67.98,89266.00,48.70,124606.55,6068339.00,在售,办公
C座2010,67.81,89266.00,48.59,124576.33,6053164.00,在售,办公
C座2009,86.88,94666.00,62.25,132122.53,8224628.00,在售,办公
C座2008,73.72,75610.42,52.82,105528.21,5574000.16,在售,办公
C座2007,74.30,75612.38,53.24,105522.16,5617999.83,在售,办公
C座2003,74.16,91366.00,53.14,127507.37,6775742.00,在售,办公
C座2002,73.71,91366.00,52.82,127501.45,6734627.00,在售,办公
C座2001,86.87,94666.00,62.24,132128.55,8223681.00,在售,办公
C座1923,49.20,97866.00,37.16,129575.72,4815034.00,在售,办公
C座1922,49.20,97866.00,37.16,129575.72,4815034.00,在售,办公
C座1921,49.20,97866.00,37.16,129575.72,4815034.00,在售,办公
C座1920,81.98,102287.00,61.91,135447.55,8385558.00,在售,办公
C座1919,69.93,83054.48,52.82,109958.35,5807999.79,在售,办公
C座1918,68.80,83052.33,51.96,109969.21,5714000.30,在售,办公
C座1917,70.73,77180.83,53.42,102190.19,5459000.11,在售,办公
C座1916,70.50,77177.30,53.24,102197.59,5440999.65,在售,办公
C座1915,68.93,83055.27,52.06,109969.26,5724999.76,在售,办公
C座1913,69.93,83054.48,52.82,109958.35,5807999.79,在售,办公
C座1912,64.11,82467.63,48.42,109190.41,5286999.76,在售,办公
C座1911,64.49,93066.00,48.70,123241.49,6001861.00,在售,办公
C座1910,64.33,93066.00,48.59,123214.03,5986970.00,在售,办公
C座1909,82.42,98466.00,62.25,130371.26,8115611.00,在售,办公
C座1908,69.93,78435.58,52.82,103843.24,5485000.11,在售,办公
C座1907,70.49,78436.66,53.24,103850.49,5529000.16,在售,办公
C座1903,70.36,79732.80,53.14,105570.19,5609999.81,在售,办公
