房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋二单元47E,75.64,84476.79,54.29,117698.00,6389824.69,在售,住宅
4栋二单元46E,75.64,86676.79,54.29,120763.17,6556232.69,在售,住宅
4栋二单元45E,75.64,84076.79,54.29,117140.70,6359568.69,在售,住宅
4栋二单元44E,75.64,86276.79,54.29,120205.87,6525976.69,在售,住宅
4栋二单元43E,75.64,83676.79,54.29,116583.39,6329312.69,在售,住宅
4栋二单元42E,75.64,85876.79,54.29,119648.56,6495720.69,在售,住宅
4栋二单元41E,75.64,83276.79,54.29,116026.09,6299056.69,在售,住宅
4栋二单元40E,75.64,85476.79,54.29,119091.26,6465464.69,在售,住宅
4栋二单元39E,75.64,82876.79,54.29,115468.79,6268800.69,在售,住宅
4栋二单元38E,75.64,84946.79,54.29,118352.83,6425375.49,在售,住宅
