房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
9栋2607,48.41,33478.33,31.56,51352.53,1620686.00,在售,商务公寓
9栋2606,63.43,34898.74,41.36,53520.96,2213627.00,在售,商务公寓
9栋2605,58.02,33732.56,37.84,51722.07,1957163.00,在售,商务公寓
9栋2603,58.02,33622.87,37.84,51553.88,1950799.00,在售,商务公寓
9栋2602,63.43,34569.71,41.36,53016.37,2192757.00,在售,商务公寓
9栋2601,48.41,33258.98,31.57,50999.90,1610067.00,在售,商务公寓
9栋2507,48.41,33458.33,31.56,51321.86,1619718.00,在售,商务公寓
9栋2506,63.43,34878.74,41.36,53490.28,2212358.00,在售,商务公寓
9栋2505,58.02,33712.56,37.84,51691.41,1956003.00,在售,商务公寓
9栋2503,58.02,33602.87,37.84,51523.23,1949639.00,在售,商务公寓
9栋2502,63.43,34549.71,41.36,52985.69,2191488.00,在售,商务公寓
9栋2501,48.41,33238.98,31.57,50969.24,1609099.00,在售,商务公寓
9栋2407,48.41,33438.33,31.56,51291.19,1618750.00,在售,商务公寓
9栋2406,63.43,34858.74,41.36,53459.62,2211090.00,在售,商务公寓
9栋2405,58.02,33692.56,37.84,51660.73,1954842.00,在售,商务公寓
9栋2403,58.02,33582.87,37.84,51492.55,1948478.00,在售,商务公寓
9栋2402,63.43,34529.71,41.36,52955.03,2190220.00,在售,商务公寓
9栋2401,48.41,33218.98,31.57,50938.58,1608131.00,在售,商务公寓
9栋2307,48.41,33418.33,31.56,51260.49,1617781.00,在售,商务公寓
9栋2306,63.43,34838.74,41.36,53428.94,2209821.00,在售,商务公寓
9栋2305,58.02,33672.56,37.84,51630.07,1953682.00,在售,商务公寓
9栋2303,58.02,33562.87,37.84,51461.89,1947318.00,在售,商务公寓
9栋2302,63.43,34509.71,41.36,52924.35,2188951.00,在售,商务公寓
9栋2301,48.41,33198.98,31.57,50907.92,1607163.00,在售,商务公寓
9栋2207,48.41,33398.33,31.56,51229.82,1616813.00,在售,商务公寓
9栋2206,63.43,34818.74,41.36,53398.28,2208553.00,在售,商务公寓
9栋2205,58.02,33652.56,37.84,51599.42,1952522.00,在售,商务公寓
9栋2203,58.02,33542.87,37.84,51431.21,1946157.00,在售,商务公寓
9栋2202,63.43,34489.71,41.36,52893.67,2187682.00,在售,商务公寓
9栋2201,48.41,33178.98,31.57,50877.23,1606194.00,在售,商务公寓
