房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
10栋一单元32F,83.04,25200.00,65.42,31987.28,2092608.00,在售,住宅
10栋一单元32E,89.14,30000.00,70.22,38083.16,2674200.00,在售,住宅
10栋一单元32D,86.18,30000.00,67.90,38076.58,2585400.00,在售,住宅
10栋一单元32C,86.98,30000.00,68.52,38082.31,2609400.00,在售,住宅
10栋一单元32B,110.45,30000.00,87.02,38077.45,3313500.00,在售,住宅
10栋一单元32A,123.40,30000.00,97.22,38078.58,3702000.00,在售,住宅
10栋一单元31E,89.14,30000.00,70.22,38083.16,2674200.00,在售,住宅
10栋一单元31A,123.40,30000.00,97.22,38078.58,3702000.00,在售,住宅
10栋一单元30E,89.14,30000.00,70.22,38083.16,2674200.00,在售,住宅
10栋一单元29E,89.14,30000.00,70.22,38083.16,2674200.00,在售,住宅
10栋一单元28F,83.04,30000.00,65.42,38080.09,2491200.00,在售,住宅
10栋一单元28E,89.14,30000.00,70.22,38083.16,2674200.00,在售,住宅
10栋一单元27F,83.04,30000.00,65.42,38080.09,2491200.00,在售,住宅
10栋一单元27E,89.14,30000.00,70.22,38083.16,2674200.00,在售,住宅
10栋一单元27A,123.40,30000.00,97.22,38078.58,3702000.00,在售,住宅
10栋一单元26F,83.04,30000.00,65.42,38080.09,2491200.00,在售,住宅
10栋一单元26E,89.14,30000.00,70.22,38083.16,2674200.00,在售,住宅
10栋一单元26B,110.45,30000.00,87.02,38077.45,3313500.00,在售,住宅
10栋一单元26A,123.40,30000.00,97.22,38078.58,3702000.00,在售,住宅
10栋一单元25F,83.04,30000.00,65.42,38080.09,2491200.00,在售,住宅
10栋一单元25E,89.14,30000.00,70.22,38083.16,2674200.00,在售,住宅
10栋一单元25B,110.45,30000.00,87.02,38077.45,3313500.00,在售,住宅
10栋一单元25A,123.40,30000.00,97.22,38078.58,3702000.00,在售,住宅
10栋一单元24F,83.04,30000.00,65.42,38080.09,2491200.00,在售,住宅
10栋一单元24E,89.14,30000.00,70.22,38083.16,2674200.00,在售,住宅
