房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋商业3049,17.95,16148.00,12.26,23642.00,289856.00,在售,商业
2栋商业3048,18.27,15780.00,12.48,23101.00,288300.00,在售,商业
2栋商业3047,18.27,15779.00,12.48,23101.00,288300.00,在售,商业
2栋商业3046,18.27,15044.00,12.48,22023.00,274853.00,在售,商业
2栋商业3045,18.27,15044.00,12.48,22023.00,274853.00,在售,商业
2栋商业3043,18.27,14308.00,12.48,20946.00,261407.00,在售,商业
2栋商业3042,18.27,14308.00,12.48,20946.00,261407.00,在售,商业
2栋商业3041,18.27,14308.00,12.48,20946.00,261407.00,在售,商业
2栋商业3040,279.24,13572.00,190.70,19873.00,3789845.00,在售,商业
2栋商业3039,11.03,13940.00,7.53,20419.00,153758.00,在售,商业
2栋商业3038,16.84,13940.00,11.50,20413.00,234749.00,在售,商业
2栋商业3037,11.75,13940.00,8.02,20423.00,163795.00,在售,商业
2栋商业3036,9.87,16884.00,6.74,24724.00,166645.00,在售,商业
2栋商业3035,22.52,16884.00,15.38,24722.00,380227.00,在售,商业
2栋商业3033,22.04,15044.00,15.05,22031.00,331569.00,在售,商业
2栋商业3032,22.04,15044.00,15.05,22031.00,331569.00,在售,商业
2栋商业3031,21.91,15780.00,14.96,23110.00,345739.00,在售,商业
2栋商业3030,18.14,14676.00,12.39,21486.00,266222.00,在售,商业
2栋商业3029,12.48,14676.00,8.53,21472.00,183156.00,在售,商业
2栋商业3028,12.30,14675.00,8.40,21489.00,180507.00,在售,商业
2栋商业3027,17.22,14676.00,11.76,21489.00,252720.00,在售,商业
2栋商业3026,16.40,14676.00,11.20,21489.00,240686.00,在售,商业
2栋商业3025,20.50,14676.00,14.00,21489.00,300858.00,在售,商业
2栋商业3023,20.50,14676.00,14.00,21489.00,300858.00,在售,商业
2栋商业3022,20.50,14676.00,14.00,21489.00,300858.00,在售,商业
2栋商业3021,20.50,15044.00,14.00,22028.00,308402.00,在售,商业
2栋商业3020,28.44,14308.00,19.43,20942.00,406919.00,在售,商业
2栋商业3019,81.79,12230.56,55.85,17911.00,1000337.00,在售,商业
2栋商业3018,92.38,11272.82,63.09,16506.00,1041383.00,在售,商业
2栋商业3017,437.03,13572.00,298.46,19873.00,5931371.00,在售,商业
