房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B座608,74.60,22681.93,51.63,32773.04,1692072.10,在售,商务公寓
B座607,69.13,22416.23,47.85,32385.25,1549634.61,在售,商务公寓
B座606,94.39,20572.33,65.33,29723.29,1941822.54,在售,商务公寓
B座605,76.71,22405.61,53.10,32367.88,1718734.45,在售,商务公寓
B座603,76.70,22363.10,53.09,32308.34,1715249.82,在售,商务公寓
B座602,74.20,22309.96,51.36,32231.29,1655399.19,在售,商务公寓
B座601,91.41,19865.59,63.27,28701.02,1815913.70,在售,商务公寓
B座708,74.60,22745.69,51.63,32865.17,1696829.06,在售,商务公寓
B座707,69.13,22480.00,47.85,32477.38,1554042.77,在售,商务公寓
B座706,94.39,20636.09,65.33,29815.42,1947841.43,在售,商务公寓
B座705,76.71,22469.37,53.10,32459.99,1723625.96,在售,商务公寓
B座703,76.70,22426.86,53.09,32400.46,1720140.69,在售,商务公寓
B座702,74.20,22373.72,51.36,32323.41,1660130.64,在售,商务公寓
B座701,91.41,19929.35,63.27,28793.14,1821742.56,在售,商务公寓
B座808,74.60,22809.46,51.63,32957.31,1701586.02,在售,商务公寓
B座807,69.13,22543.77,47.85,32569.50,1558450.93,在售,商务公寓
B座806,94.39,20699.86,65.33,29907.55,1953860.32,在售,商务公寓
B座805,76.71,22533.14,53.10,32552.11,1728517.46,在售,商务公寓
B座803,76.70,22490.63,53.09,32492.58,1725031.55,在售,商务公寓
B座802,74.20,22437.49,51.36,32415.53,1664862.10,在售,商务公寓
B座801,91.41,19993.12,63.27,28885.27,1827571.43,在售,商务公寓
B座908,74.60,22873.23,51.63,33049.44,1706342.98,在售,商务公寓
B座907,69.13,22607.53,47.85,32661.63,1562859.08,在售,商务公寓
B座906,94.39,20763.63,65.33,29999.68,1959879.21,在售,商务公寓
B座905,76.71,22596.91,53.10,32644.23,1733408.97,在售,商务公寓
B座903,76.70,22554.39,53.09,32584.71,1729922.42,在售,商务公寓
B座902,74.20,22501.26,51.36,32507.66,1669593.55,在售,商务公寓
B座901,91.41,20056.88,63.27,28977.40,1833400.30,在售,商务公寓
B座1008,74.60,22936.99,51.63,33141.58,1711099.93,在售,商务公寓
B座1007,69.13,22671.30,47.85,32753.75,1567267.24,在售,商务公寓
B座1006,94.39,20827.39,65.33,30091.81,1965898.10,在售,商务公寓
B座1005,76.71,22660.67,53.10,32736.35,1738300.47,在售,商务公寓
B座1003,76.70,22618.16,53.09,32676.83,1734813.29,在售,商务公寓
B座1002,74.20,22565.02,51.36,32599.78,1674325.00,在售,商务公寓
B座1001,91.41,20120.65,63.27,29069.53,1839229.17,在售,商务公寓
B座1108,74.60,23000.76,51.63,33233.71,1715856.89,在售,商务公寓
B座1107,69.13,22735.07,47.85,32845.88,1571675.40,在售,商务公寓
B座1106,94.39,27659.51,65.33,39962.00,2610781.00,在售,商务公寓
B座1105,76.71,22724.44,53.10,32828.47,1743191.98,在售,商务公寓
B座1103,76.70,22681.93,53.09,32768.96,1739704.16,在售,商务公寓
