房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋01层01,2393.21,100000.00,2085.96,114729.42,239321000.00,在售,商业
3栋01层11,24.90,70000.00,20.06,86889.33,1743000.00,在售,商业
3栋01层10,24.90,70000.00,20.06,86889.33,1743000.00,在售,商业
3栋01层09,35.32,70000.00,28.46,86872.80,2472400.00,在售,商业
3栋01层08,36.01,70000.00,29.02,86860.78,2520700.00,在售,商业
3栋01层07,62.13,70000.00,50.06,86877.74,4349100.00,在售,商业
3栋01层06,49.26,70000.00,39.69,86878.30,3448200.00,在售,商业
3栋01层05,57.07,70000.00,45.99,86864.53,3994900.00,在售,商业
3栋01层04,79.23,70000.00,63.84,86875.00,5546100.00,在售,商业
3栋01层03,92.36,70000.00,74.42,86874.49,6465200.00,在售,商业
3栋01层02,69.08,70000.00,55.66,86877.47,4835600.00,在售,商业
3栋01层01,49.68,70000.00,40.03,86874.84,3477600.00,在售,商业
9栋A单元16F,89.54,17181.00,73.22,21010.47,1538386.74,在售,住宅
9栋A单元16E,89.32,19199.00,73.04,23478.29,1714854.68,在售,住宅
9栋A单元16D,89.32,19199.00,73.04,23478.29,1714854.68,在售,住宅
9栋A单元16C,88.81,18339.00,72.62,22427.52,1628686.59,在售,住宅
9栋A单元16B,88.73,16810.00,72.56,20556.10,1491551.30,在售,住宅
9栋A单元16A,89.35,17181.00,73.06,21011.80,1535122.35,在售,住宅
9栋A单元15F,89.54,17251.00,73.22,21096.07,1544654.54,在售,住宅
9栋A单元15E,89.32,19269.00,73.04,23563.89,1721107.08,在售,住宅
9栋A单元15D,89.32,19269.00,73.04,23563.89,1721107.08,在售,住宅
9栋A单元15C,88.81,18409.00,72.62,22513.12,1634903.29,在售,住宅
9栋A单元15B,88.73,16880.00,72.56,20641.70,1497762.40,在售,住宅
9栋A单元15A,89.35,17251.00,73.06,21097.41,1541376.85,在售,住宅
9栋A单元14F,89.54,17221.00,73.22,21059.38,1541968.34,在售,住宅
9栋A单元14E,89.32,19239.00,73.04,23527.21,1718427.48,在售,住宅
9栋A单元14D,89.32,19239.00,73.04,23527.21,1718427.48,在售,住宅
9栋A单元14C,88.81,18379.00,72.62,22476.43,1632238.99,在售,住宅
9栋A单元14B,88.73,16850.00,72.56,20605.02,1495100.50,在售,住宅
9栋A单元14A,89.35,17221.00,73.06,21060.72,1538696.35,在售,住宅
9栋A单元13F,89.54,17191.00,73.22,21022.70,1539282.14,在售,住宅
9栋A单元13E,89.32,19209.00,73.04,23490.52,1715747.88,在售,住宅
9栋A单元13D,89.32,19209.00,73.04,23490.52,1715747.88,在售,住宅
9栋A单元13C,88.81,18349.00,72.62,22439.75,1629574.69,在售,住宅
9栋A单元13B,88.73,16820.00,72.56,20568.33,1492438.60,在售,住宅
