房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2616,52.06,137765.23,37.25,192538.50,7172058.00,在售,商务公寓
2615,37.84,111418.39,27.08,155689.50,4216072.00,在售,商务公寓
2614,38.00,112095.57,27.20,156604.10,4259632.00,在售,商务公寓
2613,37.72,112095.57,27.00,156601.70,4228245.00,在售,商务公寓
2612,40.58,108709.61,29.04,151909.00,4411436.00,在售,商务公寓
2611,36.63,110063.99,26.22,153762.20,4031644.00,在售,商务公寓
2610,29.25,132076.78,20.93,184579.40,3863246.00,在售,商务公寓
2609,43.64,108709.62,31.23,151908.00,4744088.00,在售,商务公寓
2608,43.64,109048.21,31.23,152381.20,4758864.00,在售,商务公寓
2607,29.25,132889.43,20.93,185715.00,3887016.00,在售,商务公寓
2606,36.63,111418.40,26.22,155654.30,4081256.00,在售,商务公寓
2605,40.58,114804.36,29.04,160425.70,4658761.00,在售,商务公寓
2604,37.72,117513.14,27.00,164170.20,4432596.00,在售,商务公寓
2603,38.00,118867.52,27.20,166064.90,4516966.00,在售,商务公寓
2602,37.84,123448.54,27.08,172499.70,4671293.00,在售,商务公寓
2601,52.06,130857.85,37.25,182884.80,6812460.00,在售,商务公寓
2516,61.51,82659.14,39.93,127331.90,5084364.00,在售,商务公寓
2515,41.72,80221.23,27.08,123590.50,3346830.00,在售,商务公寓
2514,41.89,44901.98,27.20,69152.34,1880944.00,在售,商务公寓
2513,41.58,44901.97,27.00,69149.03,1867024.00,在售,商务公寓
2512,44.74,78270.92,29.04,120586.80,3501841.00,在售,商务公寓
2511,40.38,79246.08,26.22,122042.60,3199957.00,在售,商务公寓
2510,32.24,79246.09,20.93,122068.50,2554894.00,在售,商务公寓
2509,48.11,78270.92,31.23,120576.80,3765614.00,在售,商务公寓
2508,48.11,78514.71,31.23,120952.40,3777343.00,在售,商务公寓
2507,32.24,79733.65,20.93,122819.60,2570613.00,在售,商务公寓
2506,40.38,80221.24,26.22,123544.40,3239334.00,在售,商务公寓
2505,44.74,82659.14,29.04,127347.50,3698170.00,在售,商务公寓
2504,41.58,47068.99,27.00,72486.25,1957129.00,在售,商务公寓
2503,41.89,47610.74,27.20,73324.05,1994414.00,在售,商务公寓
2502,41.72,88882.95,27.08,136934.90,3708197.00,在售,商务公寓
2501,61.77,78514.71,40.10,120944.00,4849854.00,在售,商务公寓
2420,93.42,44838.23,67.12,62407.45,4188788.00,在售,商务公寓
2419,63.68,49379.41,45.75,68731.83,3144481.00,在售,商务公寓
2418,37.85,47547.00,27.20,66163.76,1799654.00,在售,商务公寓
2417,37.85,47005.25,27.19,65433.94,1779149.00,在售,商务公寓
2416,37.58,45921.74,27.00,63916.27,1725739.00,在售,商务公寓
2415,70.48,44567.35,50.63,62040.44,3141107.00,在售,商务公寓
2414,50.02,44838.22,35.94,62404.24,2242808.00,在售,商务公寓
2413,87.98,44838.23,63.21,62408.92,3944868.00,在售,商务公寓
2412,83.32,43483.84,59.86,60525.79,3623074.00,在售,商务公寓
2411,83.32,44025.60,59.86,61279.87,3668213.00,在售,商务公寓
2410,83.32,44025.60,59.86,61279.87,3668213.00,在售,商务公寓
2409,83.32,43483.84,59.86,60525.79,3623074.00,在售,商务公寓
2408,87.98,43619.28,63.21,60712.30,3837625.00,在售,商务公寓
2407,50.02,44296.48,35.94,61650.25,2215710.00,在售,商务公寓
2406,70.48,44567.35,50.64,62028.18,3141107.00,在售,商务公寓
2405,37.57,45921.74,26.99,63922.93,1725280.00,在售,商务公寓
2404,37.85,47005.25,27.20,65409.89,1779149.00,在售,商务公寓
2403,37.85,47547.00,27.19,66188.10,1799654.00,在售,商务公寓
2402,63.68,49379.41,45.75,68731.83,3144481.00,在售,商务公寓
2401,93.63,43619.28,67.27,60711.66,4084074.00,在售,商务公寓
2320,93.44,44774.49,67.10,62350.66,4183729.00,在售,商务公寓
2319,61.13,50909.07,43.90,70890.03,3112072.00,在售,商务公寓
2318,37.87,47483.28,27.20,66109.99,1798192.00,在售,商务公寓
2317,37.87,46941.51,27.19,65379.75,1777675.00,在售,商务公寓
2316,37.59,45858.02,27.00,63844.54,1723803.00,在售,商务公寓
2315,70.51,44503.61,50.63,61978.08,3137950.00,在售,商务公寓
2314,50.05,44774.50,35.94,62352.91,2240964.00,在售,商务公寓
2313,88.02,44774.49,63.21,62348.54,3941051.00,在售,商务公寓
2312,83.36,43420.10,59.86,60466.09,3619500.00,在售,商务公寓
2311,83.36,43961.86,59.86,61220.53,3664661.00,在售,商务公寓
2310,83.36,43961.86,59.86,61220.53,3664661.00,在售,商务公寓
2309,83.36,43420.10,59.86,60466.09,3619500.00,在售,商务公寓
2308,88.02,43555.54,63.21,60651.15,3833759.00,在售,商务公寓
2307,50.05,44232.74,35.94,61598.46,2213849.00,在售,商务公寓
2306,70.51,44503.61,50.64,61965.84,3137950.00,在售,商务公寓
2305,37.59,45858.02,26.99,63868.19,1723803.00,在售,商务公寓
2304,37.87,46941.51,27.20,65355.71,1777675.00,在售,商务公寓
2303,37.87,47483.28,27.19,66134.30,1798192.00,在售,商务公寓
