房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
7栋商业01层17,63.20,50000.00,60.78,51990.79,3160000.00,在售,商业
7栋商业01层16,60.23,50000.00,57.92,51994.13,3011500.00,在售,商业
7栋商业01层15,60.23,50000.00,57.92,51994.13,3011500.00,在售,商业
7栋商业01层14,60.23,50000.00,57.91,52003.11,3011500.00,在售,商业
7栋商业01层13,42.54,50000.00,40.90,52004.89,2127000.00,在售,商业
7栋商业01层12,42.54,50000.00,40.90,52004.89,2127000.00,在售,商业
7栋商业01层11,46.27,50000.00,44.49,52000.45,2313500.00,在售,商业
7栋商业01层10,31.05,50000.00,29.86,51992.63,1552500.00,在售,商业
7栋商业01层9,34.10,50000.00,32.79,51997.56,1705000.00,在售,商业
7栋商业01层8,49.30,50000.00,47.41,51993.25,2465000.00,在售,商业
7栋商业01层7,33.35,50000.00,32.07,51995.63,1667500.00,在售,商业
7栋商业01层6,46.35,50000.00,44.57,51996.86,2317500.00,在售,商业
7栋商业01层5,45.13,50000.00,43.40,51993.09,2256500.00,在售,商业
7栋商业01层4,75.42,50000.00,72.52,51999.45,3771000.00,在售,商业
7栋商业01层3,49.52,50000.00,47.62,51994.96,2476000.00,在售,商业
7栋商业01层2,61.29,50000.00,58.94,51993.55,3064500.00,在售,商业
7栋商业01层1,71.88,50000.00,69.12,51996.53,3594000.00,在售,商业
6栋商业01层A10,63.35,50000.00,60.77,52122.76,3167500.00,在售,商业
6栋商业01层A09,60.37,50000.00,57.91,52123.99,3018500.00,在售,商业
6栋商业01层A08,60.37,50000.00,57.91,52123.99,3018500.00,在售,商业
6栋商业01层A07,60.37,50000.00,57.92,52114.99,3018500.00,在售,商业
6栋商业01层A06,60.37,50000.00,57.91,52123.99,3018500.00,在售,商业
6栋商业01层A05,60.37,50000.00,57.91,52123.99,3018500.00,在售,商业
6栋商业01层A04,14.71,50000.00,14.11,52126.15,735500.00,在售,商业
6栋商业01层A03,43.05,50000.00,41.30,52118.64,2152500.00,在售,商业
6栋商业01层A02,44.61,50000.00,42.79,52126.67,2230500.00,在售,商业
6栋商业01层A01,55.36,50000.00,53.11,52118.25,2768000.00,在售,商业
2栋商业01层A11,45.07,50000.00,44.00,51215.91,2253500.00,在售,商业
2栋商业01层A10,44.04,50000.00,43.00,51209.30,2202000.00,在售,商业
2栋商业01层A09,33.79,50000.00,32.99,51212.49,1689500.00,在售,商业
306.24,在售,住宅
3栋28层03,88.24,14545.86,69.56,18452.09,1283527.44,在售,住宅
3栋28层02,88.55,14778.01,69.80,18747.74,1308592.91,在售,住宅
3栋28层01,89.15,13528.01,70.27,17162.68,1206022.22,在售,住宅
3栋27层05,88.98,14625.15,70.14,18553.55,1301346.23,在售,住宅
3栋27层04,88.86,14589.44,70.05,18507.03,1296417.64,在售,住宅
3栋27层03,88.34,14535.86,69.64,18439.09,1284098.63,在售,住宅
3栋27层02,88.62,14768.01,69.85,18736.45,1308741.17,在售,住宅
3栋27层01,89.15,13518.01,70.27,17150.00,1205130.72,在售,住宅
3栋26层05,88.98,14615.15,70.14,18540.86,1300456.43,在售,住宅
3栋26层04,88.86,14579.44,70.05,18494.34,1295529.04,在售,住宅
3栋26层03,88.34,14525.86,69.64,18426.41,1283215.23,在售,住宅
3栋26层02,88.62,14758.01,69.85,18723.76,1307854.97,在售,住宅
3栋26层01,89.15,13508.01,70.27,17137.31,1204239.22,在售,住宅
3栋25层05,88.98,14605.15,70.14,18528.18,1299566.63,在售,住宅
3栋25层04,88.86,14569.44,70.05,18481.66,1294640.44,在售,住宅
3栋25层03,88.34,14515.86,69.64,18413.72,1282331.83,在售,住宅
3栋25层02,88.62,14748.01,69.85,18711.07,1306968.77,在售,住宅
3栋25层01,89.15,13498.01,70.27,17124.62,1203347.72,在售,住宅
3栋24层05,88.98,14595.15,70.14,18515.49,1298676.83,在售,住宅
3栋24层04,88.86,14559.44,70.05,18468.97,1293751.84,在售,住宅
3栋24层03,88.34,14505.86,69.64,18401.04,1281448.43,在售,住宅
3栋24层02,88.62,14738.01,69.85,18698.39,1306082.57,在售,住宅
3栋24层01,89.15,13488.01,70.27,17111.94,1202456.22,在售,住宅
3栋23层05,88.98,14545.15,70.14,18452.06,1294227.83,在售,住宅
3栋23层04,88.86,14509.44,70.05,18405.55,1289308.84,在售,住宅
3栋23层03,88.34,14455.86,69.64,18337.61,1277031.43,在售,住宅
3栋23层02,88.62,14688.01,69.85,18634.95,1301651.57,在售,住宅
3栋23层01,89.15,13438.01,70.27,17048.50,1197998.72,在售,住宅
3栋22层05,88.98,14535.15,70.14,18439.37,1293338.03,在售,住宅
3栋22层04,88.86,14499.44,70.05,18392.86,1288420.24,在售,住宅
3栋22层03,88.34,14445.86,69.64,18324.92,1276148.03,在售,住宅
3栋22层02,88.62,14678.01,69.85,18622.26,1300765.37,在售,住宅
3栋22层01,89.15,13428.01,70.27,17035.82,1197107.22,在售,住宅
