房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1层07,59.05,80000.00,55.27,85471.32,4724000.00,在售,商业
1层06,59.05,80000.00,55.27,85471.32,4724000.00,在售,商业
1层05,59.03,80000.00,55.25,85473.30,4722400.00,在售,商业
1层04,58.60,80000.00,54.84,85485.04,4688000.00,在售,商业
1层03,34.19,80000.00,32.00,85475.00,2735200.00,在售,商业
1层02,42.03,80000.00,39.34,85470.25,3362400.00,在售,商业
半地下室01层02,23.39,80000.00,21.81,85795.50,1871200.00,在售,商业
地下商业01层01,4689.90,80000.00,3324.49,112857.00,375192000.00,在售,商业
1栋2009,70.69,24500.00,52.85,32770.19,1731905.00,在售,住宅
1栋2008,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋2007,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋2006,70.42,24500.00,52.65,32769.04,1725290.00,在售,住宅
1栋2005,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋2004,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋2003,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋2002,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋2001,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋1909,70.69,24500.00,52.85,32770.19,1731905.00,在售,住宅
1栋1908,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1907,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋1906,70.42,24500.00,52.65,32769.04,1725290.00,在售,住宅
1栋1905,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1904,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1903,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1902,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1901,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋1809,70.69,24500.00,52.85,32770.19,1731905.00,在售,住宅
1栋1808,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1807,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋1806,70.42,24500.00,52.65,32769.04,1725290.00,在售,住宅
