房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋3205,88.45,23879.00,69.58,30356.00,2112170.00,在售,住宅
3栋3204,88.45,27457.00,69.58,34903.44,2428582.00,在售,住宅
3栋3203,88.66,27280.00,69.74,34681.70,2418702.00,在售,住宅
3栋3202,88.45,28633.00,69.58,36398.97,2532641.00,在售,住宅
3栋3201,88.45,30163.00,69.58,38343.17,2667918.00,在售,住宅
3栋3105,88.45,29104.00,69.58,36997.19,2574265.00,在售,住宅
3栋3104,88.45,27810.00,69.58,35352.11,2459800.00,在售,住宅
3栋3103,88.66,27633.00,69.74,35130.39,2449994.00,在售,住宅
3栋3102,88.45,28986.00,69.58,36847.64,2563859.00,在售,住宅
3栋3101,88.45,30515.00,69.58,38791.82,2699135.00,在售,住宅
3栋3005,88.45,29068.00,69.58,36952.32,2571143.00,在售,住宅
3栋3004,88.45,27774.00,69.58,35307.24,2456678.00,在售,住宅
3栋3003,88.66,27598.00,69.74,35085.53,2446865.00,在售,住宅
3栋3002,88.45,28951.00,69.58,36802.77,2560737.00,在售,住宅
3栋3001,88.45,30480.00,69.58,38746.95,2696013.00,在售,住宅
3栋2905,88.45,29033.00,69.58,36907.45,2568021.00,在售,住宅
3栋2904,88.45,27739.00,69.58,35262.37,2453556.00,在售,住宅
3栋2903,88.66,27563.00,69.74,35040.66,2443736.00,在售,住宅
3栋2902,88.45,28915.00,69.58,36757.90,2557615.00,在售,住宅
3栋2901,88.45,30445.00,69.58,38702.09,2692892.00,在售,住宅
3栋2805,88.45,28998.00,69.58,36862.58,2564899.00,在售,住宅
3栋2804,88.45,27704.00,69.58,35217.51,2450435.00,在售,住宅
3栋2803,88.66,27527.00,69.74,34995.79,2440607.00,在售,住宅
3栋2802,88.45,28880.00,69.58,36713.03,2554493.00,在售,住宅
3栋2801,88.45,30410.00,69.58,38657.22,2689770.00,在售,住宅
3栋2705,88.45,28963.00,69.58,36817.73,2561778.00,在售,住宅
3栋2704,88.45,27668.00,69.58,35172.65,2447313.00,在售,住宅
3栋2703,88.66,27492.00,69.74,34950.91,2437477.00,在售,住宅
3栋2702,88.45,28845.00,69.58,36668.18,2551372.00,在售,住宅
3栋2701,88.45,30374.00,69.58,38612.35,2686648.00,在售,住宅
3栋2605,88.45,28927.00,69.58,36772.86,2558656.00,在售,住宅
3栋2604,88.45,27633.00,69.58,35127.78,2444191.00,在售,住宅
3栋2603,88.66,27457.00,69.74,34906.05,2434348.00,在售,住宅
3栋2602,88.45,28810.00,69.58,36623.31,2548250.00,在售,住宅
3栋2601,88.45,30339.00,69.58,38567.49,2683526.00,在售,住宅
3栋2505,88.45,28892.00,69.58,36727.99,2555534.00,在售,住宅
3栋2504,88.45,27598.00,69.58,35082.91,2441069.00,在售,住宅
3栋2503,88.66,27421.00,69.74,34861.18,2431219.00,在售,住宅
3栋2502,88.45,28774.00,69.58,36578.44,2545128.00,在售,住宅
3栋2501,88.45,30304.00,69.58,38522.63,2680405.00,在售,住宅
3栋2405,88.45,28857.00,69.58,36683.12,2552412.00,在售,住宅
