房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋204,108.32,93352.25,105.09,96221.48,10111916.00,在售,
5栋104,61.47,128514.15,59.64,132457.49,7899765.00,在售,
5栋203,111.66,56967.92,108.33,58719.08,6361038.00,在售,
5栋103,74.85,112171.35,72.62,115615.89,8396026.00,在售,
5栋202,111.66,56967.92,108.33,58719.08,6361038.00,在售,
5栋102,74.85,112171.35,72.62,115615.89,8396026.00,在售,
5栋201,108.32,85941.72,105.09,88583.19,9309208.00,在售,
5栋101,61.47,118312.39,59.64,121942.70,7272663.00,在售,
3栋206,109.11,91499.62,106.31,93909.54,9983524.00,在售,
3栋106,61.00,126294.70,59.44,129609.30,7703977.00,在售,
3栋205,111.20,58693.64,108.32,60254.18,6526733.00,在售,
3栋105,74.54,114843.56,72.63,117863.67,8560439.00,在售,
3栋204,112.20,58274.52,108.32,60361.90,6538402.00,在售,
3栋104,74.54,115776.72,72.63,118821.38,8629997.00,在售,
3栋203,112.20,58483.70,108.32,60578.58,6561872.00,在售,
