房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋A座2单元2803,88.52,12888.99,63.44,17984.45,1140934.00,在售,住宅
2栋A座2单元2802,133.77,13879.00,95.86,19367.76,1856594.00,在售,住宅
2栋A座2单元2801,118.21,13827.00,84.71,19295.12,1634490.00,在售,住宅
2栋A座2单元2703,88.47,12844.00,63.44,17911.55,1136309.00,在售,住宅
2栋A座2单元2702,141.53,13090.99,101.48,18257.47,1852769.00,在售,住宅
2栋A座2单元2701,118.14,13781.99,84.71,19220.93,1628205.00,在售,住宅
2栋A座2单元2603,88.52,12800.00,63.44,17860.27,1133056.00,在售,住宅
2栋A座2单元2602,133.77,13789.99,95.86,19243.56,1844688.00,在售,住宅
2栋A座2单元2601,118.21,13738.00,84.71,19170.92,1623969.00,在售,住宅
2栋A座2单元2503,88.47,12755.99,63.44,17788.82,1128523.00,在售,住宅
2栋A座2单元2502,141.53,13007.00,101.48,18140.33,1840881.00,在售,住宅
2栋A座2单元2501,118.14,13692.99,84.71,19096.81,1617691.00,在售,住宅
2栋A座2单元2403,88.52,12711.00,63.44,17736.09,1125178.00,在售,住宅
2栋A座2单元2402,133.77,13701.00,95.86,19119.37,1832783.00,在售,住宅
2栋A座2单元2401,118.21,13648.99,84.71,19046.72,1613448.00,在售,住宅
2栋A座2单元2303,88.47,12666.99,63.44,17664.70,1120649.00,在售,住宅
2栋A座2单元2302,141.53,12922.99,101.48,18023.17,1828992.00,在售,住宅
2栋A座2单元2301,118.14,13604.00,84.71,18972.69,1607177.00,在售,住宅
2栋A座2单元2203,88.52,12621.99,63.44,17611.90,1117299.00,在售,住宅
2栋A座2单元2202,133.77,13611.99,95.86,18995.17,1820877.00,在售,住宅
2栋A座2单元2201,118.21,13560.00,84.71,18922.53,1602928.00,在售,住宅
2栋A座2单元2103,88.47,12578.00,63.44,17540.60,1112776.00,在售,住宅
2栋A座2单元2102,141.53,12839.00,101.48,17906.03,1817104.00,在售,住宅
2栋A座2单元2101,118.14,13515.99,84.71,18849.95,1596780.00,在售,住宅
2栋A座2单元2003,88.52,12532.99,63.44,17487.72,1109421.00,在售,住宅
2栋A座2单元2002,133.77,13523.00,95.86,18870.97,1808972.00,在售,住宅
2栋A座2单元2001,118.21,13471.00,84.71,18798.33,1592407.00,在售,住宅
2栋A座2单元1903,88.47,12489.00,63.44,17416.48,1104902.00,在售,住宅
2栋A座2单元1902,141.53,12754.00,101.48,17787.48,1805074.00,在售,住宅
2栋A座2单元1901,118.14,13427.00,84.71,18725.84,1586266.00,在售,住宅
2栋A座2单元1803,88.52,12444.00,63.44,17363.54,1101543.00,在售,住宅
2栋A座2单元1802,133.77,13433.99,95.86,18746.77,1797066.00,在售,住宅
2栋A座2单元1801,118.21,13381.99,84.71,18674.13,1581886.00,在售,住宅
2栋A座2单元1703,88.47,12400.00,63.44,17292.37,1097028.00,在售,住宅
2栋A座2单元1702,141.53,12671.00,101.48,17671.72,1793327.00,在售,住宅
