房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1622,50.14,65810.00,33.19,99418.90,3299713.00,在售,办公
1621,45.20,64960.00,29.92,98134.76,2936192.00,在售,办公
1620,45.20,64960.00,29.92,98134.76,2936192.00,在售,办公
1619,45.20,64960.00,29.92,98134.76,2936192.00,在售,办公
1618,45.20,64798.00,29.92,97890.01,2928869.00,在售,办公
1617,45.20,64798.00,29.92,97890.01,2928869.00,在售,办公
1616,45.20,64798.00,29.92,97890.01,2928869.00,在售,办公
1615,45.20,64798.00,29.92,97890.01,2928869.00,在售,办公
1614,45.20,64798.00,29.92,97890.01,2928869.00,在售,办公
1613,45.20,64798.00,29.92,97890.01,2928869.00,在售,办公
1612,45.20,64798.00,29.92,97890.01,2928869.00,在售,办公
1611,45.20,64798.00,29.92,97890.01,2928869.00,在售,办公
1610,45.20,64798.00,29.92,97890.01,2928869.00,在售,办公
1609,49.94,66215.00,33.06,100023.51,3306777.00,在售,办公
1608,44.72,56738.00,29.60,85720.38,2537323.00,在售,办公
1607,44.80,55523.00,29.65,83893.09,2487430.00,在售,办公
1606,44.39,55928.00,29.38,84501.13,2482643.00,在售,办公
1605,44.60,55928.00,29.52,84498.24,2494388.00,在售,办公
1604,44.60,55928.00,29.52,84498.24,2494388.00,在售,办公
1603,44.60,55928.00,29.52,84498.24,2494388.00,在售,办公
1602,44.60,55928.00,29.52,84498.24,2494388.00,在售,办公
1601,38.61,67309.00,25.56,101674.50,2598800.00,已签认购书,办公
1522,50.14,65610.00,33.19,99116.76,3289685.00,在售,办公
1521,45.20,64760.00,29.92,97832.63,2927152.00,在售,办公
1520,45.20,64760.00,29.92,97832.63,2927152.00,在售,办公
1519,45.20,64760.00,29.92,97832.63,2927152.00,在售,办公
1518,45.20,64598.00,29.92,97587.87,2919829.00,在售,办公
1517,45.20,64598.00,29.92,97587.87,2919829.00,在售,办公
1516,45.20,64598.00,29.92,97587.87,2919829.00,在售,办公
1515,45.20,64598.00,29.92,97587.87,2919829.00,在售,办公
1514,45.20,64598.00,29.92,97587.87,2919829.00,在售,办公
1513,45.20,64598.00,29.92,97587.87,2919829.00,在售,办公
1512,45.20,64598.00,29.92,97587.87,2919829.00,在售,办公
1511,45.20,64598.00,29.92,97587.87,2919829.00,在售,办公
1510,45.20,64598.00,29.92,97587.87,2919829.00,在售,办公
