房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
462,77.24,500000.00,40.82,946104.85,38620000.00,在售,商业
461,58.64,500000.00,30.99,946111.64,29320000.00,在售,商业
460,48.64,500000.00,25.71,945935.43,24320000.00,在售,商业
459,54.36,500000.00,28.73,946049.42,27180000.00,在售,商业
458,55.76,500000.00,29.47,946046.82,27880000.00,在售,商业
457,60.56,500000.00,32.01,945954.38,30280000.00,在售,商业
456,60.68,500000.00,32.07,946055.50,30340000.00,在售,商业
455,56.42,500000.00,29.82,946009.38,28210000.00,在售,商业
454,53.81,500000.00,28.44,946026.72,26905000.00,在售,商业
453,57.11,500000.00,30.19,945842.99,28555000.00,在售,商业
452,51.82,500000.00,27.39,945965.68,25910000.00,在售,商业
451,53.11,500000.00,28.07,946027.78,26555000.00,在售,商业
450,49.62,500000.00,26.23,945863.51,24810000.00,在售,商业
449,50.09,500000.00,26.47,946165.47,25045000.00,在售,商业
448,51.78,500000.00,27.37,945926.19,25890000.00,在售,商业
447,49.97,500000.00,26.41,946043.16,24985000.00,在售,商业
446,58.41,500000.00,30.87,946064.13,29205000.00,在售,商业
445,54.36,500000.00,28.73,946049.42,27180000.00,在售,商业
444,40.69,500000.00,21.51,945839.14,20345000.00,在售,商业
443,45.97,500000.00,24.30,945884.77,22985000.00,在售,商业
442,69.76,500000.00,36.87,946026.57,34880000.00,在售,商业
441,71.19,500000.00,37.62,946172.24,35595000.00,在售,商业
440,56.15,500000.00,29.68,945923.18,28075000.00,在售,商业
439,53.68,500000.00,28.37,946069.79,26840000.00,在售,商业
438,57.97,500000.00,30.64,945985.63,28985000.00,在售,商业
