房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
6栋26,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
6栋25,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
6栋24,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
6栋23,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
6栋22,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
6栋21,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
6栋20,70.51,25000.00,68.85,25602.00,1762750.00,在售,商业
6栋19,70.51,25000.00,68.85,25602.00,1762750.00,在售,商业
6栋18,70.51,25000.00,68.85,25602.00,1762750.00,在售,商业
6栋17,70.51,28138.00,68.85,28816.00,1983994.00,在售,商业
6栋16,70.51,28356.00,68.85,29040.00,1999370.00,在售,商业
6栋15,70.51,25000.00,68.85,25602.00,1762750.00,在售,商业
6栋14,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
6栋13,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
6栋12,70.51,25000.00,68.85,25602.00,1762750.00,在售,商业
6栋11,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
6栋10,70.51,27651.00,68.85,28318.00,1949661.00,在售,商业
6栋09,70.51,28059.00,68.85,28735.00,1978426.00,在售,商业
6栋08,70.51,28059.00,68.85,28735.00,1978426.00,在售,商业
6栋07,70.51,28059.00,68.85,28735.00,1978426.00,在售,商业
6栋06,70.51,28059.00,68.85,28735.00,1978426.00,在售,商业
6栋05,70.51,28059.00,68.85,28735.00,1978426.00,在售,商业
6栋04,70.51,28173.00,68.85,28853.00,1986512.00,在售,商业
6栋03,70.51,25000.00,68.85,25602.00,1762750.00,在售,商业
6栋02,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
6栋01,70.51,27000.00,68.85,27650.00,1903770.00,在售,商业
5栋15,70.31,27000.00,68.44,27737.00,1898370.00,在售,商业
5栋14,70.73,27000.00,68.85,27737.00,1909710.00,在售,商业
5栋13,70.73,29228.00,68.85,30026.00,2067279.00,在售,商业
5栋12,70.73,29209.00,68.85,30007.00,2065950.00,在售,商业
5栋11,70.73,29209.00,68.85,30007.00,2065950.00,在售,商业
5栋10,70.73,29209.00,68.85,30007.00,2065950.00,在售,商业
5栋09,70.73,29209.00,68.85,30007.00,2065950.00,在售,商业
5栋08,70.73,29209.00,68.85,30007.00,2065950.00,在售,商业
5栋07,70.73,29209.00,68.85,30007.00,2065950.00,在售,商业
5栋06,70.73,25000.00,68.85,25682.00,1768250.00,在售,商业
5栋05,70.73,29178.00,68.85,29975.00,2063756.00,在售,商业
5栋04,70.73,29342.00,68.85,30144.00,2075391.00,在售,商业
5栋03,70.73,29228.00,68.85,30026.00,2067279.00,在售,商业
5栋02,70.73,29194.00,68.85,29991.00,2064886.00,在售,商业
5栋01,84.87,29527.00,82.62,30331.00,2505965.00,在售,商业
4栋18,76.04,27000.00,66.78,30743.00,2053080.00,在售,商业
4栋17,73.95,27000.00,64.95,30741.00,1996650.00,在售,商业
4栋16,79.65,27000.00,69.95,30744.00,2150550.00,在售,商业
4栋15,78.39,27000.00,68.85,30741.00,2116530.00,在售,商业
4栋14,78.39,27000.00,68.85,30741.00,2116530.00,在售,商业
4栋13,78.39,27000.00,68.85,30741.00,2116530.00,在售,商业
4栋12,77.91,31596.00,68.43,35973.00,2461654.00,在售,商业
4栋11,77.92,25000.00,68.43,28467.00,1948000.00,在售,商业
4栋10,78.39,25000.00,68.85,28464.00,1959750.00,在售,商业
4栋09,78.39,25000.00,68.85,28464.00,1959750.00,在售,商业
4栋08,77.16,25000.00,67.77,28463.00,1929000.00,在售,商业
4栋07,78.39,25000.00,68.85,28464.00,1959750.00,在售,商业
4栋06,78.39,25000.00,68.85,28464.00,1959750.00,在售,商业
4栋05,78.39,25000.00,68.85,28464.00,1959750.00,在售,商业
4栋04,78.39,29197.00,68.85,33242.00,2288716.00,在售,商业
4栋03,78.39,29259.00,68.85,33313.00,2293580.00,在售,商业
4栋02,78.39,29260.00,68.85,33315.00,2293726.00,在售,商业
4栋01,79.64,28010.00,69.95,31891.00,2230743.00,在售,商业
3栋16,120.95,31535.00,102.74,37125.00,3814191.00,在售,商业
