房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋4305,149.76,67949.00,105.85,96136.00,10176042.00,在售,住宅
4栋4303,149.76,66194.00,105.85,93653.00,9913213.00,在售,住宅
4栋4302,200.26,64242.00,141.54,90893.00,12865102.00,在售,住宅
4栋4301,200.29,63312.00,141.56,89580.00,12680944.00,在售,住宅
4栋4105,148.24,51180.00,104.78,72408.21,7586933.00,在售,住宅
4栋4103,148.24,66200.00,104.78,93658.00,9813488.00,在售,住宅
4栋4102,206.16,64228.00,145.71,90873.00,13241244.00,在售,住宅
4栋4101,206.19,63298.00,145.73,89558.00,13051414.00,在售,住宅
4栋3905,148.24,67841.00,104.78,95979.00,10056749.00,在售,住宅
4栋3903,148.24,66086.00,104.78,93496.00,9796588.00,在售,住宅
4栋3902,206.16,64116.00,145.71,90715.00,13218154.00,在售,住宅
4栋3901,206.19,63187.00,145.73,89401.00,13028527.00,在售,住宅
4栋3705,148.24,67726.00,104.78,95816.00,10039702.00,在售,住宅
4栋3703,148.24,65970.00,104.78,93334.00,9779536.00,在售,住宅
4栋3702,200.73,64017.00,141.87,90578.00,12850300.00,在售,住宅
4栋3701,200.75,63087.00,141.89,89258.00,12664817.00,在售,住宅
4栋3605,89.29,49222.00,63.11,69640.96,4395041.00,在售,住宅
4栋3603,89.29,48902.00,63.11,69187.57,4366428.00,在售,住宅
4栋3602,138.36,63253.00,97.79,89496.00,8751813.00,在售,住宅
4栋3601,138.36,47501.00,97.79,67208.31,6572301.00,在售,住宅
4栋3505,89.57,49165.00,63.31,69558.12,4403725.00,在售,住宅
4栋3503,89.57,48845.00,63.31,69104.75,4375022.00,在售,住宅
4栋3502,138.95,46804.00,98.21,66219.61,6503428.00,在售,住宅
4栋3501,138.95,47445.00,98.21,67126.36,6592480.00,在售,住宅
4栋3405,89.06,49065.00,62.95,69415.52,4369707.00,在售,住宅
4栋3403,89.06,62877.00,62.95,88958.00,5599906.00,在售,住宅
4栋3402,138.36,46700.00,97.79,66074.84,6461459.00,在售,住宅
4栋3401,138.36,47341.00,97.79,66981.62,6550133.00,在售,住宅
4栋3305,89.57,49058.00,63.31,69406.99,4394157.00,在售,住宅
4栋3303,89.57,48738.00,63.31,68953.64,4365455.00,在售,住宅
4栋3302,138.95,63083.00,98.21,89252.00,8765438.00,在售,住宅
4栋3301,138.95,47338.00,98.21,66975.23,6577638.00,在售,住宅
4栋3205,89.06,49011.00,62.95,69339.96,4364951.00,在售,住宅
4栋3203,89.06,48691.00,62.95,68886.60,4336412.00,在售,住宅
4栋3202,138.36,46647.00,97.79,65999.27,6454069.00,在售,住宅
4栋3201,138.36,47288.00,97.79,66906.05,6542743.00,在售,住宅
4栋3105,89.57,48952.00,63.31,69255.88,4384590.00,在售,住宅
4栋3103,89.57,48631.00,63.31,68802.52,4355888.00,在售,住宅
4栋3102,138.95,46590.00,98.21,65917.36,6473744.00,在售,住宅
4栋3101,138.95,63122.00,98.21,89308.00,8770938.00,在售,住宅
4栋3005,89.06,48691.00,62.95,68886.60,4336412.00,在售,住宅
4栋3003,89.06,48370.00,62.95,68433.24,4307873.00,在售,住宅
4栋3002,138.36,62693.00,97.79,88703.00,8674266.00,在售,住宅
4栋3001,138.36,62848.00,97.79,88923.00,8695780.00,在售,住宅
4栋2905,89.57,48631.00,63.31,68802.52,4355888.00,在售,住宅
4栋2903,89.57,48311.00,63.31,68349.15,4327185.00,在售,住宅
4栋2902,138.95,62634.00,98.21,88617.00,8703075.00,在售,住宅
4栋2901,138.95,62789.00,98.21,88836.00,8724583.00,在售,住宅
4栋2805,89.06,48584.00,62.95,68735.48,4326899.00,在售,住宅
4栋2803,89.06,48264.00,62.95,68282.12,4298360.00,在售,住宅
4栋2802,138.36,46220.00,97.79,65394.75,6394953.00,在售,住宅
4栋2801,138.36,62737.00,97.79,88766.00,8680427.00,在售,住宅
4栋2705,89.57,48524.00,63.31,68651.39,4346320.00,在售,住宅
4栋2703,89.57,48204.00,63.31,68198.04,4317618.00,在售,住宅
4栋2702,138.95,62521.00,98.21,88457.00,8687361.00,在售,住宅
4栋2701,138.95,62678.00,98.21,88679.00,8709164.00,在售,住宅
4栋2605,88.51,48484.00,62.56,68595.60,4291341.00,在售,住宅
4栋2603,88.51,48164.00,62.56,68142.24,4262979.00,在售,住宅
4栋2602,137.59,46117.00,97.25,65246.50,6345223.00,在售,住宅
4栋2601,137.59,62631.00,97.25,88610.00,8617399.00,在售,住宅
4栋2505,89.02,48424.00,62.92,68511.41,4310738.00,在售,住宅
4栋2503,89.02,48104.00,62.92,68058.04,4282212.00,在售,住宅
4栋2502,138.18,62413.00,97.66,88310.00,8624354.00,在售,住宅
4栋2501,138.18,46701.00,97.66,66078.05,6453183.00,在售,住宅
4栋2405,88.51,48324.00,62.56,68368.90,4277159.00,在售,住宅
