房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
12号栋B单元402,227.78,27677.72,192.47,32755.40,6304433.20,在售,住宅
12号栋B单元401,227.78,27383.45,192.47,32407.14,6237404.06,在售,住宅
12号栋B单元302,150.69,25935.63,127.33,30693.79,3908240.79,在售,住宅
12号栋B单元301,150.69,25641.36,127.33,30345.53,3863896.64,在售,住宅
12号栋B单元202,150.69,25275.93,127.33,29913.06,3808830.12,在售,住宅
12号栋B单元201,150.69,24981.65,127.33,29564.79,3764485.98,在售,住宅
12号栋B单元102,147.72,42893.02,124.82,50762.36,6336158.32,在售,住宅
12号栋B单元101,147.72,42363.34,124.82,50135.50,6257913.13,在售,住宅
12号栋A单元402,227.78,27601.28,192.47,32664.93,6287020.34,在售,住宅
12号栋A单元401,227.78,28167.63,192.47,33335.18,6416023.08,在售,住宅
12号栋A单元302,150.69,25859.18,127.33,30603.32,3896721.27,在售,住宅
12号栋A单元301,150.69,26425.53,127.33,31273.57,3982063.77,在售,住宅
12号栋A单元202,150.69,25199.48,127.33,29822.59,3797310.61,在售,住宅
12号栋A单元201,150.69,25765.83,127.33,30492.83,3882653.10,在售,住宅
12号栋A单元102,147.72,42755.42,124.82,50599.51,6315831.77,在售,住宅
12号栋A单元101,147.72,43774.85,124.82,51805.97,6466422.21,在售,住宅
11号栋B单元502,226.31,28854.30,192.47,33927.45,6530017.59,在售,住宅
11号栋B单元501,226.31,28701.82,192.47,33748.17,6495510.72,在售,住宅
11号栋B单元402,149.72,27556.39,127.33,32401.97,4125743.81,在售,住宅
11号栋B单元401,149.72,27403.91,127.33,32222.68,4102914.78,在售,住宅
11号栋B单元302,149.72,27116.59,127.33,31884.83,4059896.64,在售,住宅
11号栋B单元301,149.72,26964.11,127.33,31705.54,4037067.61,在售,住宅
11号栋B单元202,149.72,26456.89,127.33,31109.13,3961125.89,在售,住宅
11号栋B单元201,149.72,26304.41,127.33,30929.84,3938296.86,在售,住宅
11号栋B单元102,146.77,45010.86,124.82,52926.17,6606245.18,在售,住宅
