房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋,1506.92,38974.00,1506.92,38974.00,58730700.00,在售,商业
1号栋61,41.52,80000.00,41.01,80994.87,3321600.00,在售,商业
1号栋60,39.26,80000.00,38.78,80990.20,3140800.00,在售,商业
1号栋59,62.98,34722.55,62.21,35152.00,2186826.00,在售,商业
1号栋58,43.48,38771.00,42.95,39250.00,1685787.00,在售,商业
1号栋57,61.28,58887.99,60.52,59627.00,3608656.00,在售,商业
1号栋56,53.03,67000.00,52.37,67844.00,3553010.00,在售,商业
1号栋55,54.35,67000.00,53.68,67836.00,3641450.00,在售,商业
1号栋54,33.10,62126.89,32.69,62906.00,2056400.00,在售,商业
1号栋53,33.21,67948.18,32.81,68776.00,2256559.00,在售,商业
1号栋52,33.83,66999.00,33.41,67842.00,2266601.00,在售,商业
1号栋51,37.96,56503.00,37.49,57212.00,2144877.00,在售,商业
1号栋50,44.44,52952.88,43.89,53616.00,2353225.00,在售,商业
1号栋49,45.94,56898.93,45.38,57601.00,2613936.00,在售,商业
1号栋48,30.78,61634.73,30.40,62405.00,1897116.00,在售,商业
1号栋47,30.07,61634.00,29.70,62402.00,1853339.00,在售,商业
1号栋46,44.07,53742.68,43.53,54409.00,2368439.00,在售,商业
1号栋45,39.46,52558.01,38.97,53218.00,2073939.00,在售,商业
1号栋44,47.86,52952.88,47.27,53613.00,2534324.00,在售,商业
1号栋43,41.78,54926.38,41.26,55618.00,2294824.00,在售,商业
1号栋42,43.05,56110.10,42.52,56809.00,2415539.00,在售,商业
1号栋41,43.14,56110.11,42.61,56808.00,2420590.00,在售,商业
1号栋40,39.75,52557.99,39.26,53213.00,2089180.00,在售,商业
1号栋39,41.86,54137.58,41.35,54805.00,2266199.00,在售,商业
1号栋38,36.48,58872.42,36.03,59607.00,2147665.00,在售,商业
1号栋37,35.07,57688.71,34.64,58404.00,2023143.00,在售,商业
1号栋36,27.13,64791.01,26.80,65588.00,1757780.00,在售,商业
1号栋35,34.39,58083.63,33.97,58801.00,1997496.00,在售,商业
1号栋34,34.67,56504.01,34.24,57213.00,1958994.00,在售,商业
1号栋33,39.31,56109.00,38.83,56803.00,2205660.00,在售,商业
1号栋32,31.93,55715.19,31.53,56422.00,1778986.00,在售,商业
1号栋31,45.92,55320.32,45.35,56015.00,2540309.00,在售,商业
1号栋30,34.77,58083.61,34.35,58793.00,2019567.00,在售,商业
1号栋29,30.63,57294.81,30.26,57995.00,1754940.00,在售,商业
1号栋28,29.78,54926.36,29.42,55598.00,1635707.00,在售,商业
1号栋27,37.94,59267.32,37.47,60010.00,2248602.00,在售,商业
1号栋26,34.71,56898.91,34.28,57612.00,1974961.00,在售,商业
1号栋25,43.85,54137.58,43.31,54812.00,2373932.00,在售,商业
1号栋24,43.05,56110.10,42.52,56809.00,2415539.00,在售,商业
1号栋23,43.06,56110.10,42.53,56809.00,2416100.00,在售,商业
1号栋22,43.06,56110.10,42.52,56822.00,2416100.00,在售,商业
1号栋21,46.50,53742.69,45.93,54409.00,2499035.00,在售,商业
1号栋20,29.23,60450.09,28.87,61203.00,1766956.00,在售,商业
1号栋19,30.75,63213.33,30.37,64004.00,1943809.00,在售,商业
1号栋18,30.81,63213.37,30.43,64002.00,1947603.00,在售,商业
1号栋17,30.62,63213.32,30.24,64007.00,1935591.00,在售,商业
1号栋16,30.74,63213.34,30.36,64004.00,1943178.00,在售,商业
1号栋15,30.75,63213.33,30.38,63983.00,1943809.00,在售,商业
1号栋14,27.18,67554.27,26.85,68384.00,1836125.00,在售,商业
1号栋13,31.30,61634.73,30.91,62412.00,1929167.00,在售,商业
1号栋12,32.39,66764.46,31.99,67599.00,2162500.00,在售,商业
1号栋11,33.21,67159.38,32.81,67978.00,2230363.00,在售,商业
1号栋10,32.98,67000.00,32.58,67822.00,2209660.00,在售,商业
1号栋09,33.21,67000.00,32.81,67816.00,2225070.00,在售,商业
1号栋08,59.65,67000.00,58.91,67841.00,3996550.00,在售,商业
1号栋07,61.28,67000.00,60.52,67841.00,4105760.00,在售,商业
1号栋06,43.27,63076.22,42.74,63858.00,2729308.00,在售,商业
1号栋05,44.98,67472.59,44.42,68323.00,3034917.00,在售,商业
1号栋04,25.81,67716.70,25.49,68566.00,1747768.00,在售,商业
1号栋03,54.95,62341.86,54.27,63122.00,3425685.00,在售,商业
1号栋02,41.00,66006.80,40.50,66821.00,2706278.00,在售,商业
1号栋01,43.03,67472.58,42.50,68314.00,2903345.00,在售,商业
9号栋B单元502,226.24,30476.88,192.47,35824.23,6895090.00,在售,住宅
9号栋B单元501,226.24,29860.82,192.47,35100.07,6755712.00,在售,住宅
9号栋B单元402,149.67,29189.11,127.33,34310.32,4368734.00,在售,住宅
9号栋B单元401,149.67,28573.05,127.33,33586.17,4276528.00,在售,住宅
9号栋B单元302,149.67,28752.67,127.33,33797.31,4303412.00,在售,住宅
9号栋B单元301,149.67,28136.61,127.33,33073.16,4211206.00,在售,住宅
9号栋B单元202,149.67,28098.00,127.33,33027.78,4205428.00,在售,住宅
9号栋B单元201,149.67,27481.94,127.33,32303.63,4113222.00,在售,住宅
9号栋B单元102,146.72,47984.41,124.82,56403.40,7040273.00,在售,住宅
9号栋B单元101,146.72,46875.50,124.82,55099.92,6877573.00,在售,住宅
9号栋A单元502,226.24,29731.12,192.47,34947.62,6726369.00,在售,住宅
9号栋A单元501,226.24,29979.71,192.47,35239.82,6782610.00,在售,住宅
9号栋A单元402,149.67,28443.35,127.33,33433.72,4257116.00,在售,住宅
