房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋C座2单元3104,88.46,42632.00,66.06,57088.00,3771260.00,在售,住宅
1栋C座2单元3103,82.76,41106.00,61.81,55038.00,3401905.00,在售,住宅
1栋C座2单元3102,82.76,40756.00,61.81,54570.00,3372970.00,在售,住宅
1栋C座2单元3101,89.04,42283.00,66.49,56623.00,3764856.00,在售,住宅
1栋C座2单元3004,88.46,42632.00,66.06,57088.00,3771260.00,在售,住宅
1栋C座2单元3003,82.76,41106.00,61.81,55038.00,3401905.00,在售,住宅
1栋C座2单元3002,82.76,40756.00,61.81,54570.00,3372970.00,在售,住宅
1栋C座2单元3001,89.04,42283.00,66.49,56623.00,3764856.00,在售,住宅
1栋C座2单元2904,88.46,42621.00,66.06,57073.00,3770229.00,在售,住宅
1栋C座2单元2903,82.76,41094.00,61.81,55022.00,3400940.00,在售,住宅
1栋C座2单元2902,82.76,40744.00,61.81,54554.00,3372005.00,在售,住宅
1栋C座2单元2901,89.04,42271.00,66.49,56607.00,3763818.00,在售,住宅
1栋C座2单元2804,88.46,42609.00,66.06,57057.00,3769198.00,在售,住宅
1栋C座2单元2803,82.76,41082.00,61.81,55007.00,3399976.00,在售,住宅
1栋C座2单元2802,82.76,40733.00,61.81,54539.00,3371041.00,在售,住宅
