房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
6栋3102,177.68,58878.26,141.09,74147.63,10461489.00,在售,住宅
6栋3101,177.68,58957.43,141.09,74247.33,10475556.00,在售,住宅
6栋3002,177.68,58959.55,141.09,74250.00,10475932.00,在售,住宅
6栋2902,177.68,58878.26,141.09,74147.63,10461489.00,在售,住宅
6栋2901,177.68,58957.43,141.09,74247.33,10475556.00,在售,住宅
6栋2802,177.68,58796.97,141.09,74045.26,10447046.00,在售,住宅
6栋2801,177.68,58876.15,141.09,74144.97,10461114.00,在售,住宅
6栋2702,177.68,58715.69,141.09,73942.89,10432603.00,在售,住宅
6栋2701,177.68,58794.86,141.09,74042.60,10446671.00,在售,住宅
6栋2602,177.68,58065.40,141.09,73123.97,10317061.00,在售,住宅
6栋2601,177.68,58144.58,141.09,73223.68,10331129.00,在售,住宅
6栋2502,177.68,58553.12,141.09,73738.17,10403718.00,在售,住宅
6栋2501,177.68,58632.29,141.09,73837.88,10417786.00,在售,住宅
6栋2402,177.68,58471.83,141.09,73635.80,10389275.00,在售,住宅
6栋2401,177.68,58551.00,141.09,73735.50,10403342.00,在售,住宅
6栋2302,177.68,58390.55,141.09,73533.44,10374833.00,在售,住宅
6栋2301,177.68,58469.72,141.09,73633.14,10388900.00,在售,住宅
6栋2202,177.68,57740.27,141.09,72714.52,10259291.00,在售,住宅
6栋2201,177.68,57819.44,141.09,72814.22,10273358.00,在售,住宅
6栋2102,177.68,58227.98,141.09,73328.71,10345947.00,在售,住宅
6栋2101,177.68,58307.15,141.09,73428.41,10360014.00,在售,住宅
6栋2002,177.68,58146.70,141.09,73226.34,10331505.00,在售,住宅
6栋2001,177.68,58225.87,141.09,73326.05,10345572.00,在售,住宅
6栋1902,177.68,57130.63,141.09,71946.77,10150970.00,在售,住宅
6栋1901,177.68,57209.80,141.09,72046.48,10165038.00,在售,住宅
6栋1802,177.68,56510.83,141.09,71166.23,10040844.00,在售,住宅
6栋1801,177.68,56590.00,141.09,71265.94,10054912.00,在售,住宅
6栋1702,177.68,57029.02,141.09,71818.82,10132917.00,在售,住宅
6栋1701,177.68,57108.19,141.09,71918.52,10146984.00,在售,住宅
6栋1602,177.68,56978.22,141.09,71754.84,10123890.00,在售,住宅
6栋1601,177.68,57057.40,141.09,71854.55,10137958.00,在售,住宅
6栋1502,177.68,56927.41,141.09,71690.86,10114863.00,在售,住宅
6栋1501,177.68,57006.59,141.09,71790.57,10128931.00,在售,住宅
6栋1402,177.68,56307.61,141.09,70910.32,10004737.00,在售,住宅
6栋1401,177.68,56386.79,141.09,71010.03,10018805.00,在售,住宅
6栋1302,177.68,56825.81,141.09,71562.90,10096810.00,在售,住宅
6栋1301,177.68,56904.98,141.09,71662.61,10110877.00,在售,住宅
6栋1202,177.68,56775.01,141.09,71498.92,10087783.00,在售,住宅
6栋1201,177.68,56854.18,141.09,71598.63,10101851.00,在售,住宅
6栋1102,177.68,56724.21,141.09,71434.95,10078757.00,在售,住宅
6栋1101,177.68,56803.38,141.09,71534.65,10092824.00,在售,住宅
6栋1002,177.68,56104.41,141.09,70654.41,9968631.00,在售,住宅
6栋1001,177.68,56183.58,141.09,70754.11,9982698.00,在售,住宅
6栋902,177.68,56266.97,141.09,70859.14,9997516.00,在售,住宅
6栋901,177.68,56346.15,141.09,70958.85,10011584.00,在售,住宅
6栋802,177.68,56236.49,141.09,70820.75,9992100.00,在售,住宅
6栋801,177.68,56315.66,141.09,70920.46,10006167.00,在售,住宅
6栋702,177.68,56206.01,141.09,70782.37,9986684.00,在售,住宅
6栋701,177.68,56285.18,141.09,70882.07,10000751.00,在售,住宅
6栋602,177.56,56175.53,140.99,70746.34,9974527.00,在售,住宅
6栋601,177.56,56254.70,140.99,70846.05,9988585.00,在售,住宅
6栋502,177.56,56145.04,140.99,70707.95,9969114.00,在售,住宅
6栋501,177.56,56224.22,140.99,70807.66,9983172.00,在售,住宅
6栋402,177.56,56114.56,140.99,70669.57,9963702.00,在售,住宅
6栋401,177.56,56193.74,140.99,70769.27,9977760.00,在售,住宅
6栋302,177.56,56084.08,140.99,70631.17,9958289.00,在售,住宅
6栋301,177.56,56163.25,140.99,70730.88,9972347.00,在售,住宅
6栋202,177.56,56053.60,140.99,70592.79,9952877.00,在售,住宅
6栋201,177.56,56132.77,140.99,70692.50,9966935.00,在售,住宅
5栋B单元1902,178.94,56495.13,141.28,71554.63,10109238.00,在售,住宅
5栋B单元1901,178.94,56310.39,141.28,71320.65,10076181.00,在售,住宅
5栋B单元1802,178.94,56545.93,141.28,71618.97,10118328.00,在售,住宅
5栋B单元1801,178.94,56361.19,141.28,71384.99,10085272.00,在售,住宅
5栋B单元1702,178.94,56495.13,141.28,71554.63,10109238.00,在售,住宅
5栋B单元1701,178.94,56310.39,141.28,71320.65,10076181.00,在售,住宅
