房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋L座31C,119.96,88626.45,92.50,114936.00,10631628.00,在售,住宅
1栋L座30C,119.96,51818.20,92.50,67201.00,6216111.00,在售,住宅
1栋L座29C,119.96,38673.00,92.50,50153.65,4639213.08,在售,住宅
1栋L座28C,119.96,51762.21,92.50,67128.00,6209394.00,在售,住宅
1栋L座27C,119.96,38633.00,92.50,50101.78,4634414.68,在售,住宅
1栋L座26C,119.96,51706.21,92.50,67055.00,6202676.00,在售,住宅
1栋L座25C,119.96,54030.21,92.50,70069.00,6481463.00,在售,住宅
1栋L座24C,119.96,51650.20,92.50,66983.00,6195957.00,在售,住宅
1栋L座23C,119.96,53974.20,92.50,69997.00,6474745.00,在售,住宅
1栋L座22C,119.96,51524.20,92.50,66819.00,6180843.00,在售,住宅
1栋L座21C,119.96,53904.20,92.50,69906.00,6466347.00,在售,住宅
1栋L座20C,119.96,51454.20,92.50,66729.00,6172445.00,在售,住宅
1栋L座19C,119.96,38453.00,92.50,49868.34,4612821.88,在售,住宅
1栋L座18C,119.96,51384.20,92.50,66638.00,6164048.00,在售,住宅
1栋L座17C,119.96,38403.00,92.50,49803.50,4606823.88,在售,住宅
1栋L座16C,119.96,36653.00,92.50,47533.98,4396893.88,在售,住宅
1栋L座15C,119.96,38353.00,92.50,49738.65,4600825.88,在售,住宅
1栋L座14C,119.96,51244.20,92.50,66456.00,6147254.00,在售,住宅
1栋L座13C,119.96,38303.00,92.50,49673.81,4594827.88,在售,住宅
1栋L座12C,119.96,51174.20,92.50,66366.00,6138857.00,在售,住宅
1栋L座11C,119.96,38253.00,92.50,49608.97,4588829.88,在售,住宅
1栋L座10C,119.96,51090.20,92.50,66257.00,6128780.00,在售,住宅
1栋L座9C,119.96,38193.00,92.50,49531.15,4581632.28,在售,住宅
1栋L座8C,119.96,51006.20,92.50,66148.00,6118703.00,在售,住宅
1栋L座7C,119.96,38133.00,92.50,49453.34,4574434.68,在售,住宅
1栋L座6C,119.96,50922.20,92.50,66039.00,6108627.00,在售,住宅
1栋L座5C,119.96,38073.00,92.50,49375.53,4567237.08,在售,住宅
1栋L座4C,119.96,50838.20,92.50,65930.00,6098550.00,在售,住宅
1栋L座3C,119.96,38013.00,92.50,49297.72,4560039.48,在售,住宅
