房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
14栋B座3406,89.14,42535.80,71.17,53275.84,3791642.00,在售,住宅
14栋B座3405,89.06,41341.84,71.11,51777.59,3681905.00,在售,住宅
14栋B座3404,89.06,41396.11,71.11,51845.56,3686738.00,在售,住宅
14栋B座3403,89.31,41179.02,71.30,51580.63,3677699.00,在售,住宅
14栋B座3402,89.06,43078.52,71.11,53952.65,3836573.00,在售,住宅
14栋B座3401,89.06,43132.78,71.10,54028.21,3841406.00,在售,住宅
14栋B座3306,89.14,42495.80,71.17,53225.74,3788076.00,在售,住宅
14栋B座3305,89.06,41301.84,71.11,51727.49,3678342.00,在售,住宅
14栋B座3304,89.06,41356.11,71.11,51795.47,3683176.00,在售,住宅
14栋B座3303,89.31,41139.03,71.30,51530.53,3674127.00,在售,住宅
14栋B座3302,89.06,43038.51,71.11,53902.54,3833010.00,在售,住宅
14栋B座3301,89.06,43092.79,71.10,53978.11,3837844.00,在售,住宅
14栋B座3206,89.14,42455.81,71.17,53175.64,3784511.00,在售,住宅
14栋B座3205,89.06,41261.84,71.11,51677.40,3674780.00,在售,住宅
14栋B座3204,89.06,41316.11,71.11,51745.36,3679613.00,在售,住宅
14栋B座3203,89.31,41099.02,71.30,51480.42,3670554.00,在售,住宅
14栋B座3202,89.06,42998.51,71.11,53852.45,3829448.00,在售,住宅
14栋B座3201,89.06,43052.78,71.10,53928.00,3834281.00,在售,住宅
14栋B座3106,89.14,42415.80,71.17,53125.54,3780945.00,在售,住宅
14栋B座3105,89.06,41221.83,71.11,51627.29,3671217.00,在售,住宅
14栋B座3104,89.06,41276.11,71.11,51695.27,3676051.00,在售,住宅
14栋B座3103,89.31,41059.03,71.30,51430.32,3666982.00,在售,住宅
14栋B座3102,89.06,42958.51,71.11,53802.34,3825885.00,在售,住宅
14栋B座3101,89.06,43012.78,71.10,53877.90,3830719.00,在售,住宅
14栋B座3006,89.14,42375.80,71.17,53075.43,3777379.00,在售,住宅
14栋B座3005,89.06,41181.84,71.11,51577.20,3667655.00,在售,住宅
14栋B座3004,89.06,41236.11,71.11,51645.16,3672488.00,在售,住宅
14栋B座3003,89.31,41019.03,71.30,51380.22,3663410.00,在售,住宅
14栋B座3002,89.06,42918.51,71.11,53752.25,3822323.00,在售,住宅
14栋B座3001,89.06,42972.78,71.10,53827.79,3827156.00,在售,住宅
14栋B座2906,89.14,42335.80,71.17,53025.34,3773814.00,在售,住宅
14栋B座2905,89.06,41141.84,71.11,51527.11,3664093.00,在售,住宅
14栋B座2904,89.06,41196.11,71.11,51595.07,3668926.00,在售,住宅
14栋B座2903,89.31,40979.02,71.30,51330.11,3659837.00,在售,住宅
14栋B座2902,89.06,42878.52,71.11,53702.16,3818761.00,在售,住宅
14栋B座2901,89.06,42932.78,71.10,53777.69,3823594.00,在售,住宅
14栋B座2806,89.14,42295.80,71.17,52975.24,3770248.00,在售,住宅
14栋B座2805,89.06,41101.84,71.11,51477.00,3660530.00,在售,住宅
14栋B座2804,89.06,41156.11,71.11,51544.98,3665364.00,在售,住宅
14栋B座2803,89.31,40939.03,71.30,51280.01,3656265.00,在售,住宅
14栋B座2802,89.06,42838.51,71.11,53652.06,3815198.00,在售,住宅
14栋B座2801,89.06,42892.79,71.10,53727.59,3820032.00,在售,住宅
14栋B座2706,89.14,42255.81,71.17,52925.15,3766683.00,在售,住宅
14栋B座2705,89.06,41061.84,71.11,51426.91,3656968.00,在售,住宅
14栋B座2704,89.06,41116.11,71.11,51494.88,3661801.00,在售,住宅
14栋B座2703,89.31,40899.02,71.30,51229.90,3652692.00,在售,住宅
14栋B座2702,89.06,42798.51,71.11,53601.96,3811636.00,在售,住宅
14栋B座2701,89.06,42852.78,71.10,53677.48,3816469.00,在售,住宅
14栋B座2606,89.14,42215.80,71.17,52875.04,3763117.00,在售,住宅
14栋B座2605,89.06,41021.83,71.11,51376.81,3653405.00,在售,住宅
14栋B座2604,89.06,41076.11,71.11,51444.78,3658239.00,在售,住宅
14栋B座2603,89.31,40859.03,71.30,51179.80,3649120.00,在售,住宅
14栋B座2602,89.06,42758.51,71.11,53551.86,3808073.00,在售,住宅
14栋B座2601,89.06,42812.78,71.10,53627.38,3812907.00,在售,住宅
14栋B座2506,89.14,42175.80,71.17,52824.94,3759551.00,在售,住宅
14栋B座2505,89.06,40981.84,71.11,51326.71,3649843.00,在售,住宅
14栋B座2504,89.06,41036.11,71.11,51394.68,3654676.00,在售,住宅
14栋B座2503,89.31,40819.03,71.30,51129.70,3645548.00,在售,住宅
14栋B座2502,89.06,42718.51,71.11,53501.77,3804511.00,在售,住宅
14栋B座2501,89.06,42772.78,71.10,53577.27,3809344.00,在售,住宅
14栋B座2406,89.14,42135.80,71.17,52774.84,3755986.00,在售,住宅
14栋B座2405,89.06,40941.84,71.11,51276.62,3646281.00,在售,住宅
14栋B座2404,89.06,40996.11,71.11,51344.59,3651114.00,在售,住宅
14栋B座2403,89.31,40779.02,71.30,51079.59,3641975.00,在售,住宅
14栋B座2402,89.06,42678.52,71.11,53451.68,3800949.00,在售,住宅
14栋B座2401,89.06,42732.78,71.10,53527.17,3805782.00,在售,住宅
14栋B座2306,89.14,42095.80,71.17,52724.74,3752420.00,在售,住宅
14栋B座2305,89.06,40901.84,71.11,51226.52,3642718.00,在售,住宅
14栋B座2304,89.06,40956.11,71.11,51294.50,3647552.00,在售,住宅
14栋B座2303,89.31,40739.03,71.30,51029.49,3638403.00,在售,住宅
14栋B座2302,89.06,42638.51,71.11,53401.57,3797386.00,在售,住宅
14栋B座2301,89.06,42692.79,71.10,53477.07,3802220.00,在售,住宅
14栋B座2206,89.14,42055.81,71.17,52674.65,3748855.00,在售,住宅
14栋B座2205,89.06,40861.84,71.11,51176.43,3639156.00,在售,住宅
14栋B座2204,89.06,40916.11,71.11,51244.39,3643989.00,在售,住宅
14栋B座2203,89.31,40699.02,71.30,50979.38,3634830.00,在售,住宅
14栋B座2202,89.06,42598.51,71.11,53351.48,3793824.00,在售,住宅
14栋B座2201,89.06,42652.78,71.10,53426.96,3798657.00,在售,住宅
14栋B座2106,89.14,42015.80,71.17,52624.54,3745289.00,在售,住宅
14栋B座2105,89.06,40821.83,71.11,51126.32,3635593.00,在售,住宅
14栋B座2104,89.06,40876.11,71.11,51194.30,3640427.00,在售,住宅
14栋B座2103,89.31,40659.03,71.30,50929.28,3631258.00,在售,住宅
14栋B座2102,89.06,42558.51,71.11,53301.37,3790261.00,在售,住宅
14栋B座2101,89.06,42612.78,71.10,53376.86,3795095.00,在售,住宅
14栋B座2006,89.14,41965.80,71.17,52561.92,3740832.00,在售,住宅
14栋B座2005,89.06,40771.83,71.11,51063.70,3631140.00,在售,住宅
14栋B座2004,89.06,40826.11,71.11,51131.68,3635974.00,在售,住宅
14栋B座2003,89.31,40609.03,71.30,50866.66,3626793.00,在售,住宅
14栋B座2002,89.06,42508.51,71.11,53238.75,3785808.00,在售,住宅
14栋B座2001,89.06,42562.78,71.10,53314.23,3790642.00,在售,住宅
14栋B座1906,89.14,41915.80,71.17,52499.29,3736375.00,在售,住宅
14栋B座1905,89.06,40721.83,71.11,51001.08,3626687.00,在售,住宅
14栋B座1904,89.06,40776.11,71.11,51069.06,3631521.00,在售,住宅
14栋B座1903,89.31,40559.03,71.30,50804.02,3622327.00,在售,住宅
14栋B座1902,89.06,42458.51,71.11,53176.13,3781355.00,在售,住宅
