房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
商业02B35,39.34,62400.00,34.60,70948.44,2454816.00,在售,商铺
商业02B33a,59.13,61093.23,52.00,69470.06,3612443.00,在售,商铺
商业02B33,59.13,61755.62,52.00,70223.27,3651610.00,在售,商铺
商业02B32,58.33,57432.72,51.30,65303.14,3350051.00,在售,商铺
商业02B31,65.72,59260.46,57.80,67380.59,3894598.00,在售,商铺
商业02B30,66.52,59260.44,58.50,67384.70,3942005.00,在售,商铺
商业02B29,53.67,63997.55,47.21,72754.69,3434749.00,在售,商铺
商业02B28,53.05,65997.45,46.66,75035.68,3501165.00,在售,商铺
商业02B27,62.38,64500.00,54.86,73341.41,4023510.00,在售,商铺
商业02B26,49.58,72129.30,43.60,82022.27,3576171.00,在售,商铺
商业02B25,49.09,75500.00,43.17,85853.49,3706295.00,在售,商铺
商业02B23a,48.65,70607.27,42.79,80276.79,3435044.00,在售,商铺
商业02B23,50.37,66901.92,44.30,76068.85,3369850.00,在售,商铺
商业02B22,51.04,62218.78,44.89,70742.86,3175647.00,在售,商铺
商业02B21,51.66,64198.81,45.43,73002.66,3316511.00,在售,商铺
商业02B20,54.57,61800.00,47.99,70273.52,3372426.00,在售,商铺
商业02B19,53.22,67800.00,46.80,77100.77,3608316.00,在售,商铺
商业02B18,53.95,69300.00,47.45,78793.15,3738735.00,在售,商铺
商业02B17,55.92,69300.00,49.18,78797.40,3875256.00,在售,商铺
商业02B16,55.65,68600.00,48.94,78005.52,3817590.00,在售,商铺
商业02B15,48.93,57000.00,43.03,64815.48,2789010.00,在售,商铺
商业02B13a,46.71,69300.00,41.08,78797.54,3237003.00,在售,商铺
商业02B13,62.02,59224.47,54.55,67334.59,3673102.00,在售,商铺
商业02B12,55.92,65900.00,49.18,74931.44,3685128.00,在售,商铺
商业02B11,55.92,57514.05,49.18,65396.22,3216186.00,在售,商铺
商业02B10,51.20,64500.00,45.03,73337.77,3302400.00,在售,商铺
商业02B09,51.77,62100.00,45.53,70610.96,3214917.00,在售,商铺
商业02B08,52.36,69400.00,46.05,78909.53,3633784.00,在售,商铺
商业02B07,55.13,62000.00,48.49,70490.00,3418060.00,在售,商铺
商业02B06,44.30,72800.00,38.96,82778.23,3225040.00,在售,商铺
商业02B05,45.28,78259.49,39.82,88990.21,3543590.00,在售,商铺
商业02B03a,50.35,69000.00,44.28,78458.67,3474150.00,在售,商铺
商业02B03,44.44,72800.00,39.09,82763.67,3235232.00,在售,商铺
商业02B02,56.25,70700.00,49.47,80389.63,3976875.00,在售,商铺
商业02B01,78.15,65600.00,68.73,74591.01,5126640.00,在售,商铺
商业01B33,61.46,127839.99,54.05,145366.25,7857046.00,在售,商铺
商业01B32,76.75,119520.00,67.50,135898.67,9173160.00,在售,商铺
商业01B31,68.23,123027.65,60.01,139879.64,8394177.00,在售,商铺
商业01B30,67.60,128153.80,59.46,145697.90,8663197.00,在售,商铺
商业01B29,59.08,133780.09,51.96,152111.78,7903728.00,在售,商铺
商业01B28,61.63,125028.10,54.20,142167.56,7705482.00,在售,商铺
商业01B27,59.28,135679.99,52.13,154289.47,8043110.00,在售,商铺
商业01B26,35.35,160000.00,31.09,181923.44,5656000.00,在售,商铺
商业01B25,60.69,127774.90,53.38,145272.74,7754659.00,在售,商铺
商业01B23a,64.20,131018.58,56.46,148979.68,8411393.00,在售,商铺
商业01B23,65.05,132480.00,57.21,150634.92,8617824.00,在售,商铺
商业01B22,65.66,135760.00,57.75,154355.01,8914002.00,在售,商铺
商业01B21,47.89,133920.00,42.12,152265.65,6413429.00,在售,商铺
商业01B20,49.25,119360.00,43.31,135730.32,5878480.00,在售,商铺
商业01B19,49.25,114400.00,43.31,130090.05,5634200.00,在售,商铺
商业01B18,41.24,116320.00,36.27,132259.08,4797037.00,在售,商铺
商业01B17,41.98,128639.99,36.92,146270.50,5400307.00,在售,商铺
商业01B16,43.65,131040.00,38.39,148994.43,5719896.00,在售,商铺
商业01B15,43.65,132000.00,38.39,150085.96,5761800.00,在售,商铺
商业01B13a,57.66,132480.00,50.71,150636.90,7638797.00,在售,商铺
商业01B13,64.85,168960.00,57.03,192127.93,10957056.00,在售,商铺
商业01B12,70.92,135800.00,62.38,154391.41,9630936.00,在售,商铺
商业01B11,62.52,133689.47,54.99,151996.11,8358266.00,在售,商铺
商业01B10,62.52,132004.30,54.99,150080.18,8252909.00,�024580.00,在售,商铺
