房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
G座31F,86.04,43852.00,64.75,58270.53,3773017.00,在售,住宅
G座31E,67.41,41374.00,50.73,54977.27,2788997.00,在售,住宅
G座31D,86.94,41982.00,65.43,55783.95,3649944.00,在售,住宅
G座31C,86.94,43374.00,65.43,57633.33,3770949.00,在售,住宅
G座31B,67.41,43103.00,50.73,57275.32,2905577.00,在售,住宅
G座30F,86.04,43875.00,64.75,58301.81,3775042.00,在售,住宅
G座30E,67.41,41397.00,50.73,55008.54,2790583.00,在售,住宅
G座30D,86.94,42006.00,65.43,55815.22,3651990.00,在售,住宅
G座30C,86.94,43398.00,65.43,57664.59,3772994.00,在售,住宅
G座30B,67.41,43127.00,50.73,57306.58,2907163.00,在售,住宅
