房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋C座2单元31D,88.28,42028.00,66.88,55476.00,3710232.00,在售,住宅
2栋C座2单元31C,70.97,43884.00,53.77,57922.00,3114447.00,在售,住宅
2栋C座2单元31B,117.26,39172.00,88.84,51703.00,4593309.00,在售,住宅
2栋C座2单元31A,116.10,39772.00,87.96,52496.00,4617529.00,在售,住宅
2栋C座2单元30D,88.28,42378.00,66.88,55938.00,3741130.00,在售,住宅
2栋C座2单元30C,70.97,44234.00,53.77,58384.00,3139287.00,在售,住宅
2栋C座2单元30B,117.26,39522.00,88.84,52165.00,4634350.00,在售,住宅
2栋C座2单元30A,116.10,40122.00,87.96,52958.00,4658164.00,在售,住宅
2栋C座2单元29D,88.28,42378.00,66.88,55938.00,3741130.00,在售,住宅
2栋C座2单元29C,70.97,44234.00,53.77,58384.00,3139287.00,在售,住宅
2栋C座2单元29B,117.26,39522.00,88.84,52165.00,4634350.00,在售,住宅
2栋C座2单元29A,116.10,40122.00,87.96,52958.00,4658164.00,在售,住宅
2栋C座2单元28D,88.28,42378.00,66.88,55938.00,3741130.00,在售,住宅
2栋C座2单元28C,70.97,44234.00,53.77,58384.00,3139287.00,在售,住宅
2栋C座2单元28B,117.26,39522.00,88.84,52165.00,4634350.00,在售,住宅
2栋C座2单元28A,116.10,40122.00,87.96,52958.00,4658164.00,在售,住宅
2栋C座2单元27D,88.28,42378.00,66.88,55938.00,3741130.00,在售,住宅
2栋C座2单元27C,70.97,44234.00,53.77,58384.00,3139287.00,在售,住宅
2栋C座2单元27B,117.26,39522.00,88.84,52165.00,4634350.00,在售,住宅
2栋C座2单元27A,116.10,40122.00,87.96,52958.00,4658164.00,在售,住宅
2栋C座2单元26D,88.28,42378.00,66.88,55938.00,3741130.00,在售,住宅
2栋C座2单元26C,70.97,44234.00,53.77,58384.00,3139287.00,在售,住宅
2栋C座2单元26B,117.26,39522.00,88.84,52165.00,4634350.00,在售,住宅
2栋C座2单元26A,116.10,40122.00,87.96,52958.00,4658164.00,在售,住宅
2栋C座2单元25D,88.28,42378.00,66.88,55938.00,3741130.00,在售,住宅
2栋C座2单元25C,70.97,44234.00,53.77,58384.00,3139287.00,在售,住宅
2栋C座2单元25B,117.26,39522.00,88.84,52165.00,4634350.00,在售,住宅
2栋C座2单元25A,116.10,40122.00,87.96,52958.00,4658164.00,在售,住宅
2栋C座2单元24D,88.28,42378.00,66.88,55938.00,3741130.00,在售,住宅
2栋C座2单元24C,70.97,44234.00,53.77,58384.00,3139287.00,在售,住宅
2栋C座2单元24B,117.26,39522.00,88.84,52165.00,4634350.00,在售,住宅
2栋C座2单元24A,116.10,40122.00,87.96,52958.00,4658164.00,在售,住宅
2栋C座2单元23D,88.28,42378.00,66.88,55938.00,3741130.00,在售,住宅
2栋C座2单元23C,70.97,44234.00,53.77,58384.00,3139287.00,在售,住宅
2栋C座2单元23B,117.26,39522.00,88.84,52165.00,4634350.00,在售,住宅
2栋C座2单元23A,116.10,40122.00,87.96,52958.00,4658164.00,在售,住宅
2栋C座2单元04D,88.28,42328.00,66.88,55872.00,3736716.00,在售,住宅
2栋C座2单元04A,116.10,40072.00,87.96,52892.00,4652359.00,在售,住宅
2栋C座2单元03D,88.28,42328.00,66.88,55872.00,3736716.00,在售,住宅
2栋C座2单元03B,117.10,39472.00,88.72,52098.00,4622171.00,在售,住宅
2栋C座2单元03A,115.87,40072.00,87.78,52895.00,4643143.00,在售,住宅
2栋C座1单元31D,87.48,42028.00,66.88,54973.00,3676609.00,在售,住宅
2栋C座1单元31C,87.48,42028.00,66.88,54973.00,3676609.00,在售,住宅
2栋C座1单元31B,115.05,39972.00,87.96,52283.00,4598779.00,在售,住宅
2栋C座1单元31A,115.05,38972.00,87.96,50975.00,4483729.00,在售,住宅
2栋C座1单元30D,87.48,42378.00,66.88,55431.00,3707227.00,在售,住宅
2栋C座1单元30C,87.48,42378.00,66.88,55431.00,3707227.00,在售,住宅
2栋C座1单元30B,115.05,40322.00,87.96,52740.00,4639046.00,在售,住宅
2栋C座1单元30A,115.05,39322.00,87.96,51432.00,4523996.00,在售,住宅
2栋C座1单元29D,87.48,42378.00,66.88,55431.00,3707227.00,在售,住宅
2栋C座1单元29C,87.48,42378.00,66.88,55431.00,3707227.00,在售,住宅
2栋C座1单元29B,115.05,40322.00,87.96,52740.00,4639046.00,在售,住宅
2栋C座1单元29A,115.05,39322.00,87.96,51432.00,4523996.00,在售,住宅
2栋C座1单元28D,87.48,42378.00,66.88,55431.00,3707227.00,在售,住宅
2栋C座1单元28C,87.48,42378.00,66.88,55431.00,3707227.00,在售,住宅
