房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
12栋02,214.64,110510.62,205.90,115201.55,23720000.00,在售,公寓
12栋01,214.64,105618.71,205.90,110101.99,22670000.00,在售,公寓
11栋05,192.09,133114.69,180.73,141481.77,25570000.00,在售,公寓
11栋04,199.03,125810.18,187.27,133710.69,25040000.00,在售,公寓
11栋03,199.03,113852.18,187.27,121001.76,22660000.00,在售,公寓
11栋02,199.03,112897.55,187.27,119987.18,22470000.00,在售,公寓
11栋01,203.56,117115.35,191.53,124471.36,23840000.00,在售,公寓
10栋02,216.00,97592.59,205.91,102374.82,21080000.00,在售,公寓
10栋01,216.00,102546.30,205.91,107571.27,22150000.00,在售,公寓
9栋03,599.64,255676.00,574.68,266780.74,153313556.00,在售,公寓
9栋02,315.32,208740.33,315.32,208740.33,65820000.00,在售,公寓
9栋01,315.32,215400.23,315.32,215400.23,67920000.00,在售,公寓
8栋02,216.00,115740.74,205.91,121412.27,25000000.00,在售,公寓
8栋01,216.00,130231.48,205.91,136613.08,28130000.00,在售,公寓
7栋03,599.64,265676.07,574.68,277215.15,159310000.00,在售,公寓
7栋02,315.32,202904.99,302.20,211714.10,63980000.00,在售,公寓
7栋01,315.32,209564.89,302.20,218663.14,66080000.00,在售,公寓
6栋03,222.65,126656.19,212.63,132624.75,28200000.00,在售,公寓
6栋02,222.65,121940.26,212.63,127686.59,27150000.00,在售,公寓
6栋01,215.61,124855.06,205.91,130736.73,26920000.00,在售,公寓
5栋04,319.81,209593.20,306.88,218424.14,67030000.00,在售,公寓
5栋03,314.93,202997.49,302.20,211548.64,63930000.00,在售,公寓
5栋02,314.93,202997.49,302.20,211548.64,63930000.00,在售,公寓
5栋01,336.66,235311.59,323.06,245217.61,79220000.00,在售,公寓
4栋03,222.78,123260.62,212.63,129144.52,27460000.00,在售,公寓
4栋02,222.78,114642.25,212.63,120114.75,25540000.00,在售,公寓
4栋01,196.21,122572.75,187.27,128424.20,24050000.00,在售,公寓
3栋03,192.86,205796.95,181.51,218665.64,39690000.00,在售,公寓
3栋02,198.97,185254.06,187.27,196828.11,36860000.00,在售,公寓
3栋01,203.50,189926.29,191.53,201796.06,38650000.00,在售,公寓
2栋1102,131.83,68740.04,95.04,95349.33,9062000.00,在售,公寓
2栋1101,202.06,68964.66,145.67,95661.43,13935000.00,在售,公寓
2栋1003,131.83,71925.96,95.04,99768.52,9482000.00,在售,公寓
2栋1002,72.99,70872.72,52.62,98308.63,5173000.00,在售,公寓
2栋1001,129.07,72108.15,93.05,100021.49,9307000.00,在售,公寓
2栋903,131.83,70962.60,95.04,98432.24,9355000.00,在售,公寓
2栋902,72.99,69899.98,52.62,96959.33,5102000.00,在售,公寓
2栋901,129.07,71139.69,93.05,98678.13,9182000.00,在售,公寓
2栋803,131.83,69999.24,95.04,97095.96,9228000.00,在售,公寓
2栋802,72.99,68940.95,52.62,95629.04,5032000.00,在售,公寓
2栋801,129.07,70178.97,93.05,97345.51,9058000.00,在售,公寓
2栋703,131.83,69035.87,95.04,95759.68,9101000.00,在售,公寓
2栋702,72.99,67981.91,52.62,94298.75,4962000.00,在售,公寓
2栋701,129.07,69210.50,93.05,96002.15,8933000.00,在售,公寓
2栋603,131.83,68072.51,95.04,94423.40,8974000.00,在售,公寓
2栋602,72.99,67009.17,52.62,92949.45,4891000.00,在售,公寓
2栋601,129.07,67653.21,93.05,93842.02,8732000.00,在售,公寓
2栋503,131.83,66532.65,95.04,92287.46,8771000.00,在售,公寓
2栋502,72.99,65474.72,52.62,90820.98,4779000.00,在售,公寓
2栋501,129.07,65816.99,93.05,91295.00,8495000.00,在售,公寓
2栋403,131.83,63923.23,95.04,88667.93,8427000.00,在售,公寓
2栋402,72.99,62857.92,52.62,87191.18,4588000.00,在售,公寓
2栋401,129.07,63027.81,93.05,87426.11,8135000.00,在售,公寓
2栋303,131.83,60479.40,95.04,83890.99,7973000.00,在售,公寓
2栋302,72.99,61802.98,52.62,85727.86,4511000.00,在售,公寓
2栋301,129.07,62431.23,93.05,86598.60,8058000.00,在售,公寓
2栋203,131.83,61905.48,95.04,85869.11,8161000.00,在售,公寓
2栋202,72.99,60843.95,52.62,84397.57,4441000.00,在售,公寓
2栋201,129.07,61609.97,93.05,85459.43,7952000.00,在售,公寓
1栋1104,182.71,66498.82,125.80,96581.88,12150000.00,在售,公寓
