房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋2310,90.24,21605.00,59.16,32955.30,1949636.00,在售,办公
1栋2309,160.68,21055.00,105.33,32119.22,3383118.00,在售,办公
1栋2308,147.56,20405.00,96.73,31127.48,3010962.00,在售,办公
1栋2307,157.05,19105.00,102.95,29144.64,3000441.00,在售,办公
1栋2306,184.47,20905.00,120.93,31889.07,3856346.00,在售,办公
1栋2305,130.87,21505.00,85.79,32805.22,2814360.00,在售,办公
1栋2303,127.26,21305.00,83.42,32501.49,2711275.00,在售,办公
1栋2302,122.93,20705.00,80.58,31586.82,2545266.00,在售,办公
1栋2301,176.16,20705.00,115.48,31584.62,3647393.00,在售,办公
1栋2212,131.79,20205.00,90.45,29439.65,2662817.00,在售,办公
1栋2211,95.29,21905.00,65.40,31916.33,2087328.00,在售,办公
1栋2210,100.56,22405.00,69.01,32648.12,2253047.00,在售,办公
1栋2209,123.06,21855.00,84.46,31843.20,2689477.00,在售,办公
1栋2208,140.93,21205.00,96.73,30894.45,2988421.00,在售,办公
1栋2207,150.01,19905.00,102.95,29003.88,2985950.00,在售,办公
1栋2206,162.51,21905.00,111.54,31914.84,3559782.00,在售,办公
1栋2205,118.31,22305.00,81.20,32498.83,2638905.00,在售,办公
1栋2203,117.58,22105.00,80.70,32207.01,2599106.00,在售,办公
1栋2202,116.12,21505.00,79.70,31332.00,2497161.00,在售,办公
1栋2201,160.32,21705.00,110.04,31622.55,3479746.00,在售,办公
1栋2112,131.79,17000.00,90.45,24769.81,2240430.00,在售,办公
1栋2111,95.29,17000.00,65.40,24769.57,1619930.00,在售,办公
1栋2110,100.56,17000.00,69.01,24772.06,1709520.00,在售,办公
1栋2109,123.06,17000.00,84.46,24769.35,2092020.00,在售,办公
1栋2108,140.93,17000.00,96.73,24768.01,2395810.00,在售,办公
1栋2107,150.01,17000.00,102.95,24770.95,2550170.00,在售,办公
1栋2106,162.51,17000.00,111.54,24768.42,2762670.00,在售,办公
1栋2105,118.31,17000.00,81.20,24769.33,2011270.00,在售,办公
1栋2103,117.58,17000.00,80.70,24769.02,1998860.00,在售,办公
1栋2102,116.12,17000.00,79.70,24768.38,1974040.00,在售,办公
1栋2101,160.32,17000.00,110.04,24767.72,2725440.00,在售,办公
1栋2012,131.79,17000.00,90.45,24769.81,2240430.00,在售,办公
1栋2011,95.29,17000.00,65.40,24769.57,1619930.00,在售,办公
1栋2010,100.56,17000.00,69.01,24772.06,1709520.00,在售,办公
1栋2009,123.06,17000.00,84.46,24769.35,2092020.00,在售,办公
